0,jpg,Front view with garage
1,jpg,Left Side view
2,jpg,Left Side view with Entry porch
3,jpg,Back view
4,jpg,Back view
5,jpg,Right Side view with deck off Master Bedroom
6,jpg,Right Side Front view
7,jpg,Front View
8,jpg,Birds-eye view of front deck over garage
100,jpg,View from Foyer towards Kitchen and Nook
103,jpg,Kitchen from Nook
104,jpg,From Kitchen looking towards Dining Room
105,jpg,Dining Room looking towards Nook
106,jpg,Dining Room with vaulted ceiling and Loft above
107,jpg,Dining Room with Living Room beyond
108,jpg,Living Room looking towards Dining Room
109,jpg,Living Room vaulted ceiling
110,jpg,Living Room looking towards fireplace and Loft
113,jpg,Master Bedroom
114,jpg,Master Bathroom
118,jpg,Loft Area
119,jpg,Roof structure from Loft Area
120,jpg,Upper Floor Bedroom #1
122,jpg,Upper Floor Bedroom #2
124,jpg,Great Room/Dining Room from top of stairs
125,jpg,Stairs and Dining Room beyond from Loft Area
