Braelorne-int00,jpg,Great room
Braelorne-int02,jpg,"Great room, with foyer and loft beyond"
Braelorne-int03,jpg,Dining room
Braelorne-int04,jpg,Kitchen
Braelorne-int08,jpg,Main floor back bedroom
Braelorne-int12,jpg,Loft
Braelorne-int13,jpg,"Loft, with master bedroom beyond"
Braelorne-int15,jpg,Master bedroom
Braelorne-int16,jpg,Master bedroom
Braelorne-int20,jpg,Master bedroom ensuite
Braelorne-int01,jpg,Great room
Braelorne-int07,jpg,Looking back towards dining room from sun room
Braelorne-int09,jpg,Main floor back bedroom
Braelorne-int11,jpg,Heading up log stairway
Braelorne-int05,jpg,Kitchen
Braelorne-int06,jpg,Sun room
Braelorne-int14,jpg,Great room windows from loft
Braelorne-int17,jpg,Master bedroom
Braelorne-int18,jpg,Master bedroom ensuite door
Braelorne-int19,jpg,Master bedroom ensuite
Braelorne-int10,jpg,Main floor back ensuite bathroom
