ext_1,jpg,Entry side view
ext_2,jpg,Left side
ext_3,jpg,Rear side
ext_11,jpg,Right side
ext_13,jpg,Entry porch with log portico
ext_14,jpg,Left side of deck by Dining Room
101,jpg,Interior view of log staircase in Foyer
102,jpg,Interior view of Living Room
104,jpg,Interior view towards Foyer from Living Room
106,jpg,Interior view of Dining Area
107,jpg,Interior view of Kitchen
110,jpg,Interior view of Master Suite
118,jpg,Interior view of Master Ensuite Bathroom
119,jpg,Interior view of Master Ensuite Bathroom
113,jpg,Interior view of Upper Floor Catwalk
114,jpg,Interior view of Upper Floor Loft
115,jpg,Interior view of Upper Floor Loft
117,jpg,Interior view of Upper Floor Loft
