0,jpg,Front Right view
1,jpg,Right Side view with garage doors and side entry
2,jpg,Back Right view
4,jpg,Back Left view
5,jpg,Left Side view
6,jpg,Front Left view
7,jpg,Front view
8,jpg,Front view
9,jpg,Right Side: close up of side entry over garage doors
20,jpg,Entry Foyer (back side)
21,jpg,Log stairway
22,jpg,Vaulted Great Room
23,jpg,Great Room fireplace
24,jpg,Dining Room
25,jpg,Kitchen
26,jpg,Nook from Kitchen
29,jpg,Foot of Log Stairway
30,jpg,"Upper Loft, looking towards Great Room"
32,jpg,Upper Loft
31,jpg,View from Loft into Great Room
33,jpg,Master Bedroom
35,jpg,Master Ensuite Bathroom
36,jpg,Master Ensuite Bathroom
37,jpg,Upper Bedroom dormer
38,jpg,Upper Bedroom dormer
39,jpg,"Upper Bedroom, looking towards Ensuite"
