Montara-int-0500,jpg,Great room from foot of staircase
Montara-int-0600,jpg,Staircase from great room
Montara-int-0400,jpg,Great room staircase and fireplace
Montara-int-0300,jpg,"Kitchen, looking towards back entry"
Montara-int-0100,jpg,Dining room
Montara-int-0000,jpg,View towards dining room from back entry
Montara-int-0700,jpg,Top of staircase
Montara-int-0800,jpg,Great room from upper walkway
Montara-int-0900,jpg,"Master suite, with french doors to balcony"
Montara-int-1000,jpg,"Master suite, with french doors to balcony"
Montara-int-1100,jpg,Master suite
