magaz-00,jpg,Main living area from kitchen
int-01,jpg,Living room
int-02,jpg,Dining area
int-03,jpg,Kitchen
int-07,jpg,Log joinery
int-10,jpg,View from upper walkway
int-11,jpg,Upper walkway
int-17,jpg,Master bedroom
int-19,jpg,Master bathroom
int-12,jpg,Upper bedroom #2
int-18,jpg,Master bedroom
int-20,jpg,Master bathroom
int-00,jpg,Main living area from entry
int-04,jpg,Vaulted space over kitchen
int-05,jpg,Entry foyer
int-06,jpg,Powder room
int-08,jpg,Log staircase landing
int-09,jpg,Upper walkway
int-13,jpg,Upper bathroom
int-14,jpg,Upper bedroom #3
int-15,jpg,Upper walkway
