title,fileName,extension,text
#project,Brenton,,Brenton Residence
#photos,,,Framing and Finishing On Site
 Jan. 19,20070119_01,jpg,Vaulted ceiling insulated
,20070119_02,jpg,Wall batt insulation complete
,20070119_03,jpg,Wall batt insulation complete
,20070119_04,jpg,Kitchen cabinets
,20070119_05,jpg,Windows and building wrap installed
,20070119_06,jpg,Entry deck
 June 9,20060609_04,jpg,Wall and roof framing progress
,20060609_05,jpg,Wall and roof framing progress
,20060609_06,jpg,Wall and roof framing progress
,20060609_07,jpg,Wall and roof framing progress
,20060609_08,jpg,Wall and roof framing progress
,20060609_11,jpg,Wall and roof framing progress
,20060609_12,jpg,Wall and roof framing progress
,20060609_13,jpg,Wall and roof framing progress
 June 5,20060605_view,jpg,Deck railing complete
,20060605_cu,jpg,Deck railing complete
 May 31,stairway_02,jpg,Log Stairway
,stairway_01,jpg,Log Stairway
 May 23,20060523_01,jpg,Wall framing progresses
,20060523_02,jpg,Wall framing progresses
,20060523_03,jpg,Wall framing progresses
,20060523_04,jpg,Wall framing progresses
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
Jan. 25,20060125_1,jpg,Complete log shell
,20060125_2,jpg,Complete log shell
,20060125_3,jpg,Complete log shell
,20060125_4,jpg,Complete log shell
,20060125_5,jpg,Complete log shell
,20060125_6,jpg,Complete log shell
,20060125_7,jpg,Log post and beam connections closeup
,20060125_8,jpg,Log post and beam connections closeup
,20060125_10,jpg,Log post and beam connections closeup
,20060125_12,jpg,Log joist and beam connections closeup
Dec. 23,20051223_01,jpg,Crafting of log beams progresses
,20051223_02,jpg,Crafting of log beams progresses
,20051223_03,jpg,Crafting of log beams progresses
,20051223_04,jpg,Crafting of log beams progresses
,20051223_05,jpg,Crafting of log beams progresses
,20051223_06,jpg,Crafting of log beams progresses
Dec. 14,20051214_2,jpg,Crafting the log beams
,20051214_3,jpg,Crafting the log beams
,20051214_4,jpg,Crafting the log beams
,20051214_5,jpg,Crafting the log beams
,20051214_6,jpg,Crafting the log beams
,20051214_7,jpg,Crafting the log beams
,20051214_8,jpg,Crafting the log beams
,20051214_9,jpg,Crafting the log beams
Nov. 30,20051130_1,jpg,Crafting the log posts and beams
,20051130_2,jpg,Crafting the log posts and beams
,20051130_3,jpg,Crafting the log posts and beams
,20051130_4,jpg,Crafting the log posts and beams
,20051130_5,jpg,Crafting the log posts and beams
,20051130_6,jpg,Crafting the log posts and beams
#elevations,,,Elevations
,Brenton_elevations,gif,
#plans,,,Floor Plans
,Brenton_plans,gif,
