title,fileName,extension,text
#project,Brown,,Brown Residence
#photos,,,Delivery and Set-up on the Site
Dec. 31,20051231_01,jpg,Framing and finishing progressing
,20051231_03,jpg,Framing and finishing progressing
,20051231_05,jpg,Framing and finishing progressing
,20051231_06,jpg,Framing and finishing progressing
Dec. 16,20051216_01,jpg,Log walls in place
,20051216_02,jpg,Upper floor log joist in place
,20051216_03,jpg,Upper floor log joist and ceiling tuck cut
,20051216_04,jpg,Log walls in place
,20051216_05,jpg,Log walls in place
,20051216_06,jpg,Log walls in place
,20051216_07,jpg,Log walls in place
,20051216_08,jpg,Log walls in place
,20051216_09,jpg,Log walls in place
,20051216_10,jpg,Ridge beam and post
,20051216_11,jpg,Ridge beam and post
,20051216_12,jpg,Log walls in place
,20051216_13,jpg,PLog walls in place
,20051216_14,jpg,Log walls in place
,20051216_16,jpg,Placing upper floor joists and roof logs
Dec. 13,20051213_44,jpg,Stacking the log walls on the site
,20051213_45,jpg,Stacking the log walls on the site
,20051213_46,jpg,Stacking the log walls on the site
,20051213_47,jpg,Stacking the log walls on the site
,20051213_60,jpg,Placing upper floor logs
,20051213_63,jpg,Placing upper floor logs
,20051213_72,jpg,Placing roof truss
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
Nov.21,20051121_01,jpg,Log walls and upper floor completed
,20051121_02,jpg,Log walls and upper floor completed
,20051121_03,jpg,Log walls and upper floor completed
,20051121_04,jpg,Log walls and upper floor completed
,20051121_05,jpg,Log walls and upper floor completed
,20051121_06,jpg,Landing for log stairway
,20051121_07-1,jpg,Settling bolt hardware for log stair landing
,20051121_07-2,jpg,Settling bolt hardware for log stair landing
,20051121_08,jpg,Log stairway
,20051121_09,jpg,Log stairway
,20051121_10,jpg,Log railings
,20051121_11,jpg,Log posts for stair landing
,20051121_14,jpg,Log roof beams
,20051121_15,jpg,Log truss members before assembly
,20051121_20,jpg,Log truss assembled
,20051121_19,jpg,Log walls and corner post
,20051121_17,jpg,Log posts slabbed off for wall framing
,20051121_12,jpg,Log roof beams
,20051121_16,jpg,Log roof beams
,20051121_18,jpg,Log roof beams
Nov. 2,20051102_01,jpg,Log walls completed
,20051102_02,jpg,Log walls completed
,20051102_03,jpg,Log walls completed
,20051102_04,jpg,Log walls completed
,20051102_05,jpg,Log walls completed
Oct. 14,20051014_32,jpg,First 7 rounds of wall logs completed
,20051014_33,jpg,First 7 rounds of wall logs completed
,20051014_34,jpg,First 7 rounds of wall logs completed
,20051014_35,jpg,First 7 rounds of wall logs completed
,20051014_36,jpg,First 7 rounds of wall logs completed
,20051014_37,jpg,First 7 rounds of wall logs completed
,20051014_38,jpg,First 7 rounds of wall logs completed
,20051014_39,jpg,First 7 rounds of wall logs completed
,20051014_40,jpg,First 7 rounds of wall logs completed
,20051014_43,jpg,First 7 rounds of wall logs completed
Oct. 11,20051011_1,jpg,First 7 rounds of wall logs completed.
,20051011_2,jpg,First 7 rounds of wall logs completed
,20051011_3,jpg,First 7 rounds of wall logs completed
,20051011_4,jpg,First 7 rounds of wall logs completed
,20051011_5,jpg,First 7 rounds of wall logs completed.
,20051011_6,jpg,First 7 rounds of wall logs completed
,20051011_7,jpg,First 7 rounds of wall logs completed
,20051011_9,jpg,First 7 rounds of wall logs completed
Oct. 5,20051005_1,jpg,First 5 rounds of wall logs completed
,20051005_2,jpg,First 5 rounds of wall logs completed
,20051005_3,jpg,First 5 rounds of wall logs completed
,20051005_4,jpg,First 5 rounds of wall logs completed
,20051005_5,jpg,First 5 rounds of wall logs completed
,20051005_6,jpg,First 5 rounds of wall logs completed.
,20051005_7,jpg,First 5 rounds of wall logs completed.
,20051005_8,jpg,First 5 rounds of wall logs completed.
Sept. 30,20050930_1,jpg,First 3 rounds of wall logs completed
,20050930_2,jpg,First 3 rounds of wall logs completed
,20050930_3,jpg,First 3 rounds of wall logs completed
,20050930_4,jpg,First 3 rounds of wall logs completed
,20050930_5,jpg,First 3 rounds of wall logs completed
,20050930_6,jpg,First 3 rounds of wall logs completed
,20050930_7,jpg,First 3 rounds of wall logs completed
#elevations,,,Elevations
,Brown_elevations,gif,
#plans,,,Floor Plans
,Brown_plans,gif,
