title,fileName,extension,text
#project,Buma,,Buma Residence
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
Jan. 17,20060117_01,jpg,Completed crafting the log shell
,20060117_02,jpg,Completed crafting the log shell
,20060117_03,jpg,Completed crafting the log shell
,20060117_04,jpg,Completed crafting the log shell
,20060117_05,jpg,Log truss over enty porch
,20060117_06,jpg,"Scarf cuts, pitch cuts and flattening for framing"
,20060117_07,jpg,Upper gable end wall
,20060117_08,jpg,Closeup--post and beam detailing
,20060117_09,jpg,Closeup--post and beam detailing
,20060117_10,jpg,Closeup--post and beam detailing
,20060117_11,jpg,Closeup--post and beam detailing
,20060117_12,jpg,Closeup--post and beam detailing
,20060117_13,jpg,Completed crafting the log shell
,20060117_14,jpg,Closeup--post and beam detailing
Jan. 12,20060112_1,jpg,Completed crafting the log shell
,20060112_2,jpg,Completed crafting the log shell
,20060112_3,jpg,Completed crafting the log shell
,20060112_4,jpg,Completed crafting the log shell
Dec. 23,20051223_01,jpg,Crafting the log beams and posts
,20051223_02,jpg,Crafting the log beams and posts
,20051223_03,jpg,Crafting the log beams and posts
,20051223_04,jpg,Crafting the log beams and posts
Dec. 14,20051214_1,jpg,Crafting the log beams
,20051214_2,jpg,Crafting the log beams
,20051214_3,jpg,Crafting the log beams
,20051214_4,jpg,Crafting the log beams
,20051214_5,jpg,Crafting the log beams
,20051214_6,jpg,Crafting the log beams
,20051214_7,jpg,Crafting the log beams
,20051214_8,jpg,Crafting the log beams
Nov. 30,20051130_1,jpg,Crafting the log beams
,20051130_2,jpg,Crafting the log beams
,20051130_3,jpg,Crafting the log beams
,20051130_5,jpg,Crafting the log beams
,20051130_6,jpg,Crafting the log beams
,20051130_7,jpg,Crafting the log beams
,20051130_8,jpg,Crafting the log beams
,20051130_9,jpg,Crafting the log beams
#elevations,,,Elevations
,Buma_elevations,gif,
#plans,,,Floor Plans
,Buma_plans,gif,
