title,fileName,extension,text
#project,Byers,,Byers Residence
#elevations,,,Elevations
,Byers-elevations,gif,Elevations
#plans,,,Floor Plans
,Byers-plans,gif,Floor Plans
#photos,,,Delivery and Set-Up of the Log Shell on the Site
 June 11,20080611_70,jpg,Completed log shell
,20080611_73,jpg,Completed log shell
,20080611_76,jpg,Completed log shell
,20080611_77,jpg,Completed log shell
,20080611_79,jpg,Completed log shell
,20080611_80,jpg,Completed log shell from above
,20080611_81,jpg,Completed log shell from above
,20080611_82,jpg,Completed log shell from above
,20080611_84,jpg,View from garage end
,20080611_85,jpg,View from garage end
,20080611_86,jpg,View from below
,20080611_88,jpg,View from below
,20080611_89,jpg,View from below
,20080611_93,jpg,View of prow and ridge from below
,20080611_96,jpg,View from below
#photos,,,Hand Crafting the Log Shell in our Log Yard
 June 2,20080602_22,jpg,Upper floor beams and joists
,20080602_23,jpg,Upper floor beams and joists
,20080602_24,jpg,Upper floor beams and joists
,20080602_25,jpg,Log posts
,20080602_28,jpg,Log posts
,20080602_30,jpg,Log posts
 May 17,20080517_74,jpg,Upper floor beams with pitch cuts
,20080517_75,jpg,Upper floor beams with pitch cuts
,20080517_76,jpg,Upper floor beams with pitch cuts
,20080517_77,jpg,Upper floor beams with pitch cuts
,20080517_78,jpg,Beam with framing flat
,20080517_79,jpg,Living room prow beams
,20080517_80,jpg,"Log posts, with scarfs, flats, and slot cuts"
,20080517_81,jpg,Log posts with beams beyond
,20080517_82,jpg,Beam connection- closeup view
,20080517_83,jpg,Upper floor beams
,20080517_84,jpg,Upper floor beams
,20080517_85,jpg,Upper floor beams
,20080517_86,jpg,Beam connection- closeup view
 May 6,20080506_09,jpg,Upper floor beams completed
,20080506_11,jpg,Upper floor beams completed
 April 23,20080423_593,jpg,Crafting beams and posts
,20080423_594,jpg,Crafting beams and posts
,20080423_595,jpg,Crafting beams and posts
,20080423_596,jpg,Crafting beams and posts
,20080423_597,jpg,Crafting beams and posts
,20080423_598,jpg,Crafting beams and posts
,20080423_599,jpg,Crafting beams and posts
,20080423_600,jpg,Crafting beams and posts
,20080423_601,jpg,Crafting beams and posts
,20080423_602,jpg,Crafting beams and posts
 April 4,20080407_72,jpg,Upper floor beams
,20080407_73,jpg,Upper floor beams
,20080407_74,jpg,Upper floor beams
,20080407_X,jpg,Upper floor beams
