title,fileName,extension,text
#project,Comrack,,Comrack Residence
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
Dec. 16,20051122_1,jpg,Log walls complete
,20051122_2,jpg,Log walls complete
,20051122_3,jpg,Log walls complete
,20051122_4,jpg,Roof beams before placement
,20051124_1,jpg,Completing roof logs
,20051124_2,jpg,Completing roof logs
,20051124_3,jpg,Completing roof logs
,20051124_4,jpg,Completing roof logs
,20051124_5,jpg,Completing roof logs
,20051124_6,jpg,Completing roof logs
,20051124_7,jpg,Completing roof logs
,20051124_8,jpg,Completing roof logs
,20051124_9,jpg,Completing roof logs
,20051124_10,jpg,Completing roof logs
,20051124_11,jpg,Completing roof logs
,20051124_12,jpg,Completing roof logs
Nov. 2,20051102_01,jpg,Completing final window openings
,20051102_02,jpg,Completing final window openings
,20051102_03,jpg,Completing final window openings
,20051102_04,jpg,Completing final window openings
,20051102_06,jpg,Completing final window openings
Oct. 14,20051014_03,jpg,First 7 rounds of wall logs completed
,20051014_04,jpg,First 7 rounds of wall logs completed
,20051014_05,jpg,First 7 rounds of wall logs completed
,20051014_06,jpg,First 7 rounds of wall logs completed
,20051014_07,jpg,First 7 rounds of wall logs completed
,20051014_08,jpg,First 7 rounds of wall logs completed
,20051014_09,jpg,First 7 rounds of wall logs completed
,20051014_11,jpg,First 7 rounds of wall logs completed
,20051014_12,jpg,First 7 rounds of wall logs completed
,20051014_13,jpg,First 7 rounds of wall logs completed
,20051014_14,jpg,First 7 rounds of wall logs completed
Oct. 5,20051005_1,jpg,First 3 rounds of wall logs completed
,20051005_2,jpg,First 3 rounds of wall logs completed
,20051005_3,jpg,First 3 rounds of wall logs completed
,20051005_4,jpg,First 3 rounds of wall logs completed
,20051005_5,jpg,First 3 rounds of wall logs completed
#elevations,,,Elevations
,Comrack_elevations,gif,
#plans,,,Floor Plans
,Comrack_plans,gif,
