title,fileName,extension,text
#project,Donaldson,,Donaldson Residence
#photos,,,Framing and Finishing on Site
 Nov. 2,20061010_18,jpg,Entry side view
,20061010_19,jpg,Garage with bedroom wing over
,20061010_21,jpg,Roof structure over Great Room
,20061010_23,jpg,Stair landing near entry
,20061010_25,jpg,Entry portico
,20061026_101,jpg,Roof framing
,20061026_111,jpg,Spiral stair to Master Bedroom
,20061026_121,jpg,Kitchen area
,20061026_131,jpg,Spiral stair
,20061026_141,jpg,Master Bedroom
,20061026_151,jpg,View from Master Bedroom
,20061026_161,jpg,Master Bedroom balcony
,20061026_171,jpg,Roof turret logwork
,20061026_181,jpg,Roof framing--Master Bathroom wing
,20061026_191,jpg,View towards upper bedrooms from Master Bedroom landing
,20061026_201,jpg,"End wall of Great Room, seen from Master Bedroom landing"
,20061026_211,jpg,View from below--kitchen with Master Bedroom above
,20061026_221,jpg,View from below--Great Room windows
,20061026_231,jpg,View from below--Great Room windows
,20061026_31,jpg,Garage with bedroom wing over
,20061026_61,jpg,Upper bedroom wing
,20061026_81,jpg,Garage door openings with steel moment frame
,20061026_91,jpg,Main supporting post with spiral stair
,20061102_53,jpg,Turret roof framing over Master Bedroom
,20061102_77,jpg,Turret roof framing over Master Bedroom
#photos,,,Set Up of Log Shell on Site
Log Shell Set Up,20060921_51,jpg,View from driveway
,20060921_52,jpg,2 storey log structure
,20060921_56,jpg,Entry portico
,20060921_57,jpg,Dining room wing
,20060921_58,jpg,Kitchen / Master Bedroom wing
,20060921_59,jpg,Kitchen / Master Bedroom wing
,20060921_60,jpg,Kitchen / Master Bedroom wing
,20060921_61,jpg,Roof structure over Master Bedroom
,20060921_69,jpg,Front wall of Great Room with steel moment frame
,20060921_71,jpg,Kitchen / Master Bedroom wing from below
,20060921_73,jpg,Close up view of corner
,20060921_79,jpg,End wall
,20060921_82,jpg,Spiral stair to Master Bedroom
,20060921_85,jpg,Dining room
,20060921_86,jpg,Closeup view of screw jack
,20060921_88,jpg,Unique detail of beams notched into 2-storey log post
,20060921_89,jpg,End wall of Great Room
,20060921_r18,jpg,Entry elevation view from driveway
,20060921_r19,jpg,Garage view from driveway
,20060921_r21,jpg,Roof structure over spiral stair
,20060921_r25,jpg,Entry portico
#photos,,,Hand Crafting the Log Shell in our Log Yard
Log Shell Complete: Aug.31,20060831_39,jpg,Completed log shell
,20060831_40,jpg,Completed log shell
,20060831_41,jpg,Completed log shell
,20060831_42,jpg,Completed log shell
,20060831_43,jpg,Completed log shell
,20060831_44,jpg,Completed log shell
,20060831_45,jpg,Completed log shell
,20060831_27,jpg,Post to beams connection
,20060831_33,jpg,Ridge beam
,20060831_34,jpg,Large beam in place
,20060831_35,jpg,Large beam in place
,20060831_38,jpg,Placing ridge beam
,20060831_46,jpg,Ridge beam from below
,20060831_47,jpg,Completed log shell
,20060831_48,jpg,Completed log shell
,20060831_49,jpg,Completed log shell
 Aug. 29,20060829_01,jpg,Large log beams
,20060829_03,jpg,Large log beams
,20060829_04,jpg,Large log beams
,20060829_05,jpg,Large log beams
,20060829_06,jpg,Log shell progress
,20060829_07,jpg,Log shell progress
,20060829_08,jpg,Log shell progress
,20060829_09,jpg,Beam / post connection
,20060829_10,jpg,Beam / post connection
,20060829_12,jpg,Master bedroom turret roof
 Aug. 28,20060828_192,jpg,Progress on dining/master bedroom tower
,20060828_198,jpg,Progress on dining/master bedroom tower
,20060828_199,jpg,Beam / post connection
,20060828_200,jpg,Log walls tenoned into 2-storey log post
,20060828_201,jpg,Entry / garage side view
,20060828_202,jpg,Log shell with master bedroom turret roof and large posts
 Aug. 22,20060822_01,jpg,Spiral stair with treads and rail attached
,20060822_02,jpg,Spiral stair with treads and rail attached
,20060822_03,jpg,Spiral stair with treads and rail attached
,20060822_04,jpg,Spiral stair with treads and rail attached
,20060822_05,jpg,Cutting a flat with the band saw
,20060822_06,jpg,Large logs
,20060822_07,jpg,Large logs
,20060822_08,jpg,Large logs
,20060822_09,jpg,Large logs
,20060822_10,jpg,Large logs
,20060822_11,jpg,Large logs
,20060822_12,jpg,Log shell view from kitchen corner
,20060822_13,jpg,Log shell view from front
,20060822_14,jpg,Log shell view from front
,20060822_15,jpg,Log shell view from left
,20060822_16,jpg,Log shell view from left
,20060822_18,jpg,Garage door wall
,20060822_19,jpg,Log shell view from entry side
,20060822_20,jpg,Master bedroom turret roof
,20060822_21,jpg,Master bedroom turret roof
,20060822_22,jpg,Dining room / Master Bathroom tower
 Aug. 12,20060812_26,jpg,Spiral stair center post
,20060812_27,jpg,Spiral stair treads
,20060812_28,jpg,Spiral stair center post
,20060812_33,jpg,Roof structure for master bedroom
,20060812_34,jpg,Valley log
,20060812_35,jpg,Roof structure for master bedroom
,20060812_36,jpg,Progress on upper floor log walls
 Aug. 1,20060801_815,jpg,Log joinery
,20060801_816,jpg,Kitchen area
,20060801_817,jpg,Angled corner in kitchen area
,20060801_818,jpg,Log joist tenoned into double beam
,20060801_825,jpg,Upper master bathroom log walls
,20060801_827,jpg,Log shell from upper floor
,20060801_828,jpg,Log shell from upper floor
,20060801_829,jpg,Log joist tenoned into log beam
,20060801_830,jpg,Log joist tenoned into double beam
,20060801_899,jpg,Detailing hip beam
,20060801_900,jpg,Roof structure for master bedroom
,20060801_901,jpg,Hip beam bearing on log header
,20060801_907,jpg,Treads for spiral stair
,20060801_908,jpg,Treads for spiral stair
,20060801_stitched,jpg,Birds-eye view of log shell
 July 28,20060728_01,jpg,Log shell with upper master bathroom log walls in place
,20060728_04,jpg,Log shell with upper master bathroom log walls in place
,20060728_08,jpg,Log shell with upper master bathroom log walls in place
,20060728_10,jpg,Log shell with upper master bathroom log walls in place
,20060728_12,jpg,Log shell with upper master bathroom log walls in place
,20060728_14,jpg,Log shell with upper master bathroom log walls in place
,20060728_15,jpg,Log shell with upper master bathroom log walls in place
,20060728_16,jpg,Log shell with upper master bathroom log walls in place
,20060728_17,jpg,Dining area
,20060728_18,jpg,View from outside kitchen area
,20060728_19,jpg,View from outside kitchen area
 July 21,20060721_03,jpg,Crafting log beams
,20060721_04,jpg,Crafting log beams
,20060721_05,jpg,"Top of log walls, beams, and upper floor log joists"
,20060721_06,jpg,"Top of log walls, beams, and upper floor log joists"
,20060721_07,jpg,"Top of log walls, beams, and upper floor log joists"
,20060721_08,jpg,Fitting wall log
,20060721_09,jpg,Fitting wall log
,20060721_10,jpg,Fitting wall log
,20060721_11,jpg,Fitting wall log
,20060721_12,jpg,Entry portico
,20060721_13,jpg,Fitting wall log
,20060721_14,jpg,Closeup of wall logs and beam
,20060721_15,jpg,Log beam joinery
,20060721_16,jpg,Log beam joinery
,20060721_18,jpg,Kitchen area with log floor joists
,20060721_19,jpg,"Top of log walls, beams, and upper floor log joists"
,20060721_20,jpg,"Top of log walls, beams, and upper floor log joists"
 July 19,20060719_06,jpg,Kitchen area log walls
,20060719_07,jpg,Kitchen area log walls
 July 13,20060713_647,jpg,Crafting the log shell progresses
,20060713_648,jpg,Crafting the log shell progresses
,20060713_649,jpg,Crafting the log shell progresses
,20060713_650,jpg,Crafting the log shell progresses
,20060713_651,jpg,Crafting the log shell progresses
,20060713_652,jpg,Crafting the log shell progresses
,20060713_653,jpg,Crafting the log shell progresses
,20060713_654,jpg,Crafting the log shell progresses
,20060713_655,jpg,Crafting the log shell progresses
,20060713_657,jpg,Crafting the log shell progresses
,20060713_658,jpg,Crafting the log shell progresses
,20060713_659,jpg,Crafting the log shell progresses
,20060713_660,jpg,Crafting the log shell progresses
,20060713_661,jpg,Crafting the log shell progresses
,20060713_662,jpg,Crafting the log shell progresses
,20060713_663,jpg,Crafting the log shell progresses
,20060713_664,jpg,Crafting the log shell progresses
,20060713_665,jpg,Crafting the log shell progresses
,20060713_666,jpg,Crafting the log shell progresses
,20060713_667,jpg,Crafting the log shell progresses
,20060713_668,jpg,Crafting the log shell progresses
,20060713_670,jpg,Crafting the log shell progresses
,20060713_671,jpg,Crafting the log shell progresses
,20060713_672,jpg,Crafting the log shell progresses
,20060713_674,jpg,Crafting the log shell progresses
,20060713_706,jpg,Crafting the log shell progresses
,20060713_734,jpg,Crafting the log shell progresses
,20060713_736,jpg,Crafting the log shell progresses
,20060713_737,jpg,Crafting the log shell progresses
,20060713_738,jpg,Crafting the log shell progresses
 July 6,20060706_01,jpg,Logs ready for finishing
,20060706_02,jpg,Placing log for fitting
,20060706_03,jpg,Log walls complete up to 9th round
,20060706_04,jpg,Log walls complete up to 9th round
,20060706_05,jpg,Log walls complete up to 9th round
,20060706_06,jpg,Log walls complete up to 9th round
,20060706_07,jpg,Log walls complete up to 9th round
,20060706_08,jpg,Log walls complete up to 9th round
,20060706_09,jpg,Log walls complete up to 9th round
,20060706_10,jpg,Log post with slabbed side and keyed side
,20060706_11,jpg,Log walls complete up to 9th round
,20060706_12,jpg,Closeup of notches on angled walls
 June 22,20060622_01,jpg,Making a rough cut
,20060622_02,jpg,Garage wall complete up to header level
,20060622_03,jpg,Garage side wall
,20060622_04,jpg,End wall of Great Room
,20060622_05,jpg,View from front of Great Room
,20060622_06,jpg,Crafting of log walls in progress
,20060622_07,jpg,Angled walls in kitchen area completed
,20060622_08,jpg,Closeup of notches on angled walls
,20060622_09,jpg,Closeup of notches on angled walls
 June 15,20060615_01,jpg,Fifth round of wall logs
,20060615_02,jpg,Fifth round of wall logs
,20060615_03,jpg,Fifth round of wall logs
,20060615_04,jpg,Fifth round of wall logs
 June 9,20060609_48,jpg,Fourth round of wall logs
,20060609_49,jpg,Fourth round of wall logs
,20060609_50,jpg,Fourth round of wall logs
,20060609_51,jpg,Fourth round of wall logs
,20060609_52,jpg,Fourth round of wall logs
,20060609_53,jpg,Fourth round of wall logs
 June 1,20060601_01,jpg,Crafting of log walls in progress
,20060601_02,jpg,Crafting of log walls in progress
,20060601_03,jpg,Crafting of log walls in progress
,20060601_04,jpg,Crafting of log walls in progress
,20060601_05,jpg,Crafting of log walls in progress
#elevations,,,Elevations
,Donaldson_elevations,gif,Elevations
#plans,,,Floor Plans
,Donaldson_plans,gif,Floor Plans
