title,fileName,extension,text
#project,Griggers,,Griggers Residence
#elevations,,,Elevations
,Griggers_elevations,gif,
#plans,,,Floor Plans
,Griggers_plans,gif,
#photos,,,Hand Crafting the Log Shell in our Log Yard
 June 26,20080626_21,jpg,Log beams and joists for upper floor
,20080626_22,jpg,Log beams and joists for upper floor
,20080626_24,jpg,Log beams and joists for upper floor
,20080626_27,jpg,Log beams and joists for upper floor
,20080626_28,jpg,Log beams and joists for upper floor
,20080626_29,jpg,Log beams and joists for upper floor
,20080626_30,jpg,Log beams and joists for upper floor
