title,fileName,extension,text
#project,Hathaway,,Hathaway Cabin
#elevations,,,Elevations
,Hathaway_elevations,gif,Elevations
#photos,,,Set Up of the Log Shell on the Site
Day 1,20060918_03,jpg,Placing second round of wall logs
,20060918_05,jpg,Placing second round of wall logs
,20060918_06,jpg,Placing second round of wall logs
,20060918_08,jpg,View towards front prow
,20060918_10,jpg,View towards dining area
,20060918_11,jpg,Corner area…note electrical boxes precut
,20060918_12,jpg,Electrical boxes
,20060918_14,jpg,Short wall near fireplace
,20060918_26,jpg,Visitors to site
,20060918_43,jpg,Placing wall log
,20060918_49,jpg,Wall log with window sill
,20060918_50,jpg,Log wall with id tags in place
,20060918_51,jpg,Window jamb anc staggered wall tails
,20060918_53,jpg,Placing header log
,20060918_54,jpg,Placing log post in prow
,20060918_56,jpg,Placing log post in prow
Day 2,20060919_59,jpg,View through dining room window
,20060919_64,jpg,Roof beam and post with slot cuts for wall finishes
,20060919_66,jpg,Covered side deck
,20060919_67,jpg,Opening for door-window combination
,20060919_70,jpg,Upper post and pitch cut
,20060919_71,jpg,Screw jack in place between log post and header log
,20060919_72,jpg,Log post in place on top wall log
,20060919_74,jpg,Log with tuck cuts for floor/ceiling finish
,20060919_75,jpg,Window jamb
,20060919_77,jpg,Log post with screw jack beneath and settling space cut into floor
Day 3,20060920_081,jpg,Placing roof ridge beam
,20060920_089,jpg,Placing post for roof ridge
,20060920_092,jpg,Placing post for roof ridge
,20060920_096,jpg,Placing post for roof ridge
,20060920_101,jpg,Placing post for roof ridge
,20060920_113,jpg,Portrait of set up crew
,20060920_115,jpg,Completed shell from entry side
,20060920_117,jpg,Completed shell from left side
,20060920_119,jpg,Completed shell from below left
,20060920_122,jpg,Completed shell from below
,20060920_124,jpg,Completed shell from below
,20060920_128,jpg,Completed shell from below right
,20060920_134,jpg,Completed shell from right side
,20060920_140,jpg,Entry portico and wall
,20060920_157,jpg,"Interior view from dining area, with space in upper beam for stairway"
,20060920_194,jpg,Deck outside dining area
,20060920_225,jpg,View towards prow from upper loft
,20060920_230,jpg,View towards entry from upper loft
,20060920_239,jpg,Stairway opening in wall
,20060920_240,jpg,Roof structure over dining area
,20060920_243,jpg,Roof structure
#photos,,,Hand Crafting the Log Shell at the Log Yard
 July 27,20060727_54,jpg,Log walls complete up to window and door header height
,20060727_55,jpg,Log walls complete up to window and door header height
,20060727_56,jpg,Log walls complete up to window and door header height
,20060727_58,jpg,Log walls complete up to window and door header height
,20060727_59,jpg,Log walls complete up to window and door header height
 July 13,20060713_583,jpg,Log walls complete up to 6th round
,20060713_584,jpg,Log walls complete up to 6th round
,20060713_585,jpg,Log walls complete up to 6th round
,20060713_586,jpg,Log walls complete up to 6th round
,20060713_587,jpg,Log walls complete up to 6th round
,20060713_588,jpg,Log walls complete up to 6th round
,20060713_589,jpg,Log walls complete up to 6th round
,20060713_590,jpg,Log walls complete up to 6th round
,20060713_592,jpg,Log walls complete up to 6th round
,20060713_593,jpg,Log walls complete up to 6th round
,20060713_594,jpg,Log walls complete up to 6th round
,20060713_595,jpg,Log walls complete up to 6th round
,20060713_596,jpg,Log walls complete up to 6th round
,20060713_597,jpg,Log walls complete up to 6th round
,20060713_599,jpg,Log walls complete up to 6th round
,20060713_600,jpg,Log walls complete up to 6th round
,20060713_601,jpg,Log walls complete up to 6th round
,20060713_604,jpg,Log walls complete up to 6th round
,20060713_605,jpg,Log walls complete up to 6th round
,20060713_608,jpg,Log walls complete up to 6th round
,20060713_609,jpg,Log walls complete up to 6th round
 July 13,20060713_BIG,jpg,Log walls complete up to 6th round
,20060713_BIG2,jpg,Log walls complete up to 6th round
,20060713_BIG3,jpg,Log walls complete up to 6th round
#photos,,,Clients Site
Client's Site,view,jpg,View from the site
#plans,,,Floor Plans
,Hathaway_plans,gif,Floor Plans
