title,fileName,extension,text
#project,Kelly,,Kelly Residence
#photos,,,"Delivery, Set-Up, and Finishing"
Nov. 11,20051111_03,jpg,View from the site
,20051111_18,jpg,Log shell re-assembly complete
,20051111_07,jpg,Log shell re-assembly complete
,20051111_08,jpg,Log shell re-assembly complete
,20051111_15,jpg,Log shell re-assembly complete
,20051111_16,jpg,Log shell re-assembly complete
,20051111_17,jpg,Log shell re-assembly complete
,20051111_20,jpg,Beginning installing wood ceiling/soffit
,20051111_31,jpg,Beginning installing wood ceiling/soffit
,20051111_25,jpg,Main floor interior log post
,20051111_26,jpg,Wood ceiling--view from inside
,20051111_28,jpg,Wood ceiling--view from inside
,20051119_91,jpg,Roof logs with wood ceiling
,20051119_84,jpg,Decking installed
,20051119_85,jpg,Decking installed
,20051119_87,jpg,View through Master Bedroom french doors to deck
,20051119_88,jpg,Covered entry porch
,20051119_89,jpg,Rear (entry) elevation
,20051119_90,jpg,Continuing with wood ceiling/soffit installation
,20051119_92,jpg,View from the deck
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
Aug. 22,20050822_33,jpg,Log Shell completed
,20050822_01,jpg,Log Shell completed
July 19,20050719_15,jpg,Log Shell completed
,20050719_16,jpg,Log Shell completed
,20050719_17,jpg,Log Shell completed
,20050719_18,jpg,Log Shell completed
,20050719_22,jpg,Log Shell completed
,20050809_01,jpg,Log Shell completed
June 28,wide_001,jpg,Top round of wall logs and upper floor joists completed
,wide_002,jpg,Top round of wall logs and upper floor joists completed
,wide_003,jpg,Top round of wall logs and upper floor joists completed
,050628_014,jpg,Top round of wall logs and upper floor joists completed
,050628_015,jpg,Top round of wall logs and upper floor joists completed
,050628_021,jpg,Top round of wall logs and upper floor joists completed
,050628_030,jpg,Top round of wall logs and upper floor joists completed
,1,jpg,First round of wall logs completed
,2,jpg,First round of wall logs completed
,3,jpg,First round of wall logs completed
,4,jpg,First round of wall logs completed
,Image011,jpg,Third round of wall logs completed
,Image012,jpg,Third round of wall logs completed
,Image013,jpg,Third round of wall logs completed
,Image014,jpg,Third round of wall logs completed
,Image015,jpg,Third round of wall logs completed
,Image016,jpg,Third round of wall logs completed
,000_1731,jpg,Sixth round of wall logs completed
,000_1732,jpg,Sixth round of wall logs completed
,000_1733,jpg,Sixth round of wall logs completed
,000_1735,jpg,Sixth round of wall logs completed
,000_1911,jpg,Tenth round of wall logs completed
,000_1912,jpg,Tenth round of wall logs completed
,000_1913,jpg,Tenth round of wall logs completed
,000_1914,jpg,Tenth round of wall logs completed
#elevations,,,Elevations
,Kelly_elevations,gif,
#plans,,,Floor Plans
,Kelly_plans,gif,
