title,fileName,extension,text
#project,Lemay,,Lemay Residence
#elevations,,,Elevations
,Lemay-elevations,gif,
#photos,,,Hand Crafting the Log Shell in our Log Yard
 Feb. 27,20080227_58,jpg,Completed roof structure
,20080227_59,jpg,Completed roof structure
,20080227_60,jpg,Completed log posts
,20080227_61,jpg,Closeup of corner
,20080227_56,jpg,Pocket detail
,20080227_62,jpg,Roof purlins and posts with flat and slot cuts
,20080227_63,jpg,Roof purlin notched into post
,20080227_64,jpg,Roof purlins and post
,20080227_65,jpg,Roof purlins and post
,20080227_67,jpg,Completed roof structure
,20080227_68,jpg,Roof purlins
,20080227_69,jpg,Roof purlins
,20080227_71,jpg,Completed roof structure
,20080227_72,jpg,Completed roof structure
,20080227_73,jpg,Completed roof structure
,20080227_74,jpg,Completed roof structure
,20080227_75,jpg,Completed roof structure
,20080227_76,jpg,Completed roof structure
,20080227_54,jpg,Log railing
,20080227_55,jpg,Log railing
 Feb. 18,20080218_41,jpg,Crafting roof log beams
,20080218_44,jpg,Crafting roof log beams
,20080218_45,jpg,Crafting roof log beams
,20080218_53,jpg,Crafting roof log beams
 Jan. 17,20080117_1,jpg,Crafting upper floor log beams
,20080117_2,jpg,Crafting upper floor log beams
,20080117_3,jpg,Crafting upper floor log beams
,20080117_4,jpg,Crafting upper floor log beams
,20080117_5,jpg,Crafting upper floor log beams
,20080117_6,jpg,Crafting upper floor log beams
,20080117_7,jpg,Crafting upper floor log beams
#plans,,,Floor Plans
,Lemay-upper,gif,
,Lemay-main,gif,
,Lemay-lower,gif,
