title,fileName,extension,text
#project,Lichner,,Lichner Residence
#elevations,,,Elevations
,Lichner-elevations,gif,
#plans,,,Floor Plans
,Lichner-plans,gif,
#photos,,,Framing and Finishing on Site
 Dec. 16,20071216_130,jpg,Walls and roof sheathed and windows installed
,20071216_115,jpg,Walls and roof sheathed and windows installed
,20071216_136,jpg,Walls and roof sheathed and windows installed
#photos,,,Delivery and Set-Up on the Client's Site
Set-up 1,20070805_294,jpg,Subfloor is ready for placing logs…somewhere in there
,20070805_297,jpg,Setting posts and upper floor beams
,20070805_298,jpg,Setting posts and upper floor beams
,20070805_301,jpg,Carefully aligning slot cuts on post and beam
,20070805_306,jpg,Upper floor logs in place
,20070805_307,jpg,Closeup of master bedroom roof
,20070805_308,jpg,Upper floor logs in place
Set-up 2,20070805_316,jpg,View out through master bedroom area
,20070805_321,jpg,View from the upper floor
,20070805_322,jpg,Log shell complete
,20070805_324,jpg,Log shell complete
,20070805_325,jpg,Log shell complete
,20070805_335,jpg,Log shell complete
,20070805_337,jpg,Day is over
#photos,,,Renderings
Exterior,Ext_00,jpg,Exterior view
,Ext_01,jpg,Exterior view
,Ext_03,jpg,Exterior view
,Ext_07,jpg,Exterior view
Interior - main floor,Int_00,jpg,View from entry toward Great Room
,Int_01,jpg,Entry to Great Room by stairway
,Int_02,jpg,Great Room
,Int_03,jpg,Great Room
,Int_04,jpg,Great Room with log stairway
,Int_05,jpg,Kitchen
,Int_06,jpg,Kitchen
,Int_07,jpg,Kitchen looking towards Great Room
,Int_08,jpg,Dining Room
,Int_09,jpg,Dining Room
,Int_10,jpg,Dining Room
,Int_11,jpg,Bedroom
,Int_12,jpg,Bedroom
,Int_13,jpg,View from bottom of stairway
Interior - upper floor,Int_14,jpg,Loft
,Int_15,jpg,Loft
,Int_16,jpg,Loft
,Int_17,jpg,Master Bedroom
,Int_18,jpg,Master Bedroom
,Int_19,jpg,Master Bedroom
,Int_20,jpg,Master Bathroom
,Int_21,jpg,Master Bathroom skylight
,Int_22,jpg,Master Bathroom
#photos,,,Hand Crafting the Log Shell in our Log Yard
 June 21 - log roof,20070621_492,jpg,Log structure for octagonal roof
,20070621_493,jpg,Log structure for octagonal roof
,20070621_494,jpg,Hip and ridge log connection
,20070621_495,jpg,Hip and ridge log connection
,20070621_496,jpg,Hip and ridge log connection
,20070621_497,jpg,Log structure for octagonal roof
,20070621_498,jpg,Log structure for octagonal roof
,20070621_499,jpg,Hip and ridge log connection from below
,20070621_500,jpg,Permeter beam and hip
,20070621_501,jpg,Permeter beam and hip
,20070621_502,jpg,Hip and ridge log connection from below
,20070621_503,jpg,Hip and ridge log connection from below
,20070621_504,jpg,Ridge log beam with pitch cuts
,20070621_505,jpg,Ridge log beam with pitch cuts
,20070621_506,jpg,Ridge log beam with pitch cuts
,20070621_507,jpg,Perimeter beam tenoned into ridge log
,20070621_513,jpg,End view of roof
,20070621_s1,jpg,Log shell-- wide angle view
,20070621_s2,jpg,Log shell-- wide angle view
 June 21 - stair + railing,20070621_517,jpg,Log railing
,20070621_518,jpg,Log railing
,20070621_519,jpg,Log railing
,20070621_520,jpg,Log stair
,20070621_521,jpg,Log stair
,20070621_523,jpg,Log stair
,20070621_524,jpg,Log stair
,20070621_525,jpg,Log stair
,20070621_526,jpg,Log stair
 June 4 to 7,20070607_13,jpg,Laying out the bottom round
,20070607_17,jpg,Laying out the bottom round
,20070607_19,jpg,Laying out the bottom round
,20070607_20,jpg,Laying out the bottom round
,20070607_21,jpg,Laying out the bottom round
,20070607_26,jpg,Laying out the bottom round
,20070607_29,jpg,Crafting the second round
,20070607_32,jpg,Crafting the second round
,20070607_35,jpg,Crafting the second round
,20070607_36,jpg,Crafting the second round
,20070607_38,jpg,Roof ridge beam
,20070607_39,jpg,Crafting the second round
,20070607_42,jpg,Crafting the second round
,20070607_43,jpg,Crafting the second round
 June 6,20070606b_41,jpg,Closeup view of log joinery
,20070606b_42,jpg,Closeup view of log joinery
,20070606b_43,jpg,Closeup view of log joinery
