title,fileName,extension,text
#project,Lipscomb,,Lipscomb Residence
#photos,,,Delivery and Set-up on the Site
 Jan 6,20080106_0030,jpg,Entry portico
,20080106_0031,jpg,Entry portico
,20080106_Base_log,jpg,Interior log post
,20080106_Dining,jpg,Dining room
,20080106_Great_Room,jpg,Great room
,20080106_Kitchen_1,jpg,Kitchen
,20080106_Kitchen_2,jpg,Kitchen
,20080106_loft_stairs,jpg,Stairway to loft
,20080106_piano_alcove,jpg,Piano alcove
 June 28,20050628_03,jpg,Log Shell erected on site
,20050628_04,jpg,Log Shell erected on site
,20050628_05,jpg,Log Shell erected on site
,20050628_07,jpg,Log Shell erected on site
,20050628_08,jpg,Log Shell erected on site
,20050628_22,jpg,Log Shell erected on site
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
 March 7,20050307_17,jpg,Log Shell completed
,20050307_18,jpg,Log Shell completed
,20050307_19,jpg,Log Shell completed
,20050307_20,jpg,Log Shell completed
,20050307_21,jpg,Log Shell completed
,20050307_22,jpg,Log Shell completed
,20050307_23,jpg,Log Shell completed
,20050307_24,jpg,Log Shell completed
,20050307_25,jpg,Log Shell completed
,20050307_26,jpg,Log Shell completed
,20050307_27,jpg,Log Shell completed
Jan. 6,20050106_21,jpg,Log Shell progressing
,20050106_22,jpg,Log Shell progressing
,20050106_23,jpg,Log Shell progressing
,20050106_24,jpg,Log Shell progressing
,20050106_29,jpg,Log Shell progressing
,20050106_30,jpg,Log Shell progressing
,20050106_31,jpg,Log Shell progressing
#elevations,,,Elevations
,Lipscomb_elevations,gif,
#plans,,,Floor Plans
,Lipscomb_plans,gif,
