title,fileName,extension,text
#project,McKagan,,McKagan Residence
#elevations,,,Elevations
,McKagan-elevations,gif,
#photos,,,Hand Crafting the Log Shell in our Log Yard
 Nov. 30,20071130_50,jpg,Log walls crafted up to 6th round
,20071130_51,jpg,Log walls crafted up to 6th round
,20071130_52,jpg,Log walls crafted up to 6th round
,20071130_53,jpg,Log walls crafted up to 6th round
,20071130_54,jpg,Log walls crafted up to 6th round
,20071130_55,jpg,Log walls crafted up to 6th round
,20071130_56,jpg,Log walls crafted up to 6th round
,20071130_57,jpg,Log walls crafted up to 6th round
#plans,,,Floor Plans
,McKagan-plans,gif,
