title,fileName,extension,text
#project,McKagan,,McKagan Residence
#photos,,,The Client's Site
 June 2008,20080617_46,jpg,Excavation and foundation construction
,20080617_50,jpg,Excavation and foundation construction
,20080617_52,jpg,Excavation and foundation construction
,20080617_56,jpg,Excavation and foundation construction
,20080617_63,jpg,Excavation and foundation construction
,20080617_69,jpg,Excavation and foundation construction
,20080617_71,jpg,Excavation and foundation construction
,20080617_75,jpg,Excavation and foundation construction
,20080617_91,jpg,Excavation and foundation construction
,20080617_94,jpg,Excavation and foundation construction
#photos,,,Hand Crafting the Log Shell in our Log Yard
 May 6,20080506_07,jpg,Full height log post
 April 7,20080407_77,jpg,Log staircase
 Mar. 12,20080312_39r,jpg,Dining room structure
,20080312_41,jpg,Slot for log beam connection and adjustment
,20080312_42,jpg,Kitchen structure
,20080312_45,jpg,Kitchen structure
,20080312_46,jpg,Front bedroom and garage walls
,20080312_47,jpg,Entry porch roof
,20080312_49,jpg,Entry porch roof
,20080312_50,jpg,Upper floor log joist and tuck cut
,20080312_51,jpg,Double beam and upper floor joists (roof beams laying over)
,20080312_52,jpg,Master bedroom roof structure
,20080312_54,jpg,Master bedroom roof peak
,20080312_55,jpg,Master bedroom roof peak
,20080312_56,jpg,Master bedroom roof ridge
,20080312_58,jpg,Master bedroom roof structure
,20080312_69r,jpg,Dining room structure
,20080312_73,jpg,Dining room structure
,20080312_74,jpg,Log posts with cuts for wall tenons and wall finishes
,20080312_75,jpg,Log posts
,20080312_76,jpg,Wall logs
,20080312_77,jpg,Log posts
,20080312_81,jpg,Mitred log header over log post
,20080312_82,jpg,Log beams supported by wall end
,20080312_86,jpg,Large diameter log posts for living room wall
,20080312_88,jpg,Entry porch structure
,20080312_90,jpg,Log beams supported by wall end
 Feb. 27,20080227_05,jpg,Entry porch structure
,20080227_07,jpg,Entry porch structure
,20080227_30,jpg,Header log already cut for window
,20080227_31,jpg,Upper floor and roof beams
,20080227_32,jpg,Upper floor and roof beams
,20080227_33,jpg,Log structure
,20080227_35,jpg,Full height log post
,20080227_36,jpg,Garage side wall
,20080227_37,jpg,Dining room structure
 Feb. 13,20080213_496,jpg,Full height post for dining room area
,20080213_497,jpg,Dining room structure
,20080213_498r,jpg,Kitchen structure
,20080213_499,jpg,Roof beams
,20080213_504,jpg,Dining room structure
 Jan. 15,20080115_87,jpg,Master bedroom roof peak
,20080115_89,jpg,Closeup of roof beam detailing
,20080115_90,jpg,Log shell complete up to top round
,20080115_91,jpg,Log shell complete up to top round
,20080115_92,jpg,Log shell complete up to top round
,20080115_93,jpg,Upper floor log joists and beams
,20080115_94,jpg,Log shell complete up to top round
 Jan. 3,20080103_68,jpg,Log shell complete up to top round
,20080103_69,jpg,Log shell complete up to top round
,20080103_70,jpg,Log shell complete up to top round
,20080103_71,jpg,Roof beams for Master bedroom area
,20080103_72,jpg,Log shell complete up to top round
,20080103_73,jpg,Roof beams for Master bedroom area
,20080103_74,jpg,Closeup of roof beam detailing
,20080103_75,jpg,Log shell complete up to top round
,20080103_77,jpg,Kitchen area
,20080103_78,jpg,Log shell complete up to top round
,20080103_79,jpg,Garage
,20080103_80,jpg,Garage
,20080103_81,jpg,Garage
 Dec. 12,20071212_58,jpg,Log shell complete up to header round
,20071212_60,jpg,Log shell complete up to header round
,20071212_61,jpg,Log shell complete up to header round
,20071212_62,jpg,Log shell complete up to header round
,20071212_63,jpg,Log shell complete up to header round
,20071212_65,jpg,Kitchen walls
,20071212_66,jpg,Log shell complete up to header round
,20071212_67,jpg,Log shell complete up to header round
 Nov. 30,20071130_50,jpg,Log shell complete up to 7th round
,20071130_51,jpg,Log shell complete up to 7th round
,20071130_52,jpg,Log shell complete up to 7th round
,20071130_53,jpg,Log shell complete up to 7th round
,20071130_54,jpg,Log shell complete up to 7th round
,20071130_55,jpg,Log shell complete up to 7th round
,20071130_56,jpg,Log shell complete up to 7th round
,20071130_57,jpg,Log shell complete up to 7th round
#elevations,,,Elevations
,McKagan-elevations,gif,
#plans,,,Floor Plans
,McKagan-plans,gif,
