title,fileName,extension,text
#project,McKenzie,,McKenzie Residence
#elevations,,,Elevations
,McKenzie_elevations,gif,Elevations
#plans,,,Floor Plans
,McKenzie_plans,gif,Floor Plans
#photos,,,Framing and Finishing On Site
 July 3,20080703_17,jpg,View from across the lake
,20080703_18,jpg,Roof and main floor walls framed in
,20080703_23,jpg,View from entry side
 May 26,20080526_08,jpg,Roof framing progressing
,20080526_16,jpg,Roof framing progressing
,20080526_19,jpg,Roof framing progressing
,20080526_22,jpg,Roof framing progressing
#photos,,,Set-Up of the Log Shell on Site
 May 12 and 13,setup_031,jpg,Crane placing log post
,setup_046,jpg,Some posts and beams in place
,setup_055,jpg,Three storey log posts in the prow
,setup_056,jpg,Three storey log posts in the prow
,setup_099,jpg,Crane lifting a beam
,setup_144,jpg,Placing the truss for the entry porch roof
,setup_154,jpg,Connecting main floor log beams to the log post for the spiral stair
,setup_167,jpg,Partially erected log shell from below
,setup_195,jpg,Placing upper floor log posts
,setup_206,jpg,Lifting roof beam
,setup_224,jpg,Placing entry roof ridge beam
,setup_248,jpg,Working from boom platform
,setup_275,jpg,Placing ridge beam
,setup_279,jpg,Shell nearly complete
,setup_280,jpg,Shell complete
#photos,,,Hand Crafting the Log Shell
 April 29,20080429_11,jpg,Roof structure complete
,20080429_12,jpg,Roof structure complete
,20080429_14,jpg,Roof structure complete
,20080429_15,jpg,Roof structure complete
,20080429_16,jpg,Roof structure complete
,20080429_18,jpg,Roof structure complete
,20080429_19,jpg,Roof structure complete
 April 17,20080417_45,jpg,Double beam with pitch cut
,20080417_47,jpg,Log truss for entry roof
,20080417_48,jpg,Log posts and beams
,20080417_50,jpg,Log posts and beams
 April 2,20080402_01,jpg,Log posts and beams
,20080402_03,jpg,Log posts and beams
,20080402_04,jpg,Log posts and beams
,20080402_08,jpg,Log posts and beams
,20080402_13,jpg,Log posts and beams
,20080402_16,jpg,Log posts and beams
,20080402_18,jpg,Log posts and beams
,20080402_20,jpg,Log posts and beams
,20080402_21,jpg,Log posts and beams
 March 19,20080319_22,jpg,Log posts and beams
,20080319_23,jpg,Log posts and beams
,20080319_24,jpg,Log posts
,20080319_25,jpg,Log posts
,20080319_30,jpg,Log posts and beams
,20080319_31,jpg,Log posts and beams
,20080319_32,jpg,Log posts and beams
,20080319_34,jpg,Log posts and beams
,20080319_35,jpg,Log posts and beams
,20080319_36,jpg,Log posts and beams
#photos,,,Computer Renderings
Exterior,C-ext_00,jpg,Exterior rendering
,C-ext_01,jpg,Exterior rendering
,C-ext_02,jpg,Exterior rendering
,C-ext_03,jpg,Exterior rendering
,C-ext_04,jpg,Exterior rendering
,cm21200,jpg,Exterior rendering
,C-ext_08,jpg,Exterior rendering
Interior Main Floor,C-int_20,jpg,Entry hall
,C-int_21,jpg,Front door
,C-int_22,jpg,Great room
,C-int_23,jpg,Great room
,D-int_04,jpg,Great room
,D-int_05,jpg,Dining room
,D-int_06,jpg,Dining room
,D-int_07,jpg,Kitchen
,D-int_08,jpg,Kitchen
,D-int_09,jpg,Master Bedroom
,D-int_10,jpg,Master Bedroom
,D-int_11,jpg,Master Bedroom
,D-int_12,jpg,Ensuite Bathroom
,D-int_13,jpg,Ensuite Bathroom
,D-int_14,jpg,Second Bedroom
,D-int_15,jpg,Second Bedroom
Interior Upper Floor,D-int_16,jpg,Stairway
,D-int_17,jpg,Stairway
,D-int_18,jpg,Top of stairway
,D-int_19,jpg,Study
,D-int_20,jpg,Study
,D-int_21,jpg,Hallway to third bedroom
,D-int_22,jpg,Third Bedroom
,D-int_23,jpg,Third Bedroom
,D-int_24,jpg,View from loft
,D-int_25,jpg,View from loft
