title,fileName,extension,text
#project,Palmer,,Palmer Residence
#elevations,,,Elevations
,Palmer_elevations,gif,Elevations
,Palmer-workshop_elevations,gif,Workshop Elevations
#photos,,,Hand Crafting the House Shell
 July 7,20080707_87,jpg,Log walls complete up to header round
,20080707_88,jpg,Log walls complete up to header round
,20080707_89,jpg,Log walls complete up to header round
,20080707_90,jpg,Log walls complete up to header round
 June 24,20080624_61,jpg,Log walls complete up to 7th round
,20080624_62,jpg,Log walls complete up to 7th round
,20080624_63,jpg,Log walls complete up to 7th round
,20080624_64,jpg,Log walls complete up to 7th round
,20080624_65,jpg,Log walls complete up to 7th round
,20080624_66,jpg,Log walls complete up to 7th round
,20080624_67,jpg,Log walls complete up to 7th round
 June 18,20080618_55,jpg,Log walls complete up to 5th round
,20080618_56,jpg,Log walls complete up to 5th round
,20080618_57,jpg,Log walls complete up to 5th round
,20080618_58,jpg,Log walls complete up to 5th round
,20080618_59,jpg,Log walls complete up to 5th round
,20080618_60,jpg,Log walls complete up to 5th round
#photos,,,Hand Crafting the Workshop Log Shell
 May 27,20080527_18,jpg,Log walls complete up to 7th round
,20080527_19,jpg,Log walls complete up to 7th round
,20080527_X,jpg,Log walls complete up to 7th round
,20080527_21,jpg,Log walls complete up to 7th round
 May 6,20080506_15,jpg,Crafting bottom round of wall logs
,20080506_17,jpg,Crafting bottom round of wall logs
#plans,,,Floor Plans
,Palmer_plans,gif,Floor Plans
,Palmer-workshop_plans,gif,Workshop Plans
