title,fileName,extension,text
#project,Rose,,Rose Residence
#elevations,,,Elevations
,Rose-elevations,gif,
#plans,,,Floor Plans
,Rose-plans,gif,
#photos,,,Framing and Finishing On Site
 Dec. 7,20071207_014,jpg,Roof framing progresses
,20071207_015,jpg,Roof framing progresses
#photos,,,Set-up of the Log Shell on Site
 Nov. 20,20071128_11,jpg,View down the right side
,20071128_13,jpg,Placing the ridge beam
,20071128_14,jpg,Placing the ridge beam
,20071128_15,jpg,View from above right
,20071128_16,jpg,View down the right side
,20071128_18,jpg,View from above left
,20071128_19,jpg,View from above
,20071128_20,jpg,Right side foundation
 Nov. 18,20071207_394,jpg,Main floor before log placement
,20071207_407,jpg,Stacking log walls
,20071207_412,jpg,Stacking log walls
,20071207_421,jpg,Stacking log walls
,20071207_422,jpg,Deck posts in place
,20071207_453,jpg,Roof beams in place
#photos,,,Hand Crafting the Log Shell in our Log Yard
 Oct. 31,20071031_50,jpg,Log shell complete
,20071031_51,jpg,Log shell complete
,20071031_52,jpg,Log shell complete
,20071031_53,jpg,Log shell complete
,20071031_54,jpg,Log shell complete
,20071031_55,jpg,Dummy purlins for rear wall/master bathroom
 Oct. 16,20071016_44,jpg,Log shell complete up to upper floor
,20071016_45,jpg,Log shell complete up to upper floor
,20071016_46,jpg,Log shell complete up to upper floor
,20071016_47,jpg,Log shell complete up to upper floor
,20071016_48,jpg,Log shell complete up to upper floor
,20071016_49,jpg,Log shell complete up to upper floor
,20071016_50,jpg,Log roof beams and upper posts
,20071016_51,jpg,Log roof beams and upper posts
,20071016_52,jpg,Log roof beams and upper posts
,20071016_53,jpg,Log roof beams and upper posts
,20071016_54,jpg,Log roof beams and upper posts
,20071016_55,jpg,Log roof beams and upper posts
 Sept. 25,20070925_01,jpg,Corner closeup
,20070925_02,jpg,Window openings cut and bevelled
,20070925_05,jpg,Log walls complete up to top round
,20070925_06,jpg,Log walls complete up to top round
,20070925_08,jpg,Closeup of window jamb
,20070925_10,jpg,Corner closeup
,20070925_11,jpg,Log walls complete up to top round
,20070925_12,jpg,Log walls complete up to top round
,20070925_15,jpg,Log walls complete up to top round
,20070925_18,jpg,Closeup of window jamb
,20070925_20,jpg,Interior corner
,20070925_22,jpg,Interior corner
,20070925_24,jpg,Closeup of corner notch with relief space
 Sept 13,20070913_07,jpg,Log walls crafted up to 5th round
,20070913_50,jpg,Log walls crafted up to 5th round
,20070913_51,jpg,Log walls crafted up to 5th round
,20070913_52,jpg,Log walls crafted up to 5th round
,20070913_53,jpg,Log walls crafted up to 5th round
,20070913_54,jpg,Log walls crafted up to 5th round
,20070913_55,jpg,Log walls crafted up to 5th round
,20070913_56,jpg,Log walls crafted up to 5th round
,20070913_57,jpg,Log walls crafted up to 5th round
,20070913_58,jpg,Log walls crafted up to 5th round
