title,fileName,extension,text
#project,Shannon,,Shannon Residence
#elevations,,,Elevations
,Shannon_elevations,gif,House Elevations
,Shannon_garage_elevs,gif,Garage Elevations
#photos,,,Hand Crafting the Log Roof in our Log Yard
 Sept 17,20070917_01,jpg,Handcrafted log roof structure
,20070917_02,jpg,Handcrafted log roof structure
,20070917_03,jpg,Handcrafted log roof structure
,20070917_04,jpg,Handcrafted log roof structure
#plans,,,Floor Plans
,Shannon_plans,gif,House Floor Plans
,Shannon_garage_plans,gif,Garage Floor Plans
