title,fileName,extension,text
#project,Sprinkle,,Sprinkle Residence
#photos,,,Hand Crafting the Log Shell
 June 7,20080607_18,jpg,Roof beams
,20080607_19,jpg,Roof beams
,20080607_20,jpg,Roof beams
,20080607_21,jpg,Upper floor beams and log joists
,20080607_23,jpg,Upper floor beams and log joists
,20080607_24,jpg,Upper floor beams and log joists
,20080607_25,jpg,Upper floor beams and log joists
,20080607_27,jpg,Upper floor beams and log joists
,20080607_29,jpg,Upper floor beams and log joists
,20080607_30,jpg,Upper floor beams and log joists
,20080607_31,jpg,Log truss for entry portico
,20080607_33,jpg,Upper floor beams and log joists
,20080607_34,jpg,Upper floor beams and joists--aerial view
,20080607_35,jpg,Upper floor beams and joists--aerial view
,20080607_36,jpg,Upper floor beams and joists--aerial view

#elevations,,,Elevations
,Sprinkle-elevations,gif,
#plans,,,Floor Plans
,Sprinkle-plans,gif,
