title,fileName,extension,text
#project,Thompson,,Thompson Residence
#photos,,,Framing and Finishing
July 15,071205_2,jpg,Kitchen Cabinets
,071205_3,jpg,Kitchen Cabinets
,071205_4,jpg,Kitchen Cabinets
,20051106_1,jpg,Firplace stone completed
June 21,5_10-29-04_03,jpg,Roof framing in place.
,5_10-29-04_04,jpg,Roof framing in place.
,5_11-16-04_05,jpg,Roof sheathing in place.
,5_12-10-04_06,jpg,Pine ceiling liner installed in vaulted ceiling.
,5_outside13,jpg,Wall sheathing installed.
,5_outside17,jpg,Upper floor loft framed in.
,5_outside9,jpg,House from below.
,5_P1010019,jpg,Pine ceiling liner under upper floor.
,5_P1010022,jpg,The house from above.
,5_P1010022a,jpg,Doors and windows installed with trim.
#photos,,,Delivery and Set-Up of the Log Shell on the Site
Day 1,4_001,jpg,Main floor ready for log wall stacking.
,4_009,jpg,Stacking the log walls.
,4_018,jpg,Stacking the log walls.
,4_059,jpg,Stacking the log walls.
,4_071,jpg,Stacking the log walls.
,4_095,jpg,Stacking the log walls .
Day 2,4_109,jpg,Placing the upper floor log posts.
,4_170,jpg,Placing the upper floor log posts.
,4_173,jpg,Placing the roof beams.
,4_307,jpg,Placing the roof beams .
,4_311,jpg,Placing the roof beams.
,4_313,jpg,The completed log shell from below.
,4_321,jpg,The completed log shell from above.
,4_325,jpg,The completed log shell.
,4_332,jpg,View of the lake from the living room.
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
Tails,092204_0,jpg,~ Wall tails cut and upper floor logs begun
,092204_1,jpg,~ Wall tails cut and upper floor logs begun
,092204_2,jpg,~ Wall tails cut and upper floor logs begun
,092204_3,jpg,~ Wall tails cut and upper floor logs begun
,092204_4,jpg,~ Wall tails cut and upper floor logs begun
Top Round,071904_001,jpg,~ Top round of wall logs completed.
,071904_003,jpg,~ Top round of wall logs completed.
,071904_004,jpg,~ Top round of wall logs completed.
,072004_001,jpg,~ Top round of wall logs completed.
,071904_007,jpg,~ Top round of wall logs completed.
,071904_008,jpg,~ Top round of wall logs completed.
Tenth Round,102,jpg,~ Tenth round of wall logs completed.
,103,jpg,~ Tenth round of wall logs completed.
,104,jpg,~ Tenth round of wall logs completed.
,105,jpg,~ Tenth round of wall logs completed.
,108,jpg,~ Tenth round of wall logs completed.
,109,jpg,~ Tenth round of wall logs completed.
,110,jpg,~ Tenth round of wall logs completed.
Sixth Round,001,jpg,~ Sixth round of wall logs completed.
,002,jpg,~ Sixth round of wall logs completed.
,003,jpg,~ Sixth round of wall logs completed.
,004,jpg,~ Sixth round of wall logs completed.
,005,jpg,~ Sixth round of wall logs completed.
,006,jpg,~ Sixth round of wall logs completed.
Starting Walls,Thompson01,jpg,~ Second round of wall logs completed.
,Thompson02,jpg,~ Second round of wall logs completed.
#elevations,,,Elevations
,Thompson_elevations,gif,
#plans,,,Floor Plans
,Thompson_plans,gif,
