title,fileName,extension,text
#project,Tyler,,Tyler Residence
#elevations,,,Elevations
,Tyler-elevations,gif,
#plans,,,Floor Plans
,Tyler-plans,gif,
#photos,,,Hand Crafting the Log Shell in our Log Yard
 June 26,20080626_11,jpg,Log shell complete
,20080626_12,jpg,Log shell complete
,20080626_15,jpg,Log shell complete
,20080626_16,jpg,Log shell complete
,20080626_26,jpg,Log shell complete
,20080626_33,jpg,Log shell complete
,20080626_35,jpg,Log shell complete
,20080626_36,jpg,Log shell complete
 June 7,20080607_40,jpg,Log shell complete up to upper floor
,20080607_41,jpg,Log shell complete up to upper floor
,20080607_42,jpg,Log shell complete up to upper floor
,20080607_43,jpg,Log shell complete up to upper floor
,20080607_44,jpg,Log shell complete up to upper floor
,20080607_45,jpg,Log shell complete up to upper floor
,20080607_46,jpg,Log shell complete up to upper floor
,20080607_47,jpg,Breakfast nook area
,20080607_48,jpg,Master bedroom back wall
,20080607_49,jpg,Great room wall
,20080607_50,jpg,Kitchen side wall
,20080607_51,jpg,Mudroom (entry)
,20080607_52,jpg,Wall with slot cuts for partition finish
,20080607_53,jpg,Master bedroom
,20080607_54,jpg,Master ensuite bath area
,20080607_55,jpg,Front wall (bedroom)
,20080607_56,jpg,Kitchen door
 May 12,20080512_70,jpg,Crafting top round of wall logs and upper joists
,20080512_71,jpg,Crafting top round of wall logs and upper joists
,20080512_72,jpg,Crafting top round of wall logs and upper joists
,20080512_75,jpg,Crafting top round of wall logs and upper joists
,20080512_76,jpg,Crafting top round of wall logs and upper joists
 April 23,20080423_898,jpg,Crafting 7th round of wall logs
,20080423_899,jpg,Crafting 7th round of wall logs
,20080423_900,jpg,Crafting 7th round of wall logs
,20080423_901,jpg,Crafting 7th round of wall logs
,20080423_903,jpg,Crafting 7th round of wall logs
 April 17,20080417_53,jpg,Crafting fifth round of wall logs
,20080417_54,jpg,Crafting fifth round of wall logs
,20080417_55,jpg,Crafting fifth round of wall logs
,20080417_56,jpg,Crafting fifth round of wall logs
 April 7,20080407_03,jpg,Crafting bottom round of wall logs
,20080407_04,jpg,Crafting bottom round of wall logs
,20080407_05,jpg,Crafting bottom round of wall logs
,20080407_07,jpg,Crafting bottom round of wall logs
,20080407_08,jpg,Crafting bottom round of wall logs
,20080407_09,jpg,Crafting bottom round of wall logs
,20080407_10,jpg,Crafting bottom round of wall logs
