title,fileName,extension,text
#project,Van_Ness,,Van Ness Residence
#photos,,,Hand Crafting the Log Shell in our Log Yard
 July 20,20060720_01,jpg,"Entry wall with ridge beam, purlins, and upper log posts in place"
,20060720_02,jpg,Roof purlins and upper log post
,20060720_03,jpg,Entry wall with roof logs in place
,20060720_04,jpg,Side wall with outrigger logs and roof purliins
,20060720_05,jpg,"Great room ""prow"" wall with ridge beam, purlins, and upper log posts"
,20060720_06,jpg,"Great room ""prow"" wall with ridge beam, purlins, and upper log posts"
,20060720_07,jpg,Side outriggers and roof beam
,20060720_08,jpg,Roof beams and log post
,20060720_09,jpg,Placing roof purlin
 July 13,20060713_610,jpg,Log walls complete to window and door header height
,20060713_612,jpg,Log walls complete to window and door header height
,20060713_613,jpg,Log walls complete to window and door header height
,20060713_615,jpg,Log walls complete to window and door header height
,20060713_616,jpg,Log walls complete to window and door header height
,20060713_617,jpg,Log walls complete to window and door header height
,20060713_618,jpg,Log walls complete to window and door header height
,20060713_620,jpg,Log walls complete to window and door header height
,20060713_621,jpg,Log walls complete to window and door header height
,20060713_622,jpg,Log walls complete to window and door header height
,20060713_623,jpg,Log walls complete to window and door header height
,20060713_624,jpg,Log walls complete to window and door header height
,20060713_727,jpg,Log walls complete to window and door header height
,20060713_740,jpg,Log walls complete to window and door header height
,20060713_741,jpg,Log walls complete to window and door header height
 July 6,20060706_01,jpg,Log walls complete to 7th round
,20060706_02,jpg,Log walls complete to 7th round
,20060706_03,jpg,Log walls complete to 7th round
,20060706_04,jpg,Log walls complete to 7th round
#elevations,,,Elevations
,Van_Ness_elevations,gif,Elevations
#plans,,,Floor Plans
,Van_Ness_plans,gif,Floor Plans
