title,fileName,extension,text
#project,Wuchterl,,Wuchterl Residence
#elevations,,,Elevations
,Wuchterl_elevations,gif,Elevations
#photos,,,Hand Crafting the Log Shell in our Log Yard
 August 16,20060816_38,jpg,Crafting perimeter and upper floor log beams
,20060816_39,jpg,Crafting perimeter and upper floor log beams
,20060816_40,jpg,Crafting log posts
,20060816_41,jpg,Crafting perimeter and upper floor log beams
,20060816_42,jpg,Crafting log posts
,20060816_43,jpg,Log beam to beam notch
,20060816_44,jpg,Crafting perimeter and upper floor log beams
 August 12,20060812_29,jpg,Crafting perimeter and upper floor log beams
,20060812_30,jpg,Crafting perimeter and upper floor log beams
,20060812_31,jpg,Crafting perimeter and upper floor log beams
,20060812_32,jpg,Crafting perimeter and upper floor log beams
#plans,,,Floor Plans
,Wuchterl_plans,gif,Floor Plans
