FileName,FileExtension,Caption
Basile-ARCD-6669,jpg,"Modified Pinecrest, northern California"
Basile-ARCD-6670,jpg,"Modified Pinecrest, northern California"
Basile-ARCD-6671,jpg,"Modified Pinecrest, northern California"
Basile-ARCD-6672,jpg,"Modified Pinecrest, northern California"
Basile-ARCD-6674,jpg,"Modified Pinecrest, northern California"
Basile-ARCD-6676,jpg,"Modified Pinecrest, northern California"
Bausch-20080328_09,jpg,Vacation home (modified Victoria) southern California
Bausch-20080328_13,jpg,Vacation home (modified Victoria) southern California
Branson-20070121_191,jpg,Vacation home (modified Victoria) Idaho
Hardee-P1000356,jpg,Cantilevered roof purlins
Hardee-P1000458,jpg,Modified Westbury Georgia
Horn-20070417_435r,jpg,Modified Westbury Georgia
Horn-ARCD-6340,jpg,Modified Westbury Georgia
Horn-ARCD-6344,jpg,Modified Westbury Georgia
Horn-ARCD-6346,jpg,Modified Westbury Georgia
Horn-ARCD-6348,jpg,Modified Westbury Georgia
Jencks-200712_62,jpg,Modified Westbury Colorado
Jencks-200712_66,jpg,Modified Westbury Colorado
Lemay-20090701_022,jpg,Home on a hillside British Columbia
Lemay-20090701_049,jpg,Entry porch (modified Westbury)
Lemay-20090701_052,jpg,Entry courtyard (modified Westbury)
McKagan-20090811-0942r,jpg,Home on lake front (modified Eagles Nest) Washington State
McKenzie-20090801_1r,jpg,"Home on lake front (Blue Ridge), Georgia"
McKenzie-20090801_2r,jpg,"Home on lake front (Blue Ridge), Georgia"
McKenzie-20091129_034,jpg,"Home on lake front (Blue Ridge), Georgia"
McKenzie-20091129_037,jpg,"Home on lake front (Blue Ridge), Georgia"
Nicholls-IMG_0650,jpg,Home in the country (modified Guesthouse)
Nicholls-IMG_0657,jpg,Home in the country (modified Guesthouse)
Richardson-20070829_3,jpg,Home in the country (modified Juniper)
