Blackstone-2,jpg,Exterior view
Blackstone-3,jpg,Exterior view
Blackstone-4,jpg,Exterior view
Blackstone-5,jpg,Looking from dining room to breakfast nook
Blackstone-6,jpg,View looking out of great room main windows
Blackstone-7,jpg,Looking from kitchen area to living room fire place
Blackstone-8,jpg,Looking from fireplace to kitchen
Blackstone-16,jpg,Looking from breakfast nook to dining room
Blackstone-17,jpg,Kitchen eating bar
Blackstone-18,jpg,Looking from kitchen area to living room fire place
Blackstone-21,jpg,Looking from living room towards the kitchen area
