planCode,fileName,fileNameExt,name,studySetCost,studySetCurrency,floorPlanCount,videoURL,hotm,P_B,Style,Multistyle,type,sf,sf1,sf2,sf3,sf0,pictures,interiors,video,video_L,quote,study,planbook,public,Width,Depth,Beds,Baths,Loft,Garage
Adirondac,Adirondac,jpg,Adirondac,250,CDN,2,https://www.youtube.com/watch?v=cpacfOoz9WA,,0,Stacked,0,house,2330,1668,662,0,0,x,x,x,x,x,x,x,x,70,43,3,2.5,0,0
Algonquin,Algonquin,jpg,Algonquin,250,CDN,2,https://www.youtube.com/watch?v=ya9KJydvGvk,,0,Stacked,0,house,1997,1248,749,0,0,x,x,x,x,x,x,x,x,41,35,4,2.5,0,0
Alpine,Alpine,jpg,Alpine,250,CDN,2,https://www.youtube.com/watch?v=5uwiikSrwb0,,1,PB,0,house,1410,850,560,0,0,x,x,x,x,x,x,,x,38,56,2,1.5,1,1
Ambrosio,Ambrosio,jpg,Ambrosio,250,CDN,2,,,0,Stacked,0,house,2076,1296,780,0,0,x,x,,,x,x,,x,51,42,3,2,0,2
Arlington,Arlington,jpg,Arlington,250,CDN,2,,,0,Stacked,0,house,4580,2605,1975,0,0,x,,,,x,x,,x,59,59,3,2.5,1,0
Aspen_Woods,Aspen_Woods,jpg,Aspen Woods,250,CDN,2,,,0,Stacked,0,house,3126,1955,1171,0,0,x,,,,x,x,,x,76,55,4,3,1,2
Astoria,Astoria,jpg,Astoria,250,CDN,2,https://www.youtube.com/watch?v=iJ4yvfYfhpE&t,,1,PB,0,house,1313,841,472,0,0,x,x,x,x,x,x,x,x,32,49,1,1.5,0,0
Bavarian_Dream,Bavarian_Dream,jpg,Bavarian Dream,250,CDN,2,https://www.youtube.com/watch?v=JhlboUo8tMA&t,,0,Stacked,0,house,3128,1923,1205,0,0,x,x,x,x,x,x,x,x,80,46,5,3,0,0
Bay_View,Bay_View,jpg,Bay View,250,CDN,2,,,0,Stacked,0,house,1780,1176,604,0,0,,,,,x,x,,x,27,41,2,2,1,0
Bella_Coola,Bella_Coola,jpg,Bella Coola,250,CDN,2,https://www.youtube.com/watch?v=kFCIBR_jK1o&t,,0,Stacked,0,house,2011,1434,577,0,0,x,x,x,x,x,x,,x,51,38,3,3.5,1,2
Birch_Bay,Birch_Bay,jpg,Birch Bay,250,CDN,2,https://www.youtube.com/watch?v=rvi4k4KDUX4,,1,PB,0,house,3777,2511,1266,0,0,x,x,x,x,x,x,,x,66,53,5,3.5,0,1
Blackstone,Blackstone,jpg,Blackstone,250,CDN,1,,,0,Timber,0,house,1040,1040,0,0,0,x,,,,,,,x,36,34,2,1,0,0
Blue_Ridge,Blue_Ridge,jpg,Blue Ridge,250,CDN,2,https://www.youtube.com/watch?v=r8PHcKOz5qw&t,,1,PB,0,house,2589,1924,665,0,1931,x,x,x,x,x,x,x,x,83,46,3,4,1,1
Bonavista,Bonavista,jpg,Bonavista,250,CDN,2,,,0,Stacked,0,garage,1854,900,954,185,0,x,x,,,x,x,,x,30,30,1,1,1,2
Braelorne,Braelorne,jpg,Braelorne,250,CDN,2,https://www.youtube.com/watch?v=-iIXXkexNm8&t,,0,Stacked,0,house,3286,2257,1029,0,0,x,x,x,x,x,x,x,x,72,42,3,3.5,1,0
Bridgeport,Bridgeport,jpg,Bridgeport,250,CDN,2,https://www.youtube.com/watch?v=ex2bJLyIE0Q,,1,PB,0,house,2011,1351,660,0,0,x,x,x,x,x,x,x,x,49,54,4,2.5,1,0
