Plan_Name,Display_Name,P_B,Spiral_Stair,Log_Shell_Price,Log_Shell_Regular_Price,AWB_Price,Stair_Treads,Landing_Type,Stair_Rail_Level_LF,Stair_Rail_Angled_LF,Stair_Landing_Posts,Rail_Int_2_LF,Newels_Int_2,Rail_Ext_1_LF,Rail_Ext_2_LF,Rail_Ext_LF,Newels_Ext_1,Newels_Ext_2,Newels_Ext,plannamestairrails,Roof_Main_SF,Roof_Porch_SF,Roof_SF,Deck_2x8_SF,Deck_2x10_SF,Deck_SF,Deck_Beam_LF,Deck_Post_LF,Ext_Wall_1_SF,Ext_Wall_2_SF,Ext_Wall_SF,Floor2_SF,Floor2_2x8_SF,Floor2_2x10_SF,Beam2_LF,Walls_2x4_LF,Walls_2x6_LF,Fascia_LF,Windows_Wood_Price,Windows_Vinyl_Price,Windows_Count,Doors_Wood_Price,Doors_Steel_Price,Doors_Count,Windows_Extra_Vinyl_Price,Windows_Extra_Wood_Price,Doors_Extra_Steel_Price,Doors_Extra_Wood_Price,Windows_Extra_Count,Doors_Extra_Count
PlanName,Display Name,Post&Beam,Spiral stair(s),Log Shell New,Pre sale price,AWB,#stair treads,int landing type,Int. Guardrail,Int. Angled,# ofLanding Posts,Int. Straight,Int. Newels,Ext. Main Straight,Ext. Up Bal. Straight,Total Ext. Straight,Ext 1 Newels,Ext 2 Newels,Ext. Newels,,Main Roof area,Porch roof area,Total roof area,deck 2x8 area,deck 2x10 area,Deck Total Area,deck beam length,deck post length,Walls 1 area,Walls 2 area,Total wall area,Upper Floor Total Area,Up.Flr 2x8 Area,Up.Flr 2x10 Area,Up Beam,2x4 walls,2x6 walls,1x8 fascia,Wood Win,Vinyl Win,Total Win,Wood Door,Steel Door,Total Door,Extra Windows,Extra Windows,Extra Doors,Extra Doors,Extra Windows,Extra Doors
Adirondac,Adirondac,0,,260431.7888,,7575.81,13,2,15,32,8,122,15,122,20,142,25,5,30,Adirondac,6478,200,6678,0,1347,1347,188,111,1632,1950,3582,830,830,0,1,180,30,450,"19,598.11","16,729.21",27,8014.6,8014.6,8,3056.24,"3,967.04","3,585.01","3,585.01",4,2
Algonquin,Algonquin,0,,214114.3226,,5714.83,15,1,0,16,4,11,3,190,13,203,47,4,51,Algonquin,3303,1485,4788,0,2475,2475,0,0,1232,1578,2810,740,740,0,0,260,42,420,"22,272.13","15,562.02",30,6968.5,6968.5,5,0,0,0,0,0,0
Alpine,Alpine,1,,148622.699,,1154.34,15,1,7,16,4,20,3,0,0,0,0,0,0,Alpine,1972,918,2890,77,0,77,0,0,1504,446,1950,503,0,503,0,0,197,402,21034.2,19954,25,8415,7144.5,4,0,0,0,0,0,0
Ambrosio,Ambrosio,0,,175612.2191,,4957.37,15,1,0,16,4,16,2,70,0,70,12,0,12,Ambrosio,2475,1517,3992,900,0,900,0,0,1520,588,2108,789,0,789,0,270,5,270,"10,454.79","7,918.28",16,2038.3,1544.4,2,1003.145,"1,358.61",938.63,938.63,3,1
Arlington,Arlington,0,,368025.231,,7321.71,15,1,10,16,1,162,13,128,23,151,39,8,47,Arlington,9050,0,9050,0,1942,1942,208,126,1920,1900,3820,2155,2155,0,40,458,56,608,"20,431.40","15,480.75",25,10984.6,10984.6,8,2320.01,"2,818.42","2,731.14","2,731.14",4,2
Aspen_Woods,Aspen Woods,0,,274037.8384,,8795.49,15,1,0,16,1,23,5,99,23,122,21,5,26,Aspen_Woods,6671,170,6841,0,1210,1210,123,0,2280,1954,4234,1290,0,1290,0,360,30,600,"12,690.70","9,774.67",19,5635.3,4646.4,5,0,0,0,0,0,0
Astoria,Astoria,1,ext,186435.3268,,1195.48,15,2,12,24,3,24,7,0,86,86,0,15,15,Astoria,2276,664,2941,678,0,678,,,1184,1430,2614,500,,500,0,70,28,300,"17,446.63","13,275.86",27,3557.4,3557.4,3,0,0,0,0,0,0
Bavarian_Dream,Bavarian Dream,0,,260392.7865,,5939.89,15,1,8,16,1,10,3,147,22,169,28,5,33,Bavarian_Dream,5486,644,6130,0,1756,1756,188,111,2128,1280,3408,1322,1322,0,0,249,318,460,"34,521.89","17,812.62",42,9352.2,9352.2,6,7985.945,"14,322.33","3,585.01","3,585.01",14,2
Bay_View,Bay View,0,,125950.8836,,4123.68,15,1,8,16,1,23,5,44,0,44,6,0,6,Bay_View,3249,219,3468,0,334,334,27,36,1104,704,1808,2581,0,2581,28,79,5,182,"10,907.07","8,132.29",12,5372.4,3888.5,4,0,0,0,0,0,0
Bella_Coola,Bella Coola,0,,189701.2084,,4351.16,15,0,21,32,0,38,11,9,0,9,29,0,29,Bella_Coola,3708,0,3708,0,431,431,22,10,1440,1367,2807,696,696,0,0,208,63,423,"33,323.98","26,096.27",36,3264.8,3264.8,4,557.865,938.63,874.115,874.115,1,1
Birch_Bay,Birch Bay,1,,362049.7534,,2372.81,15,1,14,24,2,21,7,44,0,44,9,0,9,Birch_Bay,5665,219,5884,688,0,688,54,25,2000,1606,3606,1515,0,1515,0,386,484,596,23609.3,22191.4,32,4950,4004,3,0,0,0,0,0,0
Blue_Ridge,Blue Ridge,1,,241235.2462,,1528.23,15,2,36,30,4,58,9,63,0,63,22,0,22,Blue_Ridge,4077,800,4877,0,450,450,50,0,1552,582,2134,855,0,855,0,135,20,395,"43,734.85","32,069.27",37,6630.8,6630.8,3,3845.6,"4,807.00","4,882.90","4,882.90",7,1
Bonavista,Bonavista,0,,116475.6311,,3181.09,15,0,10,16,0,36,5,0,24,24,0,4,4,Bonavista,2850,0,2850,93,0,93,0,0,960,1101,2061,1413,0,1413,0,51,39,283,"16,209.69","13,098.82",21,2374.9,2374.9,2,0,0,0,0,0,0
Braelorne,Braelorne,0,,266999.0794,,6440.83,15,0,0,16,0,12,4,0,47,47,0,10,10,Braelorne,5990,383,6373,329,0,329,0,0,1824,1634,3458,1125,0,1125,0,225,300,473,"24,109.69","17,318.43",39,4081,4081,5,0,0,0,0,0,0
Bridgeport,Bridgeport,1,,168973.817,,1015.19,15,1,3,24,2,23,6,0,21,21,0,2,2,Bridgeport,2631,2171,4801,0,320,320,0,0,1352,1466,2818,1320,0,2356,25,200,14,392,"23,481.57","14,577.54",18,5945.5,5393.3,4,0,0,0,0,0,0
Canterbury,Canterbury,1,,167535.3467,,1122.88,15,0,11,32,0,23,8,0,0,0,0,0,0,Canterbury,2450,475,2925,0,322,322,36,9,1496,2460,3956,536,0,536,0,205,320,352,29268.8,29263.3,47,2420,1859,2,0,0,0,0,0,0
Cascade,Cascade,1,,194166.6419,,1178.54,15,2,23,32,3,31,7,0,17,17,0,5,5,Cascade,3118,233,3357,0,598,598,88,0,1472,216,1688,881,881,0,11,183,9,390,"18,258.90","15,142.05",24,"4,840.00","3,264.80",4,0,0,0,0,0,0
Cherryville,Cherryville,0,,170545.368,,4888.4,15,0,0,16,0,28,8,114,0,114,44,0,44,Cherryville,3493,1865,5358,1281,0,1281,136,0,1328,2323,3651,1152,0,1152,0,550,30,385,"13,540.16","9,602.74",16,4593.6,4593.6,4,0,0,0,0,0,0
Chesapeake,Chesapeake,0,,184313.1623,,5183.64,15,2,12,23,5,48,12,138,0,138,22,0,22,Chesapeake,3728,1054,4782,1217,0,1217,175,0,1248,1869,3117,915,915,0,0,400,90,400,"13,649.23","8,918.64",18,6628.6,5144.7,5,0,0,0,0,0,0
Chinook,Chinook,0,,194320.6808,,4527.82,15,1,0,16,1,30,8,0,0,0,0,3,3,Chinook,3988,1319,5307,1663,0,1663,85,0,1488,1736,3224,810,0,810,0,230,50,375,"14,619.10","10,156.92",20,3933.6,3933.6,3,0,0,0,0,0,0
Coldstream,Coldstream,0,,115997.28,,3892.57,15,1,0,16,1,9,3,113,0,113,17,0,17,Coldstream,2307,452,2307,0,1036,1036,100,100,992,670,1662,702,0,702,0,112,27,229,"11,419.94","7,688.09",16,2374.9,2374.9,2,1056.275,"1,453.49","1,792.51","1,792.51",2,1
Cottonwood,Cottonwood,0,,202095.894,,5714.83,15,0,0,16,1,19,3,0,0,0,0,0,0,Cottonwood,3554,687,4241,0,789,789,0,0,1456,778,2234,660,0,660,0,236,20,320,"14,216.96","9,938.69",19,4413.2,3919.3,4,948.75,"1,243.50","2,731.14","2,731.14",2,2
Country_Pine,Country Pine,0,,80845.92863,,3534.41,0,0,0,0,0,27,9,0,0,0,0,0,0,Country_Pine,2185,0,2305,0,0,0,188,111,960,517,1477,864,0,864,0,40,0,192,"9,196.32","7,848.60",15,816.2,816.2,1,0,0,0,0,0,0
Creston,Creston,0,,234978.2321,,7282.99,15,2,21,32,4,32,8,79,28,107,14,5,19,Creston,4667,0,4667,0,1034,1034,82,0,1520,893,2413,1210,1210,0,0,374,67,285,"15,774.43","12,092.14",22,4426.4,3875.3,4,2585.66,"3,572.36","1,792.51","1,792.51",5,1
Deerfield,Deerfield,0,,134716.0658,,4353.58,15,1,11,16,2,33,7,141,0,141,31,0,31,Deerfield,2900,897,3797,0,1341,1341,144,162,1120,1106,2226,480,0,480,0,252,57,244,"9,347.71","6,849.66",10,2374.9,2374.9,2,0,0,0,0,0,0
Eagles_Nest,Eagle's Nest,0,int,255101.0989,,5723.3,15,2,12,21,2,48,6,88,15,103,23,5,28,Eagles_Nest,4198,225,4423,0,1134,1134,105,110,1920,1421,3341,1085,0,1085,28,100,30,414,"14,067.45","11,103.75",19,6821.1,6821.1,4,0,0,0,0,0,0
Edgewood,Edgewood,0,,187443.6664,,5302.22,15,1,0,16,1,90,16,0,36,36,0,8,8,Edgewood,2901,1275,4176,1288,0,1288,92,0,1152,1144,2296,969,0,969,0,119,23,359,"10,181.33","6,860.92",14,4902.7,2867.7,4,0,0,0,0,0,0
Elk_Haven,Elk Haven,0,,225745.023,,7079.71,15,2,0,16,2,66,15,100,0,100,40,0,40,Elk_Haven,5202,0,5202,0,860,860,144,162,1616,984,2600,1080,0,1080,0,252,57,450,"17,182.41","13,145.28",23,4749.8,4749.8,4,0,0,0,0,0,0
Englewood,Englewood,0,,296980.3384,,7953.33,15,1,0,16,1,76,10,22,56,78,5,13,18,Englewood,5510,178,5688,0,1150,1150,0,0,1840,1713,3553,1866,0,1866,0,290,127,500,"24,490.06","17,247.33",29,10388.4,10388.4,8,0,0,0,0,0,0
Fairmont-PB,Fairmont,1,,172291.3068,,3715.91,15,1,13,16,1,41,4,97,29,126,18,6,24,Fairmont,2157,864,3020,0,1183,1183,100,0,1088,792,1880,507,507,0,0,182,26,300,"15,673.20","11,757.75",22,4749.8,4749.8,4,2136.585,"2,967.69",837.43,"1,405.42",4,1
Fairmont,Fairmont,0,,140418.4241,,3715.91,15,1,13,16,1,41,4,97,29,126,18,6,24,Fairmont,2157,864,3020,0,1183,1183,100,0,1088,792,1880,507,507,0,0,182,26,300,"15,673.20","11,757.75",22,4749.8,4749.8,4,2136.585,"2,967.69",837.43,"1,405.42",4,1
Fox_Valley,Fox Valley,0,,403019.4263,,12608.2,15,1,0,24,2,94,3,0,70,70,0,12,12,Fox_Valley,6635,195,6830,0,1065,1065,90,0,2272,1483,3755,2235,0,2235,0,225,75,474,"25,252.72","18,273.72",37,6308.5,6308.5,5,0,0,0,0,0,0
Grandview,Grandview,0,,309245.3989,,10013.96,15,3,0,16,0,26,8,92,0,92,11,0,11,Grandview,6120,1053,7173,0,516,516,43,60,3120,641,3761,0,0,0,0,288,67,532,"22,608.04","17,853.45",35,6990.5,5888.3,5,4755.135,"6,255.43",786.83,"1,420.60",9,1
Greystone,Greystone,0,,254335.9665,,6599.34,15,2,0,16,2,104,20,59,23,82,15,6,21,Greystone,4543,1840,6383,0,625,625,70,0,2016,2120,4136,1180,0,1180,0,174,131,650,"30,532.63","22,652.42",37,10076,10076,8,0,0,0,0,0,0
Grizzly_Den,Grizzly Den,0,,398807.1833,,9715.09,15,0,0,16,0,82,35,180,0,180,53,0,53,Grizzly_Den,6282,2274,8555,0,2208,2208,209,200,2352,318,2670,857,0,857,0,400,30,383,"37,352.98","26,900.90",52,7940.9,7940.9,7,2389.585,"3,163.77","3,754.52","3,754.52",7,4
Guesthouse-PB,Guesthouse,1,,165930.7907,,4123.68,15,2,3,32,3,34,2,0,22,22,0,6,6,Guesthouse,2593,112,2705,0,153,153,30,0,1200,765,1965,690,0,690,7,85,15,250,"12,893.19","7,724.68",17,3610.2,3059.1,3,0,0,0,0,0,0
Guesthouse,Guesthouse,0,,135234.5663,,4123.68,15,2,3,32,3,34,2,0,22,22,0,6,6,Guesthouse,2593,112,2705,0,153,153,30,0,1200,765,1965,690,0,690,7,85,15,250,"12,893.19","7,724.68",17,3610.2,3059.1,3,0,0,0,0,0,0
