title,fileName,extension,text
#project,Albano,,Albano Residence
#elevations,,,Elevations
,Albano-elevations,gif,
#plans,,,Floor Plans
,Albano-plans,gif,
#photos,,,Framing and Finishing on Site
 August 2011,20110802_08,jpg,Front view
,20110802_05,jpg,Right side view
,20110802_06,jpg,Rear view
,20110802_07,jpg,Rear left corner
,20110802_09,jpg,Right side with stone being installed
,20110802_01,jpg,View from dining room into sunroom
,20110802_02,jpg,View up to loft from dining room
,20110802_03,jpg,View of vaulted ceiling over great room
,20110802_04,jpg,View of entry foyer
,20110802_10,jpg,Right side with log siding installed on upper wall
,20110802_11,jpg,Right side with log siding installed on upper wall
,20110802_12,jpg,Right side with log siding installed on upper wall
,20110802_13,jpg,Right side view
#photos,,,Set-up of the Log Shell on Site
 May 18,20110518_0319,jpg,Bolting down the bottom round of wall logs
,20110518_1816,jpg,Front view of the shell with the walls almost completed
,20110518_1889,jpg,Placing the roof purlins (upper posts already in place)
,20110518_0415,jpg,Left side view of the nearly completed shell
,20110518_1889a,jpg,View of entry roof truss and roof logs
,20110518_1915,jpg,Rear view of completed log shell
,20110518_1915a,jpg,Roof purlins and ridge over upper bedrooms
,20110518_1927,jpg,Front view of completed log shell
#photos,,,Crafting the Log Shell in our Log Yard
 April 12,20110411_031,jpg,Base of character post
,20110411_037,jpg,View from end of interior decorative post
,20110411_040,jpg,Base of corner post
,20110411_045,jpg,End grain of typical wall log
,20110411_051,jpg,Double to single beam connection over temporary post
,20110411_120,jpg,Log with all weather barrier applied
,20110411_121,jpg,Log siding
 April 11,20110411_002,jpg,"Log staircase, ready to load on the truck"
,20110411_005,jpg,Timber support posts with tenons and dowels
,20110411_012,jpg,"Corner, showing staggered tails"
,20110411_014,jpg,Window opening
,20110411_019,jpg,Staggered tails
,20110411_021,jpg,"View from entry deck, showing beam of deck roof"
,20110411_023,jpg,"View from entry deck, showing beam of deck roof"
,20110411_027,jpg,Front wall at entry deck
,20110411_030,jpg,Character post for inside entry foyer
,20110411_032,jpg,Character post for inside entry foyer
,20110411_043,jpg,Side view
,20110411_050,jpg,Temporary sunrooom corner post
,20110411_052,jpg,Beams over sunroom corner
,20110411_053,jpg,Looking into sunroom from dining room
,20110411_059,jpg,Location of character post in entry foyer
,20110411_061,jpg,Location of post beside staircase
,20110411_066,jpg,Log staircase
,20110411_067,jpg,Landing for log staircase
,20110411_070,jpg,Timber beams for deck
,20110411_071,jpg,Rail posts and spindles for log railing
,20110411_072,jpg,Lower flight of log staircase
,20110411_085,jpg,Gnarly log to be used for mantel
 March 28,20110328_389,jpg,Hand peeled log siding being processed
,20110328_391,jpg,Entry character post being finalized
,20110328_393,jpg,Looking towards the entry foyer from the kitchen area
,20110328_394,jpg,The covered front porch
,20110328_395,jpg,The front porch-- higher viewpoint
,20110328_396,jpg,The front porch-- higher viewpoint
,20110328_397,jpg,Doing the final sanding of log ends
,20110328_398,jpg,"Log staircase and landing, ready to be shipped"
 March 25,20110325_311,jpg,Birds eye view of completed house shell main level
,20110325_306,jpg,Interior through window opening
,20110325_300,jpg,Completed log shell--right side
,20110325_302,jpg,Interior view
