title,fileName,extension,text
#project,Bender,,Bender Residence
#photos,,,Completed Home
Finished Home,f67,jpg,View along main deck
,f68,jpg,View along main deck
,f73,jpg,View along entry deck
,f74,jpg,Balcony of upper second bedroom from main deck
,f75,jpg,View along main deck
,f62,jpg,Entry side of house from driveway area
,f65,jpg,Left (kitchen) side of house from above
,f02,jpg,Looking towards kitchen from Living Room
,f03,jpg,"Living Room, looking towards fireplace"
,f05,jpg,Looking towards Dining area from Living Room
,f07,jpg,Looking towards kitchen from Living Room
,f08,jpg,"Kitchen, looking towards Mud Room"
,f12,jpg,Kitchen
,f17,jpg,"Kitchen, looking towards Living Room"
,f28,jpg,"Bedroom, looking towards french doors to deck"
,f34,jpg,Looking down into Living Room from upper walkway
,f37,jpg,View from deck
,f42,jpg,"Master Bedroom, looking towards french doors to balcony"
,f38,jpg,Master Bedroom fireplace
,f44,jpg,Corner bath in ensuite Bathroom
,f47,jpg,Upper Bathroom
,f47r,jpg,Upper Bathroom
,f49,jpg,"Upper walkway, looking towards second bedroom"
,f58,jpg,View from balcony of Master Bedroom
#photos,,,Framing and Finishing On Site
Log Shell,DSCN4189,jpg,Lake Almanor from the site
,EPSN0023,jpg,House from below
,lake,jpg,"The site, with crane at work, from the lake"
,DSCN4384,jpg,Garage log shell in progress with house beyond
,DSCN4392,jpg,House log shell
,DSCN4393,jpg,House log shell
,DSCN4394,jpg,House log shell
,DSCN4395,jpg,House log shell
,DSCN4397,jpg,House log shell
,DSCN4398,jpg,House log shell
,DSCN4399,jpg,House log shell
,DSCN4401,jpg,House log shell
,DSCN4402,jpg,House log shell
,DSCN4403,jpg,House log shell
Roof Framing,DSCN7932,jpg,Garage with house beyond
,DSCN7931,jpg,Garage from the road
,DSCN7930,jpg,Garage from the road
,DSCN7929,jpg,Garage from the road
,DSCN7927,jpg,Garage from the road
,DSCN7926,jpg,Garage from the road
,DSCN7923,jpg,Garage downhill side
,DSCN7922,jpg,Garage foundation
,DSCN7898,jpg,Garage log shell
,DSCN7891,jpg,Garage log shell
,DSCN7890,jpg,Garage log shell
,DSCN7888,jpg,Garage log shell
,DSCN7885,jpg,Garage log shell
,DSCN7884,jpg,Garage log shell
,DSCN7883,jpg,Garage log shell with house beyond
,DSCN7882,jpg,Garage log shell
,DSCN7925,jpg,Garage log shell
,DSCN7924,jpg,Garage log shell
,DSCN7908,jpg,Garage log shell
,DSCN7907,jpg,House with roof framing
,DSCN7906,jpg,"House, with roof framing, seen from Garage above"
#elevations,,,Elevations        
,Bender-elevations,gif,Elevations        
#plans,,,Floor Plans
,Bender-plans,gif,Floor Plans
