title,fileName,extension,text
#project,Benson,,Benson Residence
#elevations,,,Elevations        
,Benson-elevations,gif,Elevations        
#photos,,,"Log Stacking, Framing and Finishing On Site"
 March & April 2008,200803_590,jpg,Great room windows
,200803_591,jpg,Great room windows
,200803_592,jpg,Great room wall
,200803_594,jpg,House from a distance
,200803_596,jpg,Great room windows
,200803_599,jpg,Log siding detail
,200803_601,jpg,Drywalling vaulted ceiling
,200803_602,jpg,Drywalling vaulted ceiling
,200803_610,jpg,Lower floor exterior doors
,200803_632,jpg,Plumbing detail
,200803_633,jpg,Fireplace
,200803_638,jpg,Screw jack closeup
,200803_641,jpg,Deck side stairway
,200803_643,jpg,Custom doors
,200803_644,jpg,Custom doors
,200803_645,jpg,Custom doors
,200803_646,jpg,Custom doors
,200803_647,jpg,Custom doors
,200804_662,jpg,Master bedroom vaulted ceiling
,200804_664,jpg,Installing log siding
,200804_667,jpg,Side site grading
,200804_668,jpg,Side site grading
,200804_670,jpg,Stone retaining wall
,200804_671,jpg,Side site grading
,200804_674,jpg,Lower patio
 Nov. 2007 to Jan. 2008,200711_04,jpg,Lower floor window with view
,200711_05,jpg,Installing chimney framing
,200711_20,jpg,Great room window framing
,200711_23,jpg,Master bedroom vaulted ceiling and log truss
,200711_24,jpg,Side elevation
,200711_26,jpg,Rear elevation
,200711_27,jpg,Side elevation
,200711_28,jpg,Great room windows
,200711_31,jpg,Side elevation
,200711_32,jpg,Deck log posts from below
,200711_33,jpg,Deck log posts from below with pier blocks
,200711_34,jpg,Side elevation
,200711_35,jpg,Entry side view from above
,200711_36,jpg,Decking being installed
,200711_37,jpg,Deck ceiling framing
,200711_38,jpg,View from the covered deck
,200711_39,jpg,Log railing around stair opening
,200711_41,jpg,Entry side view from above
,200711_42,jpg,Entry porch
,200711_45,jpg,Deck with railing installed
,200711_46,jpg,Finished deck celing
,200711_47,jpg,Side elevation
,200711_48,jpg,Side elevation
,200711_49,jpg,Entry side view from above
,200711_50,jpg,Snowy deck
 Sept. & Oct. 2007,200709_469,jpg,Roof framing installed
,200709_470,jpg,Entry door opening
,200709_471,jpg,Entry porch roof
,200709_472,jpg,Fascia close up
,200709_473,jpg,Roof framing over master bedroom
,200709_474,jpg,Side wall framing
,200709_475,jpg,Side wall framing
,200709_476,jpg,Great room window wall framing
,200709_477,jpg,Roof framing
,200709_478,jpg,Roof framing
,200709_479,jpg,Roof framing
,200709_480,jpg,Roof framing close up
,200709_481,jpg,Roof dormer with scaffolding (watch your step)
,200709_482,jpg,View from the roof
,200709_484,jpg,Partition walls from the roof
,200709_485,jpg,View from the roof
,200709_486,jpg,Roof framing
,200709_487,jpg,Roof framing
,200709_488,jpg,Roof framing
 Aug. 28,200708_443,jpg,Roof framing
,200708_444,jpg,Window opening with bucks in place
,200708_445,jpg,Roof dormer logs
,200708_448,jpg,Window opening with bucks in place
,200708_449,jpg,Window opening with bucks in place
,200708_450,jpg,Roof purlins
,200708_459,jpg,Roof framing installed
,200708_460,jpg,Side deck log posts
,200708_464,jpg,Roof framing
,200708_465,jpg,Roof and wall framing
,200708_466,jpg,Roof and wall framing
,200708_467,jpg,Side wall framing
