title,fileName,extension,text
#project,Bingham,,Bingham Residence
#photos,,,Finishing on Site
 Finishing,20110224_54,jpg,Left rear view
,20110224_56,jpg,Left rear view
,20110224_63,jpg,Left front view
#photos,,,Setup of the Log Shell
 Dec 12,20090701_64,jpg,Shell complete except ridge beams
,20090701_60,jpg,View from the road
,20090701_63,jpg,Shell complete except ridge beams
,20090701_67,jpg,Placing ridge beam
,20090701_68,jpg,Placing ridge beam
,20090701_69,jpg,Angled corner
,20090701_78,jpg,View up living room roof
#photos,,,Hand Crafting the Log Shell in our Log Yard
 Dec. 1,20081201_1,jpg,Log shell- birds eye view
,20081201_1a,jpg,Close view
,20081201_2,jpg,Log shell- birds eye view
,20081201_2a,jpg,Close view
,20081201_3,jpg,Log staircase
 Oct. 28,20081028_12,jpg,Crafting header round of log walls
,20081028_13,jpg,Crafting header round of log walls
,20081028_14,jpg,Crafting header round of log walls
,20081028_15,jpg,Crafting header round of log walls
,20081028_16,jpg,Crafting header round of log walls
,20081028_17,jpg,Log truss for entry porch
#elevations,,,Elevations
,Bingham-elevations,gif,
#plans,,,Floor Plans
,Bingham-plans,gif,
