title,fileName,extension,text
#project,Branson,,Branson Residence
#photos,,,Framing and Finishing on Site
Finished Home,20070121_191,jpg,Finished home in midwinter
,20070121_192,jpg,Finished home in midwinter
,20070121_244,jpg,Finished kitchen
,20070121_245,jpg,Looking toward log stair from dining area
,20070121_248,jpg,Living Room
,20070121_250,jpg,Vaulted ceiling over living room and loft as seen from stairway
,20070121_251,jpg,Looking towards vaulted living room from master bedroom
,20070121_257,jpg,Bathroom with claw-foot bathtub
,20070121_261,jpg,Bathroom vanity and mirror
 Nov 6,20061106_4,jpg,Front room french doors
,20061106_5,jpg,Side deck
,20061106_6,jpg,View from uphill side
,20061106_7,jpg,View from uphill side
,20061106_8,jpg,View from downhill
,20061106_9,jpg,View from a distance
 Sept 25,20060926_04,jpg,Wall and roof framing complete
,20060926_05,jpg,Upper front windows installed
,20060926_06,jpg,Kitchen area
,20060926_09,jpg,Front wall from the loft area
,20060926_12,jpg,Front wall from top of stair
,20060926_14,jpg,"Dormer ridge beam, roof purlin, and framed walls"
,20060926_16,jpg,View towards front from Master Suite
,20060926_17,jpg,Roof framing with strapping
,20060926_18,jpg,Main floor bedroom
,20060926_19,jpg,Laundry room
,20060926_20,jpg,Front view from below
,20060926_21,jpg,Side porch roof
,20060926_25,jpg,Front view with some log siding installed on upper walls
,20060926_27,jpg,Side porch roof
,20060926_28,jpg,Side porch
,20060926_29,jpg,Eave with roof vent strip and soffit tongue-and-groove
,20060926_31,jpg,Window close up
#photos,,,Completed Log Shell on the Client's Site
 August 15,20060815_5,jpg,Completed log shell from a distance
,20060815_1,jpg,Completed log shell
,20060815_1a,jpg,Completed log shell
,20060815_2,jpg,Double beam supported by log post with screw jack
,20060815_3,jpg,Entry side--completed log shell
,20060815_4,jpg,View from the house
#photos,,,Hand Crafting the Log Shell in our Log Yard
 July 4,20060704_01,jpg,Roof log beams and posts completed
,20060704_02,jpg,Placing a log purlin onto posts
,20060704_03,jpg,Placing a ridge beam onto posts
,20060704_04,jpg,Roof ridge beam with 2 purlins
,20060704_05,jpg,Ridge beams and purlins
,20060704_07,jpg,"Roof ridge beam, purlins, and posts"
,20060704_08,jpg,"Roof ridge beam, purlins, and posts"
,20060704_09,jpg,Placing a short beam
,20060704_10,jpg,Placing a short beam
,20060704_11,jpg,"Roof ridge beam, purlins, and posts"
,20060704_12,jpg,"Roof ridge beam, purlins, and posts"
,20060704_13,jpg,Placing dormer ridge beam
,20060704_14,jpg,Log shell completed
,20060704_15,jpg,Log shell completed
,20060704_16,jpg,Log shell completed
,20060704_17,jpg,Log shell completed
 June 28,20060628_01,jpg,Log stairway ready for shipment
,20060628_02,jpg,Log stairway ready for shipment
,20060628_03,jpg,Log stairway ready for shipment
,20060628_04,jpg,Log stairway ready for shipment
 June 22,20060622_01,jpg,Log walls completed to top round
,20060622_02,jpg,Log walls completed to top round
 June 15,20060615_01,jpg,Log walls completed to top round
,20060615_02,jpg,Log walls completed to top round
,20060615_03,jpg,Log walls completed to top round
,20060615_04,jpg,Log walls completed to top round
,20060615_05,jpg,Log walls completed to top round
,20060615_06,jpg,Closeup of log beam with post and screw jack
 June 5,20060605_01,jpg,Eighth round of wall logs
,20060605_02,jpg,Eighth round of wall logs
,20060605_03,jpg,Eighth round of wall logs
,20060605_04,jpg,Eighth round of wall logs
,20060605_05,jpg,Eighth round of wall logs
 May 24,20060524_01,jpg,Crafting of log walls in progress
,20060524_02,jpg,Crafting of log walls in progress
,20060524_03,jpg,Crafting of log walls in progress
 May 11,20060516_001,jpg,Crafting of log walls in progress
,20060516_002,jpg,Crafting of log walls in progress
,20060516_408,jpg,Crafting of log walls in progress
,20060516_409,jpg,Crafting of log walls in progress
,20060516_410,jpg,Crafting of log walls in progress
,20060516_411,jpg,Crafting of log walls in progress
,20060516_412,jpg,Crafting of log walls in progress
,20060516_413,jpg,Crafting of log walls in progress
,20060516_468,jpg,Crafting of log walls in progress
,20060516_465,jpg,Crafting of log walls in progress
,20060516_466,jpg,Crafting of log walls in progress
,20060511_1,jpg,Crafting of log walls in progress
,20060511_2,jpg,Crafting of log walls in progress
#elevations,,,Elevations
,Branson-elevations,gif,
#plans,,,Floor Plans
,Branson-plans,gif,
