title,fileName,extension,text
#project,Bryan,,Bryan Residence
#elevations,,,Elevations
,Bryan-elevations,gif,Elevations
#photos,,,Site Preparation and Foundation
 July 1,20080701_091,jpg,Excavations for strip footings
,20080701_094,jpg,Excavations for strip footings
,20080701_101,jpg,Formwork for foundation walls
,20080701_103,jpg,Formwork for foundation walls
,20080701_105,jpg,Reinforcing bars in place
,20080701_107,jpg,Formwork for foundation walls
,20080701_108,jpg,Formwork for foundation walls
,20080701_109,jpg,Bracing for full height wall
,20080701_110,jpg,View from across the road

#plans,,,Floor Plans
,Bryan-plans,gif,Floor Plans
