title,fileName,extension,text
#project,Eberl,,Eberl Residence
#elevations,,,Elevations
,Eberl-elevations,gif,
#plans,,,Floor Plans
,Eberl-plans,gif,
#photos,,,Delivery and Setup of the Log Shell
 Aug 16 (setup complete),20100816_57,jpg,Left view
,20100816_58,jpg,Rear left
,20100816_59,jpg,Rear view
,20100816_60,jpg,Rear view
,20100816_63,jpg,Right (garage)
,20100816_64,jpg,Right (garage)
,20100816_66,jpg,Front (entry) side
,20100816_69,jpg,Door jamb
,20100816_70,jpg,Partition wall slots
,20100816_71,jpg,Great room corner
,20100816_72,jpg,Nook bay
,20100816_73,jpg,Mudroom archway
,20100816_74,jpg,Corner closeup
,20100816_75,jpg,Angled corner
,20100816_76,jpg,Garage corner
,20100816_77,jpg,Garage door
,20100816_78,jpg,Garage inside wall
,20100816_79,jpg,Garage inside wall
,20100816_82,jpg,Roof logs
,20100816_84,jpg,Joist pocketed into wall
,20100816_85,jpg,Joist pocketed into wall
,20100816_86,jpg,Roof logs
,20100816_87,jpg,Roof logs
,20100816_88,jpg,Roof logs
,20100816_89,jpg,Roof logs
,20100816_90,jpg,Upper post
 Aug 6,20100806_77,jpg,Loading the logs onto trucks for delivery
,20100806_78,jpg,Loading the logs onto trucks for delivery
#photos,,,Site Preparation
 Aug 4,20100804_1,jpg,Main floor joists being installed
,20100804_2,jpg,Beginning main floor sheathing
,20100804_3,jpg,Installing main floor sheathing
,20100804_4,jpg,Main floor sheathing installed
 June & July,20100707_1,jpg,Excavating the footprint
,20100707_2,jpg,The view
,20100707_3,jpg,Forms for strip footings
,20100707_4,jpg,Forms for foundation walls
,20100707_5,jpg,Foundation wall forms with reinforcing
,20100707_6,jpg,Foundation wall forms with reinforcing
,20100707_7,jpg,Pouring the foundation walls
#photos,,,Hand Crafting the Log Shell in our Log Yard
 April 23,20100423_368,jpg,Garage
,20100423_369,jpg,View through garage
,20100423_371,jpg,Side view
,20100423_373,jpg,Garage side
,20100423_374,jpg,Rear
,20100423_376,jpg,Rear prow
,20100423_378,jpg,Rear deck at mud room
,20100423_379,jpg,Rear great room prow
,20100423_381,jpg,Nook bay
,20100423_382,jpg,Working on log siding
,20100423_383,jpg,Interior view
,20100423_385,jpg,Interior great room
,20100423_387,jpg,Interior arched opening
,20100423_388,jpg,Interior arched opening
,20100423_389,jpg,Great room
,20100423_390,jpg,Working on log siding
,20100423_391,jpg,Master suite french doors opening
,20100423_394,jpg,Interior
,20100423_396,jpg,Interior looking toward mud room
,20100423_397,jpg,Interior looking toward mud room
,20100423_399,jpg,Right side
,20100423_402,jpg,Log siding
,20100423_404,jpg,Log posts
,20100423_405,jpg,Front (entry) side
,20100423_406,jpg,Entry portico roof
,20100423_407,jpg,Entry portico roof
,20100423_409,jpg,Garage side
,20100423_410,jpg,Log posts
,20100423_411,jpg,Log posts
,20100423_412,jpg,Log posts
,20100423_413,jpg,Log posts
,20100423_414,jpg,Log posts
,20100423_415,jpg,Log beams
,20100423_416,jpg,Log beam
,20100423_417,jpg,Log beams
,20100423_418,jpg,Log beams
 March 10,20100310_84,jpg,Crafting 8th round of wall logs: garage doors
,20100310_85,jpg,Crafting 8th round of wall logs: view of garage side
,20100310_86,jpg,Entry wall
,20100310_87,jpg,Cutting the lateral groove in a wall log
,20100310_89,jpg,Log wall progress
,20100310_91,jpg,View to great room side
,20100310_92,jpg,Breakfast nook area
,20100310_94,jpg,End wall
,20100310_95,jpg,Back right corner
,20100310_96,jpg,View from crane: garage and house
,20100310_97,jpg,View from crane: master suite end
,20100310_98,jpg,View from crane: great room and kitchen area
 March 1,20100301_74,jpg,Crafting header round of wall logs
,20100301_75,jpg,Crafting header round of wall logs
,20100301_76,jpg,Crafting header round of wall logs
,20100301_77,jpg,Crafting header round of wall logs
,20100301_78,jpg,Crafting header round of wall logs
,20100301_79,jpg,Birds eye view--left end of house
,20100301_80,jpg,Birds eye view--house and mudroom
,20100301_81,jpg,Birds eye view--mudroom and garage
,20100301_82,jpg,Birds eye view--mudroom and garage
 Feb 22,20100222_60,jpg,Crafting 5th round of wall logs
,20100222_61,jpg,Crafting 5th round of wall logs
,20100222_62,jpg,Crafting 5th round of wall logs
,20100222_63,jpg,Crafting 5th round of wall logs
,20100222_65,jpg,Crafting 5th round of wall logs
,20100222_66,jpg,Crafting 5th round of wall logs
,20100222_67,jpg,Crafting 5th round of wall logs
,20100222_68,jpg,Crafting 5th round of wall logs
,20100222_69,jpg,Crafting 5th round of wall logs
 Feb 10,20100210_54,jpg,Crafting bottom round of wall logs
,20100210_55,jpg,Bottom round-- house and garage
,20100210_56,jpg,Crafting bottom round of wall logs
