title,fileName,extension,text
#project,Gonzales,,Gonzales Residence
#elevations,,,Elevations
,Gonzales-elevations,gif,Elevations
#photos,,,Delivery and Set-Up of the Log Shell
 June 21,20070621_05,jpg,Completed shell
,20070621_04,jpg,Placing the ridge beam
,20070621_03,jpg,Placing the ridge beam
,20070621_01,jpg,The stacking crew
 June 20,20070621_27,jpg,Wall logs stacked up to 7th round
,20070621_20,jpg,Placing header log
,20070621_18,jpg,Placing wall log with saddle notch
,20070621_16,jpg,Placing header round on side wall
,20070621_14,jpg,Truck almost unloaded
,20070621_22,jpg,Log stair and railing waiting to be installed
,20070621_11,jpg,Entry portico
,20070621_10,jpg,Entry portico
,20070621_09,jpg,Octagonal Great Room
,20070621_07,jpg,Double log beam and upper floor log joists in place
,20070621_06,jpg,Placing top wall round of octagonal front
#photos,,,Hand Crafting the Log Shell in our Log Yard
 May 29,20070529_01,jpg,Log stair
,20070529_02,jpg,Log stair
,20070529_03,jpg,Log stair
 May 25 (log shell complete),20070525_02,jpg,Rear view
,20070525_03,jpg,Rear left corner view
,20070525_04,jpg,Left side view with cantilevered log joists
,20070525_05,jpg,Left side view with entry portico beyond
,20070525_06,jpg,Upper left wall (Master Bedroom deck)
,20070525_07,jpg,Front view
,20070525_08,jpg,Great room with turret roof
,20070525_09,jpg,Front right corner
,20070525_10,jpg,Right side view
,20070525_11,jpg,Right rear corner
,20070525_12,jpg,"Roof logs over upper bedroom, with pitch cuts for roof framing"
,20070525_13,jpg,Roof over Master Bedroom
,20070525_14,jpg,Entry portico with log truss
,20070525_15,jpg,Closeup of turret roof log bearing on wall
,20070525_16,jpg,Turret roof log supported by post and temporary spacer blocks
,20070525_17,jpg,Turret roof log supported by post and temporary spacer blocks
,20070525_18,jpg,Turret roof log supported by post and temporary spacer blocks
,20070525_19,jpg,View up towards roof
,20070525_20,jpg,Ridge beam
,20070525_21,jpg,Upper posts and roof structure
,20070525_22,jpg,Roof beam and purlin supported by upper log post
,20070525_23,jpg,Roof beam and purlin supported by upper log post
,20070525_26,jpg,Slot cuts in log wall to accommodate wall finish at frame wall locations
,20070525_27,jpg,Slot cuts in log wall to accommodate wall finish at frame wall locations
,20070525_28,jpg,Slot cuts in log wall to accommodate wall finish at frame wall locations
,20070525_30,jpg,Slot cuts in log wall to accommodate wall finish at frame wall locations
 May 16,20070516_01,jpg,Rear side with roof logs
,20070516_02,jpg,Left rear corner
,20070516_03,jpg,Left side with windows to kitchen and dining
,20070516_04,jpg,Front view with great room turret roof
,20070516_05,jpg,Front right corner
,20070516_06,jpg,Right rear corner
,20070516_08,jpg,Corner closeup with staggered tails
,20070516_09,jpg,Corner closeup with staggered tails
,20070516_10,jpg,Corner closeup with staggered tails
,20070516_11,jpg,Roof purlin with pitch cut for roof framing
,20070516_12,jpg,Front right corner with portico to great room beyond
,20070516_13,jpg,Corner closeup with staggered tails
,20070516_14,jpg,Great room roof
,20070516_15,jpg,Great room roof
,20070516_17,jpg,Great room roof
,20070516_18,jpg,Right side wall with pitch cut on top log
 April 25 (a),20070425_01,jpg,Log walls complete; beginning upper joists and roof
,20070425_02,jpg,Log walls complete; beginning upper joists and roof
,20070425_03,jpg,Log walls complete; beginning upper joists and roof
,20070425_04,jpg,Log walls complete; beginning upper joists and roof
,20070425_05,jpg,Entry porch roof and log posts
,20070425_06,jpg,Entry porch roof and log posts
,20070425_07,jpg,Entry porch roof and log posts
,20070425_08,jpg,Living room area
,20070425_09,jpg,Right side wall
,20070425_10,jpg,Right side wall
,20070425_12,jpg,Window opening
,20070425_14,jpg,Window opening
,20070425_16,jpg,Door opening
 April 25 (b),20070425_18,jpg,Window opening
,20070425_20,jpg,Window opening
,20070425_21,jpg,Window opening
,20070425_23,jpg,Window opening
,20070425_24,jpg,Door opening
,20070425_26,jpg,Window opening
,20070425_27,jpg,Upper floor beam and log joists
,20070425_28,jpg,Upper floor log joist
,20070425_29,jpg,Upper floor beam and log joists
,20070425_30,jpg,Upper floor beam and log joists
,20070425_31,jpg,Beam over living room
,20070425_32,jpg,Upper floor beam and log joists
,20070425_33,jpg,Upper floor beam and log joists
#plans,,,Floor Plans
,Gonzales-plans,gif,Floor Plans
