title,fileName,extension,text
#project,Griggers,,Griggers Residence
#elevations,,,Elevations
,Griggers-elevations,gif,
#plans,,,Floor Plans
,Griggers-plans,gif,
#photos,,,Finishing On Site
 Fall 2009,Griggers-h1,jpg,Garage and house
#photos,,,Setup of the Log Shell
 August 18,20080819_393,jpg,Garage log shell
,20080819_394,jpg,Garage log shell
,20080819_395,jpg,Garage log shell
,20080819_397,jpg,House log shell
,20080819_398,jpg,House log shell
,20080819_399,jpg,House log shell
,20080819_400,jpg,House log shell
#photos,,,Hand Crafting the Log Shell in our Log Yard
 August 7,20080801_277,jpg,Log stair
,20080801_278,jpg,Log stair
,20080801_279,jpg,Log stair
,20080807_315,jpg,Master bedroom roof
,20080807_317,jpg,Master bedroom roof
,20080807_318,jpg,Master bedroom roof
,20080807_322,jpg,Roof ridge
 July 30,20080730_45,jpg,Log post with beam pocket
,20080730_47,jpg,Log post and beams with slot cuts
,20080730_48,jpg,Dowelled beam connection
,20080730_61,jpg,Roof beams
,20080730_63,jpg,Roof structure
,20080730_65,jpg,Roof structure
,20080730_66,jpg,Roof structure
,20080730_67,jpg,Log posts
,20080730_72,jpg,Log staircase
,20080730_74,jpg,Stair landing
 June 26,20080626_21,jpg,Log beams and joists for upper floor
,20080626_22,jpg,Log beams and joists for upper floor
,20080626_24,jpg,Log beams and joists for upper floor
,20080626_27,jpg,Log beams and joists for upper floor
,20080626_28,jpg,Log beams and joists for upper floor
,20080626_29,jpg,Log beams and joists for upper floor
,20080626_30,jpg,Log beams and joists for upper floor
