title,fileName,extension,text
#project,Hardee,,Hardee Residence
#photos,,,Framing and Finishing on the Client's Site
,20060904_2,jpg,View from below; Dining area on left and Great Room on right
,20060904_3,jpg,Prow roof over Great Room cantilevers 7 feet
,20060904_4a,jpg,Uphill (entry) side of house
,20061020_367,jpg,Deck railing installed
,20061020_392,jpg,Garage with stairway to main deck
,20060904_1,jpg,Upper windows into Master Bedroom vaulted ceiling
,20061020_398,jpg,View down into Dining Area
,20061020_412,jpg,Don't look down
,20061020_446,jpg,Entry portico with custom door set and stone work
,20061020_447,jpg,View of entry side from above
,20060809_97,jpg,Upper log railing installed
,20060809_99,jpg,Great Room ceiling from stairway
,20061020_458,jpg,Night view from below
#photos,,,Delivery and Set-Up of the Log Shell on the Client's Site
Nov. 1,20051102_621,jpg,Completed log shell
,20051102_615,jpg,Completed log shell
,20051108_1,jpg,The crew on the finished shell
,20051108_2,jpg,The crew on the finished shell
,20051101_515,jpg,Setting up the log shell
,20051101_505,jpg,Setting up the log shell
,20051101_509,jpg,Setting up the log shell
,20051101_502,jpg,Setting up the log shell
,20051101_523,jpg,Setting up the log shell
,20051101_574,jpg,Setting up the log shell
,20051101_523cu,jpg,Detail--double and single beams notched over post
,20051101_567,jpg,Detail--beams tenon into post
,20051101_533,jpg,Completed log shell
,20051101_545,jpg,Completed log shell
,20051101_547,jpg,Completed log shell
,20051101_549,jpg,Completed log shell
,20051101_524,jpg,Completed log shell
,20051101_557,jpg,Beams over great room
,20051101_555,jpg,Closeup--cantilevering beams
,20051101_563,jpg,Completed log shell
,20051101_566,jpg,Completed log shell
,20051102_598,jpg,Completed log shell
Oct. 31,20051101_503,jpg,Crane placing log beam
,20051101_496,jpg,Setting up the log shell
,20051101_499cu,jpg,Closeup--post and beam joinery
,20051031_449,jpg,Setting up the log shell
,20051031_471,jpg,Setting up the log shell
,20051031_456,jpg,Closeup--post and beam joinery
,20051031_462,jpg,Closeup--connection over post
,20051101_573,jpg,Setting up the log shell
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
Oct. 25,20051025_1,jpg,Log shell complete
,20051025_2,jpg,Log shell complete
,20051025_3,jpg,Log shell complete
,20051025_4,jpg,Log shell complete
,20051025_5,jpg,Log shell complete
,20051025_6,jpg,Log shell complete
,20051025_7,jpg,Log shell complete
,20051025_8,jpg,Log shell complete
,20051025_9,jpg,Log shell complete
,20051025_10,jpg,Log shell complete
,20051025_11,jpg,Log shell complete
,20051025_12,jpg,Log shell complete
,20051025_13,jpg,Log shell complete
,20051025_14,jpg,Log shell complete
,20051025_15,jpg,Log shell complete
,20051025_17,jpg,Log shell complete
,20051025_18,jpg,Log shell complete
,20051025_19,jpg,Log shell complete
,20051025_21,jpg,Log shell complete
,20051025_22,jpg,Log shell complete
Oct.14,20051014_15,jpg,Hand crafting of log posts and beams
,20051014_16,jpg,Hand crafting of log posts and beams
,20051014_17,jpg,Hand crafting of log posts and beams
,20051014_19,jpg,Hand crafting of log posts and beams
,20051014_20,jpg,Hand crafting of log posts and beams
,20051014_21,jpg,Hand crafting of log posts and beams
,20051014_22,jpg,Hand crafting of log posts and beams
,20051014_23,jpg,Hand crafting of log posts and beams
,20051014_24,jpg,Hand crafting of log posts and beams
,20051014_25,jpg,Hand crafting of log posts and beams
,20051014_27,jpg,Hand crafting of log posts and beams
,20051014_31,jpg,Hand crafting of log posts and beams
,20051014_44,jpg,Log Staircase with Railings
,20051014_45,jpg,Log Staircase with Railings
,20051014_47,jpg,Log Staircase with Railings
,20051014_49,jpg,Log Staircase with Railings
Oct.4,20051004_2,jpg,Hand crafting of log posts and beams
,20051004_4,jpg,Hand crafting of log posts and beams
,20051004_5,jpg,Hand crafting of log posts and beams
,20051004_6,jpg,Hand crafting of log posts and beams
,20051004_7,jpg,Hand crafting of log posts and beams
,20051004_8,jpg,Hand crafting of log posts and beams
,20051004_9,jpg,Hand crafting of log posts and beams
,20051004_10,jpg,Hand crafting of log posts and beams
,20051004_11,jpg,Hand crafting of log posts and beams
Sept. 30,20050930_1,jpg,Hand crafting of log posts and beams
,20050930_2,jpg,Hand crafting of log posts and beams
,20050930_3,jpg,Hand crafting of log posts and beams
,20050930_4,jpg,Hand crafting of log posts and beams
,20050930_5,jpg,Hand crafting of log posts and beams
,20050930_7,jpg,Hand crafting of log posts and beams
,20050930_8,jpg,Hand crafting of log posts and beams
,20050930_9,jpg,Hand crafting of log posts and beams
,20050930_10,jpg,Hand crafting of log posts and beams
#elevations,,,Elevations
,Hardee-elevations,gif,
#plans,,,Floor Plans
,Hardee-plans,gif,
