title,fileName,extension,text
#project,Hebert,,Hebert Residence
#elevations,,,Elevations
,Hebert-elevations,gif,
#plans,,,Floor Plans
,Hebert-plans,gif,
#photos,,,Framing and Finishing on Site
 August,c8-2991,jpg,Roof framing over great room
,c8-2992,jpg,Roof framing over great room
,c8-2993,jpg,Covered deck at nook
,c8-2994,jpg,Garage end
,c8-2995,jpg,Prow roof
,c8-2997,jpg,Entry side view
,c8-3090,jpg,Garage door opening
,c8-3091,jpg,Entry side roofs
,c8-3097,jpg,Entry side roofs
,c8-3098,jpg,Left entry side
,c8-3099,jpg,Left side view
,c8-3100,jpg,Left side view
,c8-3101,jpg,Covered deck at nook
,c8-3102,jpg,View from below
,c8-3103,jpg,View from wharf
,c8-3104,jpg,View from wharf
,c8-3105,jpg,Prow from below
,c8-3106,jpg,Prow from below
,c8-3107,jpg,View from below
,c8-3108,jpg,Installing fascias
,c8-3109,jpg,Installing fascias
 July,c7-2800,jpg,Exploring the new house
,c7-2801,jpg,Great room
,c7-2802,jpg,Entry foyer
,c7-2804,jpg,Family portrait
,c7-2806,jpg,Entry porch roof
,c7-2807,jpg,Kitchen and nook area
,c7-2808,jpg,Entry side view
#photos,,,Delivery and Setup On Site
Setup 2,c6-1845,jpg,Placing roof beams
,c6-1846,jpg,Placing roof beams
,c6-1847,jpg,Placing roof beams
,c6-1848,jpg,Log shell nearly complete
,c6-1850,jpg,3 storey tall prow log posts
,c6-1851,jpg,Log shell nearly complete
,c6-1852,jpg,Getting ridge beam ready
,c6-1853,jpg,Far view of shell progress
,c6-1854,jpg,Far view of shell progress
,c6-1855,jpg,Far view of shell progress
,c6-1856,jpg,Far view of shell progress
,c6-1857,jpg,Far view of shell progress
,c6-1858,jpg,Far view of shell progress
,c6-1859,jpg,Far view of shell progress
,c6-1860,jpg,Far view of shell progress
,c6-1861,jpg,Setting the ridge beam
,c6-1862,jpg,Setting the ridge beam
,c6-1863,jpg,Setting the ridge beam
,c6-1864,jpg,Setting the ridge beam
,c6-1865,jpg,Happy crew--almost done
,c6-1867,jpg,Happy crew--almost done
,c6-1868,jpg,Happy crew--almost done
,c6-1869,jpg,Happy crew--almost done
Setup 1,c5-1849,jpg,3 storey tall prow log posts
,c5-2783,jpg,Placing main floor log posts
,c5-2784,jpg,Truck almost unloaded
,c5-2785,jpg,Main floor log posts
,c5-2786,jpg,Placing upper floor beam
,c5-2787,jpg,
,c5-2788,jpg,Placing upper floor beam
,c5-2789,jpg,Placing upper floor beam
,c5-2790,jpg,
,c5-2792,jpg,Progress from below
,c5-2793,jpg,View from right side
,c5-2794,jpg,Placing upper floor beams
,c5-2795,jpg,Placing upper floor beams
,c5-2796,jpg,Placing upper floor beams
,c5-2797,jpg,Water break
,20100719_17,jpg,Lake view
,20100719_18,jpg,Lake view
Delivery 2,c4-2727,jpg,Main floor framing in place
,c4-2728,jpg,Lake view
,c4-2729,jpg,Main floor framing in place
,c4-2730,jpg,Main floor framing in place
,c4-2731,jpg,Main floor framing in place
,c4-2732,jpg,Main floor framing in place
,c4-2733,jpg,Surroundings
,c4-2734,jpg,Surroundings
,c4-2735,jpg,Entry deck piers
,c4-2736,jpg,The crane arrives
,c4-2737,jpg,Getting the crane in place
,c4-2738,jpg,Getting the crane in place
,c4-2739,jpg,Getting the crane in place
,c4-2740,jpg,Getting the crane in place
,c4-2741,jpg,First log package truck arrives
,c4-2742,jpg,First log package truck arrives
,c4-2743,jpg,First log package truck arrives
,c4-2744,jpg,Getting the log truck in place
,c4-2745,jpg,Getting the log truck in place
,c4-2746,jpg,Getting the log truck in place
,c4-2747,jpg,Starting to unload the truck
,c4-2748,jpg,Starting to unload the truck
,c4-2749,jpg,Starting to unload the truck
,c4-2750,jpg,Starting to unload the truck
,c4-2751,jpg,Cooling off in the lake
,c4-2752,jpg,
Delivery 1,20100625_366,jpg,Loaded truck leaves log yard
,20100625_370,jpg,Log stairs
,20100625_379,jpg,Loading truck
#photos,,,Hand Crafting the Log Shell in our Log Yard
Build: May 7,20100507_886,jpg,Log roof beams
,20100507_889,jpg,Upper floor beams and log joists
,20100507_892,jpg,Upper floor beams and log joists
,20100507_897,jpg,Fisheye view--upper floor logs
,20100507_901,jpg,Log posts
,20100507_903,jpg,Upper log shell complete
,20100507_904,jpg,Entry roof truss
,20100507_905,jpg,Upper log shell complete
,20100507_906,jpg,Upper log shell complete
