title,fileName,extension,text
#project,Heidemann,,Heidemann Residence
#elevations,,,Elevations
,Heidemann-elevations,gif,
#plans,,,Floor Plans
,Heidemann-plans,gif,
#photos,,,Crafting the Log Shell
 Sept 27,20100927_1014,jpg,Log shell complete
,20100927_1016,jpg,Log shell complete
,20100927_1017,jpg,Log shell complete
,20100927_1018,jpg,Log shell complete
,20100927_1019,jpg,Log shell complete
,20100927_1020,jpg,Closeup-slot cuts
,20100927_1026,jpg,Truss for entry roof
,20100927_1027,jpg,Truss for entry roof
,20100927_1028,jpg,Truss for entry roof
,20100927_1029,jpg,Beams and post with slot cuts
,20100927_1030,jpg,Exterior posts with slot and tuck cuts
,20100927_1031,jpg,Beam with pitch cut
,20100927_1035,jpg,Log shell complete
 Sept 17,20100917_910,jpg,Roof beams
,20100917_911,jpg,Upper posts
,20100917_912,jpg,Upper posts
,20100917_913,jpg,Upper posts
,20100917_914,jpg,Upper posts
,20100917_915,jpg,Upper posts
,20100917_916,jpg,Upper posts
,20100917_917,jpg,Roof beams
,20100917_918,jpg,Roof beams
,20100917_919,jpg,Upper posts
,20100917_920,jpg,Upper posts
,20100917_921,jpg,Upper posts
,20100917_922,jpg,Roof beams
,20100917_923,jpg,Roof beams
 Sept 12,20100912_774,jpg,Log posts
,20100912_775,jpg,Log posts
,20100912_776,jpg,Log posts
,20100912_777,jpg,Log posts
,20100912_778,jpg,Log posts
,20100912_779,jpg,Log posts
,20100912_780,jpg,Log posts
,20100912_781,jpg,Log posts
,20100912_782,jpg,Log posts
,20100912_783,jpg,Log beam pitch cuts
,20100912_784,jpg,Mortise for log post
 Sept 8,20100908_711,jpg,Upper floor log structure
,20100908_713,jpg,Upper floor log structure
,20100908_716,jpg,Upper floor log structure
 Sept 3,20100903_2794,jpg,Upper floor log structure
,20100903_2795,jpg,Upper floor log structure
,20100903_2796,jpg,Upper floor log structure
,20100903_2797,jpg,Upper floor log structure
 Aug. 20,20100820_144,jpg,Crafting upper floor beams
,20100820_147,jpg,Crafting upper floor beams
,20100820_161,jpg,Cutting flats on the band saw
,20100820_278,jpg,Upper floor structure from the left end
,20100820_285,jpg,Log siding
,20100820_286,jpg,Log siding
,20100820_309,jpg,Top beam of double beams
#photos,,,Computer Renderings
Exterior,ext-00,jpg,
,ext-01,jpg,
,ext-02,jpg,
,ext-03,jpg,
,ext-04,jpg,
,ext-05,jpg,
,ext-06,jpg,
,ext-07,jpg,
,ext-08,jpg,
,ext-09,jpg,
Interior,int-00,jpg,View from entry
,int-01,jpg,Living room
,int-02,jpg,Living room
,int-03,jpg,Kitchen
,int-04,jpg,Kitchen
,int-05,jpg,Living room stair and fireplace
,int-06,jpg,Master bedroom
,int-07,jpg,Master bedroom
,int-08,jpg,Master bathroom
,int-09,jpg,Master bathroom
,int-10,jpg,Master bathroom
,int-11,jpg,Living room ceiling
,int-12,jpg,Upper walkway
,int-13,jpg,Loft
,int-14,jpg,View from loft
,int-15,jpg,Upper walkway
,int-16,jpg,Upper front bedroom
,int-17,jpg,Upper front bedroom
,int-18,jpg,Upper rear bedroom
,int-19,jpg,Upper rear bedroom
,int-20,jpg,Log stairway from entry
