title,fileName,extension,text
#project,Herbert,,Herbert Residence
#photos,,,Finished Home
Finished Home,2012_05_29_064,jpg,View from driveway
,2012_05_29_069,jpg,Upper patio near entry
,2012_05_29_071,jpg,Entry portico
,2012_05_29_073,jpg,Entry portico and bedroom dormer
,2012_05_29_077,jpg,Veiw from southeast corner
,2012_05_29_078,jpg,Log stairway in entry hall
,2012_05_29_079,jpg,Living room
,2012_05_29_082,jpg,Dining nook
,2012_05_29_084,jpg,Kitchen
,2012_05_29_085,jpg,View from eating bar towards living room
,2012_05_29_086,jpg,Kitchen and dining nook
,2012_05_29_087,jpg,Living room viewed from top of stairway
,2012_05_29_088,jpg,Log stairway viewed from top
,2012_05_29_089,jpg,Upper east bedroom
,2012_05_29_091,jpg,Guard dog
,2012_05_29_092,jpg,Dining nook viewed from loft
,2012_05_29_094,jpg,Upper walkway
,2012_05_29_096,jpg,Master bedroom with vaulted ceiling
,2012_05_29_100,jpg,Living room
,2012_05_29_105,jpg,Living room windows from main deck
,2012_05_29_109,jpg,Deck outside master bedroom
,2012_05_29_110,jpg,Main deck
,2012_05_29_121,jpg,View from south driveway
,2012_05_29_122,jpg,South end wall
#photos,,,Framing and Finishing on the Site
 March 2009,20090325_63,jpg,View out living room window from upper walkway
,20090325_49,jpg,Living room vaulted ceiling drywalled
,20090325_50,jpg,Upper walkway
,20090325_51,jpg,Clerestorey windows
,20090325_52,jpg,Master bathroom ceiling
,20090325_57,jpg,Roof beams and purlins
,20090325_58,jpg,Roof beams and purlins
,20090325_59,jpg,Loft
,20090325_61,jpg,Looking back towards living room from loft
,20090325_64,jpg,Main stairway from above
,20090325_66,jpg,Main stairway from above
,20090325_67,jpg,Upstairs bedroom
,20090325_47,jpg,Unique indoor window
,20090325_68,jpg,Unique window from upstairs bedroom
,20090325_69,jpg,Top of stairway
,20090325_71,jpg,Top of stairway
,20090325_72,jpg,Master bedroom sitting area
,20090325_75,jpg,Master bedroom sitting area
,20090325_76,jpg,Master bedroom double height log post
,20090325_77,jpg,Breakfast nook
,20090325_80,jpg,Underneath stairway
,20090325_82,jpg,Upper walkway over living room
,20090325_83,jpg,Roof beams and purlins over stairway
,20090325_84,jpg,Upper walkway over living room
 March 2008,20080317_096,jpg,Entry side
,20080317_098,jpg,Left side
,20080317_099,jpg,Dormer framing
,20080317_100,jpg,Entry portico
,20080317_101,jpg,Right side
,20080317_103r,jpg,Upper floor and roof framing
,20080317_104,jpg,Upper floor and roof framing
,20080317_105,jpg,View towards living room from kitchen
,20080317_106,jpg,Log stairway from kitchen
,20080317_107,jpg,Log stairway
,20080317_111,jpg,High level windows in master bedroom
,20080317_112,jpg,Master bedroom view towards sitting area
,20080317_116,jpg,Wall framing closeup
,20080317_117,jpg,Ridge beam
,20080317_123,jpg,Transfer log post
,20080317_126,jpg,Log stair landing from upper floor
,20080317_127,jpg,Ridge beam
,20080317_134,jpg,View down into dining from loft
,20080317_135,jpg,
,20080317_136,jpg,Log joinery closeup
,20080317_138,jpg,Log joinery closeup
,20080317_144,jpg,Full height log post
,20080317_148,jpg,Log joinery closeup
,20080317_151,jpg,Wall framing and log beam scarfs
,20080317_152,jpg,Wall and upper floor framing
 May 2007,20070524_02,jpg,Roof framing complete
,20070524_03,jpg,Roof framing complete
,20070524_04,jpg,Roof sheathing installed
