title,fileName,extension,text
#project,Hosking,,Hosking Residence
#elevations,,,Elevations        
,Hosking-elevations,gif,Elevations        
#plans,,,Floor Plans
,Hosking-plans,gif,Main Floor Plan
#photos,,,Finishing and Landscaping of Site
 Sept 26 2011,20110926_001,jpg,Front elevation looking down the driveway
,20110926_002,jpg,Front elevation looking down the driveway
,20110926_003,jpg,Garage on Lower level at the end of the driveway
,20110926_004,jpg,Garage on Lower level at the end of the driveway
,20110926_005,jpg,Looking through the raised deck at the lake
,20110926_006,jpg,Looking through the raised deck at the lake
,20110926_007,jpg,View from the back yard
,20110926_008,jpg,View from the back yard
,20110926_009,jpg,View from the water
,20110926_010,jpg,Deck outside the master beadroom
,20110926_011,jpg,Deck outside the kitchen-nook area
#photos,,,Framing and Finishing on Site
 Nov 27,20101127_01,jpg,Bath tub
,20101127_02,jpg,Shower
,20101127_04,jpg,Pedestal sink
 Nov 16,20101030_12,jpg,Lake side--nearly finished
,20101030_18,jpg,Kitchen
,20101030_19,jpg,Kitchen
,20101030_20,jpg,Living room fireplace
,20101030_25,jpg,Kitchen from upper walkway
,20101030_27,jpg,Kitchen cabinets
,20101030_29,jpg,Side deck
,20101116_03,jpg,Driveway and entry
,20101116_08,jpg,Entry and side deck
 Oct 14,20101014_1,jpg,Deck railing installed
,20101014_2,jpg,Deck completed
,20101014_3,jpg,Deck completed
,20101023_1,jpg,Kitchen counters and appliances in
,20101023_3,jpg,Kitchen counters and appliances in
,20101023_4,jpg,Kitchen counters and appliances in
,20101023_8,jpg,Master bath cabinet and sinks in
 Sept 19,20100919_07,jpg,Shower
,20100919_15,jpg,Fireplace stone
,20100919_18,jpg,Entry foyer
,20100919_25,jpg,Lower floor kitchen
 Sept 12,20100912_01,jpg,Kitchen cabinets
,20100912_02,jpg,Kitchen cabinets
 Aug 27 2010,20100827-001,jpg,Master bath tub
,20100827-003,jpg,Deck posts and piers
,20100827-007,jpg,View from the water
,20100827-deckwarm,jpg,Deck warming
 Aug 20 2010,20100816_02,jpg,Deck posts on piers
,20100816_08,jpg,Deck posts on piers
,20100816_11,jpg,Deck posts on piers
,20100821_03,jpg,Deck progress
,20100821_07,jpg,View from the water
 July 2010,20100731_01,jpg,View from upper walkway
,20100731_04,jpg,View from top of stairs
,20100731_05,jpg,View of great room
 Feb 2010,20100222_004,jpg,Tongue and groove wood ceiling - upper bedroom
,20100222_006,jpg,Tongue and groove wood ceiling
,20100222_009,jpg,Tongue and groove wood ceiling - living room
 Oct 23,20091023_03,jpg,Sprayed foam insulation
,20091023_08,jpg,Sprayed foam insulation
,20091023_11,jpg,Sprayed foam insulation
,20091024_01,jpg,Sprayed foam insulation
,20091024_02,jpg,Sprayed foam insulation
 Sept 19,20090919_003,jpg,Stucco wall finish and window surrounds completed
,20090919_004,jpg,Stucco wall finish and window surrounds completed
,20090919_007,jpg,Stucco and entry door
 Aug. 25,20090825_01,jpg,Applying cement board for stucco
,20090825_02,jpg,Applying cement board for stucco
,20090825_04,jpg,Applying cement board for stucco
 May 23,20090523_02,jpg,View from the water
,20090523_03,jpg,Prow through the trees
,20090523_06,jpg,View from the water
 May 10,20090510_01,jpg,Soffits finished
,20090510_03,jpg,Soffits finished
,20090510_04,jpg,Soffits finished
 April 26,20090426_01,jpg,Log stairway
,20090426_02,jpg,Log stairway and railing
,20090426_03,jpg,Kitchen area
,20090426_04,jpg,Upper walkway
 April 18,20090418_01,jpg,Windows installed
,20090418_03,jpg,Upper floor framing in place
,20090418_04,jpg,Log roof structure over stairway
,20090418_07,jpg,Garage doors installed
 April 15,20090415_02,jpg,Metal roof installed and fascias being finished
,20090415_03,jpg,Metal roof installed and fascias being finished
,20090415_05,jpg,Metal roof installed and fascias being finished
,20090415_06,jpg,Metal roof installed and fascias being finished
 April 7,20090407_02,jpg,Building wrap and roof underlay being installed
,20090407_02a,jpg,Building wrap and roof underlay being installed
,20090407_04,jpg,Building wrap and roof underlay being installed
,20090407_04a,jpg,Building wrap and roof underlay being installed
,20090407_05,jpg,Building wrap and roof underlay being installed
,20090407_05a,jpg,Building wrap and roof underlay being installed
 March 14,20090307_01,jpg,Entry side; exterior wall framed up
,20090313_01,jpg,Main floor stairway area with upper floor framed
,20090313_02,jpg,Roof framing over vaulted living area
,20090313_03,jpg,Stairway and living area from master bedroom
,20090314_01,jpg,Prow with roof framing
,20090314_03,jpg,Prow with roof framing
#photos,,,Log Shell Setup on Site
 Feb 26,20090226_009,jpg,Log shell setup complete
,20090226_010,jpg,View from below prow
,20090226_011,jpg,Prow ridge beam and purlins
,20090226_012,jpg,Prow ridge beam and purlins
,20090226_013,jpg,View from below prow
,20090226_014,jpg,Entry side with portico
 Feb 24 & 25,20090224_004,jpg,Placing main floor posts and upper floor beams
,20090224_005,jpg,Placing main floor posts and upper floor beams
,20090224_006,jpg,Placing main floor posts and upper floor beams
,20090224_007,jpg,Placing main floor posts and upper floor beams
,20090225_007,jpg,Double height prow posts
,20090225_008,jpg,Prow and master bedroom logs
,20090225_012,jpg,Placing roof beams and purlins
#photos,,,Site Preparation
 Nov & Dec,Site_20081115_001,jpg,Forms for foundation walls
,Site_20081115_002,jpg,Forms for foundation walls
,Site_20081115_003,jpg,Forms for foundation walls
,Site_20081115_007,jpg,Forms for foundation walls
,Site_20081122_013,jpg,Foundation walls poured
,Site_20081122_014,jpg,Foundation walls poured
,Site_20081206_016,jpg,Lower floor walls framed up
#photos,,,Hand Crafting the Log Shell
 Feb 23,20090223_21,jpg,Close up of beam with slot cuts
,20090223_22,jpg,Beam ends with pitch cuts for roof
,20090223_24,jpg,Upper floor beams with pitch cuts
,20090223_25,jpg,Upper floor beams with pitch cuts
,20090223_26,jpg,Upper floor beams with pitch cuts
,20090223_27,jpg,Close up of beam with slot cuts
,20090223_30,jpg,Log stair complete with railing
,20090223_31,jpg,Log stair complete with railing
,20090223_32,jpg,Log stair complete with railing
,20090223_33,jpg,Log stair complete with railing
,20090223_42,jpg,Loaded truck
,20090223_43,jpg,Loaded truck
 Feb 12,20090212_61,jpg,Roof structure completed
,20090212_63,jpg,Roof structure completed
,20090212_64,jpg,Roof structure completed
,20090212_65,jpg,Roof structure completed
,20090212_66,jpg,Roof structure completed
,20090212_67,jpg,Roof structure completed
 Feb 6,20090206_58,jpg,Upper floor beams
,20090206_59,jpg,Upper floor beams
,20090206_60,jpg,Upper floor beams
,20090206_61,jpg,Upper floor beams
,20090206_62,jpg,Upper floor beams
,20090206_64,jpg,Upper floor beams
,20090206_65,jpg,Other beams
,20090206_66,jpg,Other beams
,20090206_67,jpg,Other beams
,20090206_68,jpg,Log posts
,20090206_69,jpg,Log posts
,20090206_70,jpg,Log posts
,20090206_71,jpg,Log posts
,20090206_72,jpg,Log stair treads
,20090206_73,jpg,Log railing components
,20090206_74,jpg,Log railing components
,20090206_75,jpg,Log railing components
,20090206_76,jpg,Log truss
,20090206_77,jpg,Log truss
,20090206_79,jpg,Log truss
,20090206_80,jpg,Upper floor beam joinery
,20090206_81,jpg,Upper floor beam joinery
 Jan 15,20090112_52,jpg,Completed log beams
,20090112_53,jpg,Completed log beams
,20090112_55,jpg,Working on beams and posts
,20090112_56,jpg,Beams with flat and pitch cuts
,20090112_57,jpg,Beams with flat and pitch cuts
,20090115_69,jpg,Cutting a flat on the band saw
,20090115_70,jpg,Beams with flat and pitch cuts
,20090115_71,jpg,Log beams and posts
,20090115_72,jpg,Log beams and posts
,20090115_74,jpg,Log beams and posts
,20090115_75,jpg,Log beams and posts
,20090115_76,jpg,Log beams and posts
,20090115_77,jpg,Log beams and posts
