title,fileName,extension,text
#project,Kearns,,Kearns Residence
#elevations,,,Elevations
,Kearns-elevations,gif,
,Kearns-garage-elevations,gif,
#plans,,,Floor Plans
,Kearns-plans,gif,
,Kearns-garage-plans,gif,
#photos,,,Framing and Finishing on Site
 Aug 5,20110805_w055,jpg,House and garage from driveway
,20110805_w056,jpg,House from driveway
,20110805_w057,jpg,Garage from front of house
,20110805_w058,jpg,House front porch
,20110805_w061,jpg,Side porch
,20110805_949,jpg,House from a distance
,20110805_955,jpg,The garage is finished!
,20110805_858,jpg,The garage is finished!
,20110805_p10,jpg,House and garage at sunset
,20110805_w062,jpg,Garage right side with stair to loft
,20110805_w063,jpg,House from below
,20110805_w066,jpg,House from rear
,20110805_w067,jpg,House from rear right
,20110805_w078,jpg,Front porch
,20110805_w089,jpg,Front of house
,20110805_w092,jpg,Entry portico
,20110805_w097,jpg,Left side with nook windows
,20110805_828,jpg,Antler chandelier over great room
,20110805_848,jpg,Kitchen cabinets
,20110805_849,jpg,Toilet niche
,20110805_w005,jpg,Kitchen
,20110805_w007,jpg,Looking towards great room from kitchen
,20110805_w010,jpg,Kitchen from nook
,20110805_w013,jpg,Loft from great room
,20110805_w018,jpg,Kitchen from log stairway
,20110805_w034,jpg,"Loft, looking to great room"
,20110805_w038,jpg,Master bedroom
,20110805_w047,jpg,Great room from loft
 May 7,20110507_402,jpg,Deck with stone piers
,20110507_404,jpg,Stairway to loft above garage
,20110322_6728,jpg,Front entry porch
,20110322_6780,jpg,Rear view
,20110428_6992,jpg,Tile and wood floors
,20110428_6995,jpg,Tile and wood floors
,20110428_6996,jpg,Tile and wood floors
,20110428_6998,jpg,Bath-shower tiling completed
,20110428_7000,jpg,Bath-shower tiling completed
,20110428_7012,jpg,Tongue and groove wood ceiling finished
,20110428_7022,jpg,Tile shower enclosure
,20110428_7027,jpg,Tile pattern detail
,20110428_7049,jpg,Tile shower enclosure
,20110428_7106,jpg,Kitchen cabinets
,20110428_7107,jpg,Kitchen cabinets
,20110428_7110,jpg,Loft guard railing
,20110428_7119,jpg,Tongue and groove wood ceiling finished
,20110428_7120,jpg,Tongue and groove wood ceiling finished
,20110428_7121,jpg,Tongue and groove wood ceiling finished
,20110428_7140,jpg,Master bedroom
,20110428_7145,jpg,Loft
,20110428_7146,jpg,Kitchen island
,20110428_o11,jpg,Tile and wood floor
,20110428_o12,jpg,Tile and wood floor
,20110507_400,jpg,Fireplace
 March 14,20110314_729,jpg,Entry view--roof sheathed and deck constructed
,20110314_739,jpg,Right side view --stone installed and wood is stained
,20110314_742,jpg,Right side view --stone installed and wood is stained
,20110314_754c,jpg,Rear (entry) view--roof sheathed and deck constructed
,20110314_754,jpg,Rear (entry) view--roof sheathed and deck constructed
 Feb 22,20110222_438,jpg,Right view--roof sheathed and deck constructed
,20110222_459,jpg,Front view--roof sheathed and deck constructed
