title,fileName,extension,text
#project,McKagan,,McKagan Residence
#photos,,,Framing and Finishing on Site
 August,20090811-0942r,jpg,House exterior complete
 March & April,20090414_912,jpg,View from the lake
,20090414_886,jpg,View from the lake
,20090414_911,jpg,Deck wraps around kitchen
,20090414_954,jpg,Main deck with lake view
#photos,,,Delivery and Set-up of Log Shell
 Day 1,20080726_435,jpg,Log walls complete and upper posts being placed
,20080726_437,jpg,View from below
,20080726_438,jpg,View from below
,20080726_439,jpg,Kitchen area
,20080726_440,jpg,Large diameter log posts in great room
,20080726_441,jpg,Kitchen area
,20080726_447,jpg,Center post for spiral stair
,20080726_448,jpg,Entry roof
,20080726_450,jpg,The famous client (on the right)
,20080726_451,jpg,Left side of entry
,20080726_454,jpg,Left wall of garage
,20080726_458,jpg,Dining room door opening to deck
,20080726_461,jpg,View towards great room from bedroom hall
,20080726_465,jpg,45 degree angled walls at kitchen
,20080726_466,jpg,46 degree angled walls at kitchen
,20080726_470,jpg,Central double height log post with pockets for beams
,20080726_474,jpg,Cantilevered corner
 Day 2,20080726_488,jpg,Entry portico
,20080726_489,jpg,Dining room area
,20080726_490,jpg,Upper ridge in place
,20080726_491,jpg,Entry portico
,20080726_493,jpg,Roof purlins
,20080726_495,jpg,Beam pockets
,20080726_497,jpg,Roof over master bedroom
,20080726_498,jpg,Short log wall section between posts
,20080726_501,jpg,Cantilevered log ends
,20080726_502,jpg,Log stairway
,20080726_503,jpg,Log stairway
,20080726_504,jpg,Log stairway
,20080726_505,jpg,Beam pockets
,20080726_510,jpg,Roof detail over master bedroom
,20080726_511,jpg,Roof structure
,20080726_512,jpg,Beam pocket closeup
,20080726_514,jpg,View from kitchen
,20080726_515,jpg,Mitred logs and screw jack over 45 degree corner
,20080726_516,jpg,Kitchen doorway
,20080726_517,jpg,Roof ridge
,20080726_518,jpg,Roof ridge
 Day 3,20080726_520,jpg,Wall logs with tuck cut for ceiling finish
,20080726_522,jpg,Slot cut for partition wall
,20080726_523,jpg,Ridge beam
,20080726_524,jpg,Ridge beam closeup
,20080726_527,jpg,Tricky corner slab cuts
,20080726_528,jpg,View from deck
,20080726_529,jpg,View from deck
,20080726_533,jpg,View from deck
,20080726_536,jpg,45 degree corner
,20080726_537,jpg,Log post with screw jack under deck
,20080726_543,jpg,Outside of 45 degree corner
,20080726_546,jpg,Access framing for screw jack below post
,20080726_550,jpg,Completed log shell from below
,20080726_551,jpg,Completed log shell from below
,20080726_553,jpg,Completed log shell from above
,20080726_556,jpg,Completed log shell from above
,20080726_557,jpg,Completed log shell from above
,20080726_558,jpg,Completed log shell from above
#photos,,,The Client's Site
 June 2008,20080617_46,jpg,Excavation and foundation construction
,20080617_50,jpg,Excavation and foundation construction
,20080617_52,jpg,Excavation and foundation construction
,20080617_56,jpg,Excavation and foundation construction
,20080617_63,jpg,Excavation and foundation construction
,20080617_69,jpg,Excavation and foundation construction
,20080617_71,jpg,Excavation and foundation construction
,20080617_75,jpg,Excavation and foundation construction
,20080617_91,jpg,Excavation and foundation construction
,20080617_94,jpg,Excavation and foundation construction
#photos,,,Hand Crafting the Log Shell in our Log Yard
 May 6,20080506_07,jpg,Full height log post
 April 7,20080407_77,jpg,Log staircase
 Mar. 12,20080312_39r,jpg,Dining room structure
,20080312_41,jpg,Slot for log beam connection and adjustment
,20080312_42,jpg,Kitchen structure
