title,fileName,extension,text
#project,McKenzie,,McKenzie Residence
#elevations,,,Elevations
,McKenzie-elevations,gif,Elevations
#plans,,,Floor Plans
,McKenzie-plans,gif,Floor Plans
#photos,,,Framing and Finishing On Site
 Nov 29,20091129_016,jpg,Kitchen from living
,20091129_018,jpg,Fireplace and kitchen
,20091129_020,jpg,Kitchen
,20091129_022,jpg,Kitchen
,20091129_023r,jpg,Living room from dining area
,20091129_026,jpg,Entry foyer
,20091129_028r,jpg,View from living room
,20091129_034,jpg,View of left rear
,20091129_036,jpg,View of left rear
,20091129_037,jpg,View of entry
 Oct 18,20091018_0836,jpg,Kitchen
 Aug 1,20090801_1r,jpg,View from lake with lawn finished
,20090801_2r,jpg,House with lawn finished
 Dec 31,20081231_359,jpg,The McKenzie clan
,20081231_382,jpg,Entry hallway
,20081231_383,jpg,Kitchen island and dining nook
,20081231_384,jpg,Ceiling over log stairway
,20081231_386,jpg,Upper walkway over Great Room
,20081231_389,jpg,Top of log stairway
,20081231_393r,jpg,Entry side view
,20081231_396,jpg,Entry side from above
,20081231_401,jpg,View side
,20081231_374,jpg,Bathroom
,20081231_375,jpg,Bathroom
,20081231_377,jpg,Master Bedroom ceiling
,20081231_378,jpg,Master Bedroom french doors to deck
,20081231_379,jpg,"Great Room, looking towards dining area"
,20081231_380,jpg,"Great Room, looking towards dining area"
,20081231_381,jpg,Upper walkway over Great Room
,20081231_388,jpg,Study
,20081231_392,jpg,Entry foyer
,20081231_397,jpg,Entry porch
,20081231_403,jpg,Garage door with dining area deck above
,20081231_406,jpg,Garage door with dining area deck above
 Nov 2,20081102_31,jpg,Entry side view: log siding and roofing installed
,20081102_37,jpg,View of prow; soffits installed
,20081102_47,jpg,Entry side view from above
,20081102_51,jpg,View towards dining and kitchen area from great room
,20081102_51a,jpg,View towards upstairs study
,20081102_51b,jpg,Dining nook
 Aug. 18,20080818_10,jpg,View of prow from below with windows installed
,20080818_15,jpg,View of entry from above
,20080818_b,jpg,Log beams over kitchen
,20080818_1,jpg,Wall framing for kitchen
 May 26,20080525_03,jpg,View from across the lake
,20080525_12r,jpg,View from across the lake
 July 3,20080703_17,jpg,View from across the lake
,20080703_18,jpg,Roof and main floor walls framed in
,20080703_23,jpg,View from entry side
 May 26,20080526_08,jpg,Roof framing progressing
,20080526_16,jpg,Roof framing progressing
,20080526_19,jpg,Roof framing progressing
,20080526_22,jpg,Roof framing progressing
#photos,,,Set-Up of the Log Shell on Site
 May 12 and 13,setup_031,jpg,Crane placing log post
,setup_046,jpg,Some posts and beams in place
,setup_055,jpg,Three storey log posts in the prow
,setup_056,jpg,Three storey log posts in the prow
,setup_099,jpg,Crane lifting a beam
,setup_144,jpg,Placing the truss for the entry porch roof
,setup_154,jpg,Connecting main floor log beams to the log post for the spiral stair
,setup_167,jpg,Partially erected log shell from below
,setup_195,jpg,Placing upper floor log posts
,setup_206,jpg,Lifting roof beam
,setup_224,jpg,Placing entry roof ridge beam
,setup_248,jpg,Working from boom platform
,setup_275,jpg,Placing ridge beam
,setup_279,jpg,Shell nearly complete
,setup_280,jpg,Shell complete
#photos,,,Hand Crafting the Log Shell
 April 29,20080429_11,jpg,Roof structure complete
,20080429_12,jpg,Roof structure complete
,20080429_14,jpg,Roof structure complete
,20080429_15,jpg,Roof structure complete
,20080429_16,jpg,Roof structure complete
,20080429_18,jpg,Roof structure complete
,20080429_19,jpg,Roof structure complete
 April 17,20080417_45,jpg,Double beam with pitch cut
,20080417_47,jpg,Log truss for entry roof
,20080417_48,jpg,Log posts and beams
,20080417_50,jpg,Log posts and beams
 April 2,20080402_01,jpg,Log posts and beams
,20080402_03,jpg,Log posts and beams
,20080402_04,jpg,Log posts and beams
,20080402_08,jpg,Log posts and beams
,20080402_13,jpg,Log posts and beams
,20080402_16,jpg,Log posts and beams
,20080402_18,jpg,Log posts and beams
,20080402_20,jpg,Log posts and beams
,20080402_21,jpg,Log posts and beams
 March 19,20080319_22,jpg,Log posts and beams
,20080319_23,jpg,Log posts and beams
,20080319_24,jpg,Log posts
,20080319_25,jpg,Log posts
,20080319_30,jpg,Log posts and beams
,20080319_31,jpg,Log posts and beams
,20080319_32,jpg,Log posts and beams
,20080319_34,jpg,Log posts and beams
,20080319_35,jpg,Log posts and beams
,20080319_36,jpg,Log posts and beams
#photos,,,Computer Renderings
Exterior,C-ext_00,jpg,Exterior rendering
,C-ext_01,jpg,Exterior rendering
,C-ext_02,jpg,Exterior rendering
,C-ext_03,jpg,Exterior rendering
,C-ext_04,jpg,Exterior rendering
,cm21200,jpg,Exterior rendering
,C-ext_08,jpg,Exterior rendering
Interior Main Floor,C-int_20,jpg,Entry hall
,C-int_21,jpg,Front door
,C-int_22,jpg,Great room
,C-int_23,jpg,Great room
,D-int_04,jpg,Great room
,D-int_05,jpg,Dining room
,D-int_06,jpg,Dining room
,D-int_07,jpg,Kitchen
,D-int_08,jpg,Kitchen
,D-int_09,jpg,Master Bedroom
,D-int_10,jpg,Master Bedroom
,D-int_11,jpg,Master Bedroom
,D-int_12,jpg,Ensuite Bathroom
,D-int_13,jpg,Ensuite Bathroom
,D-int_14,jpg,Second Bedroom
,D-int_15,jpg,Second Bedroom
Interior Upper Floor,D-int_16,jpg,Stairway
,D-int_17,jpg,Stairway
,D-int_18,jpg,Top of stairway
,D-int_19,jpg,Study
,D-int_20,jpg,Study
,D-int_21,jpg,Hallway to third bedroom
,D-int_22,jpg,Third Bedroom
,D-int_23,jpg,Third Bedroom
,D-int_24,jpg,View from loft
,D-int_25,jpg,View from loft
