title,fileName,extension,text
#project,Moore,,Moore Residence
#photos,,,Hand Crafting the Log Shell in our Log Yard
 June 1,20060601_01,jpg,House log shell complete
,20060601_02,jpg,House log shell complete
,20060601_03,jpg,House log shell complete
,20060601_04,jpg,House log shell complete
,20060615_07,jpg,Log character post
 May 16,20060516_407,jpg,House log shell nearing completion
,20060516_449,jpg,House log shell nearing completion
,20060516_450,jpg,House log shell nearing completion
,20060516_452,jpg,House log shell nearing completion
,20060516_467,jpg,House log shell nearing completion
,20060516_513,jpg,House log shell nearing completion
,20060516_518,jpg,House log shell nearing completion
,20060516_519,jpg,House log shell nearing completion
,20060516_520,jpg,House log shell nearing completion
,20060516_523,jpg,House log shell nearing completion
,20060516_526,jpg,House log shell nearing completion
,20060516_529,jpg,House log shell nearing completion
,20060516_532,jpg,House log shell nearing completion
 May 9,20060509_15,jpg,Roof nearing completion
,20060509_2,jpg,Roof nearing completion
,20060509_4,jpg,Roof nearing completion
,20060509_5,jpg,Roof nearing completion
,20060509_6,jpg,Roof nearing completion
,20060509_10,jpg,Door Opening
,20060509_8,jpg,Upper Floor Log Joists in place
,20060509_13,jpg,Drilling for Screw Jack
,20060509_9,jpg,Roof beam and supporting log post
,20060509_14,jpg,Log wall and beam over side deck
,20060509_12,jpg,Log beam over side deck
,20060509_11,jpg,Log joist and log wall
,20060509_7,jpg,Scarfs and pitch cut close up
 Apr. 24,20060424_1,jpg,Wall logs completed
,20060424_2,jpg,Wall logs completed
,20060424_3,jpg,Wall logs completed
,20060424_4,jpg,Wall logs completed
,20060424_5,jpg,Wall logs completed
,20060424_6,jpg,Wall logs completed
,20060424_7,jpg,Wall logs completed
,20060424_8,jpg,Wall logs completed
 Feb. 23,20060323_01,jpg,Fifth round of wall logs in progress
,20060323_02,jpg,Fifth round of wall logs in progress
,20060323_03,jpg,Fifth round of wall logs in progress
,20060323_04,jpg,Fifth round of wall logs in progress
,20060323_05,jpg,Fifth round of wall logs in progress
,20060323_06,jpg,Fifth round of wall logs in progress
,20060323_07,jpg,Fifth round of wall logs in progress
#elevations,,,Elevations
,Moore-elevations,gif,
#plans,,,Floor Plans
,Moore-plans,gif,
