title,fileName,extension,text
#project,Nicholls,,Nicholls Residence
#photos,,,"Delivery, Set-Up, and On-Site Finishing"
 July 20,IMG_0648,jpg,Completed home
,IMG_0649,jpg,Completed home
,IMG_0650,jpg,Completed home
,IMG_0651,jpg,Completed home
,IMG_0652,jpg,Completed home
,IMG_0653,jpg,Completed home
,IMG_0654,jpg,Completed home
,IMG_0655,jpg,Completed home
,IMG_0656,jpg,Completed home
,IMG_0657,jpg,Completed home
Oct. 22,D_20051022_01,jpg,"Stone work, windows, and roof progress"
,D_20051022_02,jpg,"Stone work, windows, and roof progress"
,D_20051022_03,jpg,"Stone work, windows, and roof progress"
,D_20051022_04,jpg,"Stone work, windows, and roof progress"
,D_20051022_05,jpg,"Stone work, windows, and roof progress"
,D_20050928_01,jpg,Roof and Upper Log Siding progresses
,D_20050928_02,jpg,Roof and Upper Log Siding progresses
,D_20050928_03,jpg,Roof and Upper Log Siding progresses
,D_20050928_06,jpg,Roof and Upper Log Siding progresses
,D_20050928_04,jpg,Masonry fireplace progresses
,D_20050928_05,jpg,Masonry fireplace progresses
Aug. 22,D_20050822_23,jpg,Wall and roof framing complete 
,D_20050822_24,jpg,Wall and roof framing complete 
,D_20050822_25,jpg,Wall and roof framing complete 
,D_20050822_26,jpg,Wall and roof framing complete 
,D_20050822_27,jpg,Wall and roof framing complete 
 July 12,D_20050712_09,jpg,Log Shell erected 
,D_20050712_10,jpg,Log Shell erected 
,D_20050712_11,jpg,Log Shell erected 
,D_20050712_12,jpg,Log Shell erected 
,D_20050712_13,jpg,Log Shell erected 
,D_20050712_16,jpg,Log Shell erected 
,D_20050712_18,jpg,Log Shell erected 
,D_20050712_17,jpg,Log Shell erected 
,D_20050712_20,jpg,Log Shell erected 
,D_20050712_21,jpg,Log Shell erected 
,D_20050712_22,jpg,Log Shell erected 
 July 7,D_20050707_06,jpg,Site preparation and foundation 
,D_20050707_07,jpg,Site preparation and foundation 
,D_20050707_08,jpg,Site preparation and foundation 
#photos,,,Hand Crafting of the Log Shell in Our Log Yard
 July 7,20050707_1642,jpg, Log Shell completed.
,20050707_1649,jpg, Log Shell completed.
,20050707_1652,jpg, Log Shell completed.
,20050707_1656,jpg, Log Shell completed.
,20050707_1657,jpg, Log Shell completed.
,20050707_1669,jpg, Log Shell completed.
,20050707_1683,jpg, Log Shell completed.
,20050707_1696,jpg, Log Shell completed.
,20050707_1701,jpg, Log Shell completed.
,20050707_1702,jpg, Log Shell completed.
,20050707_1703,jpg, Log Shell completed.
,20050707_1704,jpg, Log Shell completed.
 July 6,Wide-B1,jpg, Top round of wall logs and upper floor joists completed
,Wide-B3,jpg, Top round of wall logs and upper floor joists completed
,Wide-B6,jpg, Top round of wall logs and upper floor joists completed
,Image040,jpg, Top round of wall logs and upper floor joists completed.
,Image049,jpg, Top round of wall logs and upper floor joists completed.
,Image051,jpg, Top round of wall logs and upper floor joists completed.
,Image055,jpg, Top round of wall logs and upper floor joists completed.
,Image062,jpg, Top round of wall logs and upper floor joists completed.
,Image063,jpg, Top round of wall logs and upper floor joists completed.
,Image067,jpg, Top round of wall logs and upper floor joists completed.
,Image084,jpg, Top round of wall logs and upper floor joists completed.
,Image085,jpg, Top round of wall logs and upper floor joists completed.
 June 15,000_1915,jpg, Eighth round of wall logs completed.
,000_1916,jpg, Eighth round of wall logs completed.
,000_1917,jpg, Close-up of tails of wall logs (not trimmed yet).
,000_1918,jpg, Eighth round of wall logs completed.
,000_1919,jpg, Eighth round of wall logs completed.
,000_1803,jpg, Third round of wall logs completed.
,000_1804,jpg, Third round of wall logs completed.
,000_1805,jpg, Third round of wall logs completed.
,000_1806,jpg, Third round of wall logs completed.
#elevations,,,Elevations
,Nicholls-elevations,gif,
#plans,,,Floor Plans
,Nicholls-plans,gif
