title,fileName,extension,text
#project,Palmer,,Palmer Residence
#elevations,,,Elevations
,Palmer-elevations,gif,Elevations
#photos,,,Set up of the Log Shell on the Site
 Sept,20100928_002,jpg,"Roof, balcony, and windows in"
,20100928_roof002,jpg,Garage
,20100928_roof005,jpg,Birds eye view
 July,20100726_278,jpg,Roof progress
,20100726_279,jpg,Garage
,20100726_roof-003,jpg,Fascias and roofing
,20100726_roof-005,jpg,Master bedroom gable
,20100726_roof-007,jpg,Rear gable
,20100726_roof-010,jpg,Front dormer
 June,20100602_stairs035,jpg,Log staircase
,20100602_stairs038,jpg,Log staircase
,20100603_fram-007,jpg,Bedroom dormer
,20100603_fram-008,jpg,Upper bedroom framing
,20100603_fram-009,jpg,Upper bedroom framing
,20100603_fram-010,jpg,Upper bedroom framing
,20100603_fram-015,jpg,Upper walkway
,20100603_gaga-006,jpg,Entry door
,20100603_gaga-009,jpg,Rear entry door
 May 25,20100526_50,jpg,Roof sheathed and fascias complete
,20100526_68,jpg,Upper walls sheathed
 Oct 15,20091015_01,jpg,Roof framing installed
 Sept 9,20090909_67,jpg,Birds eye view--completed house and garage shells
,20090909_86,jpg,Front elevation
,20090909_87,jpg,Left side view
,20090909_88,jpg,Garage
,20090909_89,jpg,Birds eye view--house
,20090909_90,jpg,Front right view from below
,20090909_91,jpg,View from neighboring hilltop
,20090909_92,jpg,View from neighboring hilltop
,20090909_13,jpg,Crane placing a log joist
,20090909_37,jpg,Crane placing the entry log truss
,20090909_45,jpg,Placing a ridge beam
,20090909_60,jpg,Placing a roof hip
,20090909_71,jpg,Completed log shell
,20090909_75,jpg,Entry truss
,20090909_80,jpg,Interior view
#photos,,,Hand Crafting the House Shell
 Dec. 1,20081201_1,jpg,House log shell
,20081201_1a,jpg,House main level shell
,20081201_1b,jpg,House great room roof
 Aug. 11,20080811_86,jpg,Crafting house log shell
,20080811_87,jpg,Crafting house log shell
,20080811_88,jpg,Crafting house log shell
,20080811_89,jpg,Crafting house log shell
,20080811_90,jpg,Crafting house log shell
,20080811_91,jpg,Crafting house log shell
,20080811_92,jpg,Crafting house log shell
 July 30,20080730_56,jpg,Crafting upper floor and wall logs
,20080730_57,jpg,Crafting upper floor and wall logs
,20080730_58,jpg,Crafting upper floor and wall logs
,20080730_59,jpg,Great room side walls
,20080730_60,jpg,Great room side walls
 July 7,20080707_87,jpg,Log walls complete up to header round
,20080707_88,jpg,Log walls complete up to header round
,20080707_89,jpg,Log walls complete up to header round
,20080707_90,jpg,Log walls complete up to header round
 June 24,20080624_61,jpg,Log walls complete up to 7th round
,20080624_62,jpg,Log walls complete up to 7th round
,20080624_63,jpg,Log walls complete up to 7th round
,20080624_64,jpg,Log walls complete up to 7th round
,20080624_65,jpg,Log walls complete up to 7th round
,20080624_66,jpg,Log walls complete up to 7th round
,20080624_67,jpg,Log walls complete up to 7th round
 June 18,20080618_55,jpg,Log walls complete up to 5th round
,20080618_56,jpg,Log walls complete up to 5th round
,20080618_57,jpg,Log walls complete up to 5th round
,20080618_58,jpg,Log walls complete up to 5th round
,20080618_59,jpg,Log walls complete up to 5th round
,20080618_60,jpg,Log walls complete up to 5th round
#photos,,,Hand Crafting the Workshop Log Shell
 Aug 11,20080811_560,jpg,Log shell complete up to header
,20080811_561,jpg,Wall log tails cut
,20080811_562,jpg,Log shell complete up to header
,20080811_564,jpg,Log shell complete up to header
,20080811_593,jpg,Corner before tails cut
,20080811_594,jpg,Grinding scarf cut
,20080811_596,jpg,Window openings
,20080811_598,jpg,Cutting bevel for window
,20080811_599,jpg,Cutting sill log window bevel
 May 27,20080527_18,jpg,Log walls complete up to 7th round
,20080527_19,jpg,Log walls complete up to 7th round
,20080527_X,jpg,Log walls complete up to 7th round
,20080527_21,jpg,Log walls complete up to 7th round
 May 6,20080506_15,jpg,Crafting bottom round of wall logs
,20080506_17,jpg,Crafting bottom round of wall logs
#photos,,,Site Preparation
 Aug 4,20090804_05,jpg,House floor framing installed
,20090804_06,jpg,House floor framing and garage knee walls installed
 Jul 23,20090723_05,jpg,House footings poured
,20090723_13,jpg,Garage slab poured
 July 21,20090721_01,jpg,Garage floor slab and wall reinforcing
,20090721_03,jpg,House footing reinforcing in place
 June 3,20090603_00,jpg,Excavation for foundation
#plans,,,Floor Plans
,Palmer-plans,gif,Floor Plans
,Palmer-workshop,gif,Workshop Plans
