title,fileName,extension,text
#project,Richardson,,Richardson Residence
#photos,,,Framing and Finishing Progress
 Jan 2010,20100125_1,jpg,Winter view
,20100125_2,jpg,Summer view
 Aug 2007,20070829_3,jpg,Front view
,20070829_4,jpg,Front right view
,20070829_9,jpg,Front view
,20070818_12r,jpg,Rear view
 April 2007,20070224_39,jpg,Entry floor
,20070224_21,jpg,Fireplace
,20070224_28,jpg,Kitchen bar
,20070224_10,jpg,Closeup of post and beam
,20070224_31,jpg,Bench under log stair
,20070224_34,jpg,Bench under log stair
,20070224_40,jpg,Bottom of log stairway
,20070224_29,jpg,Master Bedroom dormer
,20070224_35,jpg,Master Bedroom dormer
,20070224_32,jpg,Master Bedroom looking back towards loft
,20070224_37,jpg,Top of log stair and loft
 March 20,20070320_02,jpg,View of kitchen with cabinets installed
,20070320_18,jpg,View of kitchen with cabinets installed
,20070320_05,jpg,View of kitchen with cabinets installed
,20070320_04,jpg,Light fixture
 Nov. 27,20061127_068,jpg,Front view during early snowstorm
,20061127_070,jpg,Side view during snow
,20061127_095,jpg,Side deck
,20061127_097,jpg,Upper windows and soffit
 Oct. 2,20061002_011,jpg,Stone facing on chimney complete
,20061002_056,jpg,Stone facing on chimney complete
,20061002_049c,jpg,Stone facing on chimney complete
,20061002_056c,jpg,Stone facing on chimney complete
 Aug 27,20060827_38,jpg,Exterior finishing complete
,20060827_40,jpg,Exterior finishing complete
,20060827_41,jpg,Exterior finishing complete
,20060827_43,jpg,Exterior finishing complete
 June 12,20060612_099,jpg,Exterior nearing completion
,20060612_101,jpg,Exterior nearing completion
,20060612_104,jpg,Exterior nearing completion
 May 9,20060509_04,jpg,Retaining wall
,20060509_05,jpg,House and deck from below
,20060509_11,jpg,Corner with bench
,20060509_12,jpg,Close-up of window
,20060509_13,jpg,Close-up of window
,20060509_15,jpg,House from left side
,20060509_67,jpg,Left side deck from above
,20060509_69,jpg,Retaining wall and entry portico from below
 Jan. 6,D_20060106_15,jpg,Roof and fascias complete
,D_20060106_16,jpg,Roof and fascias complete
,D_20060106_19,jpg,Roof and fascias complete
 Jan. 1,D_20060101_01,jpg,Roof sheathing and upper wall framing progress
,D_20060101_04,jpg,Roof sheathing and upper wall framing progress
,D_20060101_05,jpg,Roof sheathing and upper wall framing progress
,D_20060101_06,jpg,Roof sheathing and upper wall framing progress
