title,fileName,extension,text
#project,Smith,,Smith Residence
#elevations,,,Elevations
,Smith-elevations,gif,
#plans,,,Floor Plans
,Smith-plans,gif,
#photos,,,Framing and Finishing on Site
 Nov 15,20091113_0330,jpg,Beginning roof framing
#photos,,,Setup of the Log Shell on Site
 Nov 5,20091105_1107,jpg,Bottom rounds in place under snow
,20091105_1109,jpg,Bottom rounds in place under snow
,20091105_1132,jpg,Bottom rounds in place under snow
,20091105_1136,jpg,Walls partially stacked
,20091105_1143,jpg,Walls partially stacked
,20091105_1197,jpg,Next truck negotiating the driveway
,20091105_1199,jpg,Wall stacking complete up to header round
,20091105_1202,jpg,Wall stacking complete up to header round
,20091105_1203,jpg,Wall stacking complete up to header round
,20091105_1220,jpg,Some help for the next truck
,20091105_1222,jpg,Some help for the next truck
,20091105_1231,jpg,Stacking complete up to upper floor
,20091105_1235,jpg,Stacking complete up to upper floor
,20091105_1237,jpg,Stacking complete up to upper floor
,20091105_1238,jpg,Upper floor log posts in place
,20091105_1239,jpg,Upper floor log posts in place
,20091105_1241,jpg,Upper floor log posts in place
,20091105_1243,jpg,Placing roof purlins
,20091105_1245,jpg,Placing roof purlins
,20091105_1246,jpg,Placing roof purlins
,20091105_1250,jpg,Placing roof purlins
,20091105_1251,jpg,Placing roof purlins
,20091105_1253,jpg,Placing roof purlins
,20091105_1254,jpg,Rear view with entry porch
,20091105_1257,jpg,Left rear view
,20091105_1258,jpg,Outdoor breakfast nook
,20091105_1259,jpg,Outdoor breakfast nook
,20091105_1260,jpg,Window opening
,20091105_1261,jpg,Window opening with steel spline in place
,20091105_1262,jpg,Double height prow post
,20091105_1263,jpg,Front right view
,20091105_1265,jpg,Roof beams and purlings
,20091105_1267,jpg,Lifting the log staircase into place
,20091105_1268,jpg,Lifting the log staircase into place
,20091105_1269,jpg,Log truss over entry porch
,20091105_1270,jpg,Rear left view
,20091105_1272,jpg,Log staircase in place
,20091105_1274,jpg,The setup crew
#photos,,,Crafting the Log Shell in the Log Yard
 Oct 18,20091018_80,jpg,View into prow
,20091018_00,jpg,Roof and dormer purlins
,20091018_04,jpg,View into prow
,20091018_19,jpg,Placing ridge beam
,20091018_24,jpg,Placing ridge beam
,20091018_27,jpg,View up roof purlings
,20091018_30,jpg,Log shell nearly complete
,20091018_42,jpg,Connecting spliced ridge beam
,20091018_63,jpg,Placing main ridge beam
,20091018_63r,jpg,Placing main ridge beam
,20091018_73,jpg,Setting up ridge beam
,20091018_82,jpg,View from left side
,20091018_86,jpg,Dormer above breakfast nook area
,20091018_89,jpg,Dormer logs
,20091018_90,jpg,View from rear side
,20091018_92,jpg,Entry portico
,20091018_99,jpg,Entry portico
 Oct 16,20091016_290,jpg,Upper floor log posts
,20091016_291,jpg,Upper floor log posts
,20091016_292,jpg,Roof beams and purlins
,20091016_293,jpg,Breakfast nook area
,20091016_315,jpg,Door opening
,20091016_316,jpg,Inside great room
,20091016_317,jpg,Left side rooms
,20091016_318,jpg,Interior looking toward great room
,20091016_319,jpg,Corner
,20091016_320,jpg,Corner detailing
,20091016_321,jpg,Front left view
,20091016_323,jpg,Roof beams
 Oct 7,20091007_83,jpg,Shell and crane
,20091007_84,jpg,Shell complete to upper floor logs
,20091007_86,jpg,Shell complete to upper floor logs
 Sept 28,20090928_250,jpg,Walls complete up to top round
,20090928_251,jpg,Applying protective spray
