title,fileName,extension,text
#project,Sprinkle,,Sprinkle Residence
#photos,,,Finishing on site
 Dec 25,20091225_02,jpg,Christmas tree in great room
,20091225_05,jpg,Stairway decorations
,20091225_07,jpg,Top of stairway
,20091225_12,jpg,Loft
,20091225_14,jpg,Looking down from loft
,20091225_19,jpg,Main halllway
,20091225_21,jpg,Kitchen
,20091225_22,jpg,Kitchen
,20091225_24,jpg,Christmas tree in great room
 May 13,20090513_11,jpg,Fireplace rock complete
 April 30,20090430_06,jpg,Fireplace construction
,20090430_09,jpg,Fireplace construction
,20090430_10,jpg,Fireplace construction
 Feb 20,20090210_012,jpg,Upper walkway railing at head of stair
,20090210_019,jpg,Log stairway
,20090210_020,jpg,Vaulted ceiling finished with pine tongue and groove
,20090210_021,jpg,Vaulted ceiling finished with pine tongue and groove
,20090210_022,jpg,Vaulted ceiling finished with pine tongue and groove
 Jan 31,20090131_020,jpg,"Vaulted ceiling, insulated"
,20090131_021,jpg,Fireplace area of living room
,20090131_022,jpg,Log ridge beam and purlins over stairway
,20090131_024,jpg,Log ridge beam at prow
 Jan 21,20090121_01,jpg,House closed in with windows installed
,20090121_02,jpg,House closed in with windows installed
,20090121_03,jpg,House closed in with windows installed
 Oct 1,20081001_02,jpg,View from great room
,20081001_06,jpg,View from across the water
,20081001_09,jpg,Wall sheathing and building wrap installed
#photos,,,Setup of the Log Shell
 August 16,20080819_75,jpg,Completed log shell
,20080819_76,jpg,Completed log shell
,20080819_77,jpg,Completed log shell
,20080819_78,jpg,Completed log shell
,20080819_79,jpg,Completed log shell
,20080819_80,jpg,Completed log shell
,20080819_81,jpg,Completed log shell
,20080819_82,jpg,Completed log shell
#photos,,,Hand Crafting the Log Shell
 July 10,20080707_02,jpg,Completed upper floor shell
,20080707_05,jpg,Completed upper floor shell
,20080707_19,jpg,Completed upper floor shell
,20080707_20,jpg,Completed upper floor shell
,20080707_21,jpg,Completed upper floor shell
,20080707_23,jpg,Completed upper floor shell
,20080707_25,jpg,Aerial view of completed upper floor shell
,20080707_26,jpg,Aerial view of completed upper floor shell
,20080707_27,jpg,Aerial view of completed upper floor shell
,20080710_05,jpg,Log stair
 June 11,20080611_04,jpg,Entry portico truss
,20080611_07,jpg,Log shell aerial view
,20080611_08,jpg,Log shell aerial view
 June 7,20080607_18,jpg,Roof beams
,20080607_19,jpg,Roof beams
,20080607_20,jpg,Roof beams
,20080607_21,jpg,Upper floor beams and log joists
,20080607_23,jpg,Upper floor beams and log joists
,20080607_24,jpg,Upper floor beams and log joists
,20080607_25,jpg,Upper floor beams and log joists
,20080607_27,jpg,Upper floor beams and log joists
,20080607_29,jpg,Upper floor beams and log joists
,20080607_30,jpg,Upper floor beams and log joists
,20080607_31,jpg,Log truss for entry portico
,20080607_33,jpg,Upper floor beams and log joists
,20080607_34,jpg,Upper floor beams and joists--aerial view
,20080607_35,jpg,Upper floor beams and joists--aerial view
,20080607_36,jpg,Upper floor beams and joists--aerial view

#elevations,,,Elevations
,Sprinkle-elevations,gif,
#plans,,,Floor Plans
,Sprinkle-plans,gif,
