title,fileName,extension,text
#project,Stephenson,,Stephenson Residence
#elevations,,,Elevations
,Stephenson-elevations,gif,
#plans,,,Floor Plans
,Stephenson-plans,gif,
#photos,,,Framing and Finishing on Site
 April 2010,20100422_650,jpg,Main floor 2-sided fireplace
,20100422_725,jpg,Main floor 2-sided fireplace
,20100422_727,jpg,Pizza oven on lower level
,20100422_765,jpg,Master bedroom fireplace
,20100422_785,jpg,View from a distance
,20100422_791,jpg,View from a distance
,20100422_795,jpg,View from a distance
,20100422_809,jpg,Front view
#photos,,,Hand Crafting the House Shell
 Oct. 14,20081014_839,jpg,Log shell complete with roof beams in place
,20081014_844,jpg,Log shell complete with roof beams in place
,20081014_846,jpg,Log shell complete with roof beams in place
,20081014_847,jpg,Log shell complete with roof beams in place
,20081014_806,jpg,Log shell complete with roof beams in place
,20081014_807,jpg,Log shell complete with roof beams in place
,20081014_808,jpg,Log shell complete with roof beams in place
,20081014_810,jpg,Log shell complete with roof beams in place
,20081014_811,jpg,Log shell complete with roof beams in place
,20081014_816,jpg,Log shell complete with roof beams in place
,20081014_818,jpg,Log shell complete with roof beams in place
,20081014_820,jpg,Log shell complete with roof beams in place
,20081014_821,jpg,Log shell complete with roof beams in place
,20081014_822,jpg,Log shell complete with roof beams in place
,20081014_824,jpg,Log shell complete with roof beams in place
,20081014_830,jpg,Log shell complete with roof beams in place
,20081014_832,jpg,Log shell complete with roof beams in place
,20081014_835,jpg,Log shell complete with roof beams in place
 Oct 10,20081009_01,jpg,Log shell complete
,20081009_02,jpg,Log shell complete
,20081009_03,jpg,Log shell complete
,20081009_04,jpg,Log shell complete
,20081009_06,jpg,Log shell complete
,20081009_07,jpg,Log shell complete
,20081009_10,jpg,Window jamb
,20081009_11,jpg,Roof beams
,20081009_12,jpg,Roof beams
,20081009_13,jpg,Roof beams
,20081009_14,jpg,side view
,20081009_15,jpg,Roof beams
,20081009_16,jpg,Log shell complete
,20081009_17,jpg,Log shell complete
,20081009_18,jpg,Looking up pitch cut
,20081009_19,jpg,Upper floor post with slot cuts
,20081009_20,jpg,Upper floor post with slot cuts
,20081009_22,jpg,Log shell complete
,20081009_23,jpg,Upper floor post with slot cuts
,20081009_25,jpg,Angled corner intersection of garage and house
,20081009_26,jpg,Double beam supporting purlin
,20081009_27,jpg,Angled corner intersection of garage and house
,20081009_28,jpg,Angled corner intersection of garage and house
 Sept 22,20080922_20,jpg,Finished roof beams ready to stand
,20080922_21,jpg,Finished roof beams ready to stand
,20080922_22,jpg,Finished roof beams ready to stand
,20080922_23,jpg,Finished roof beams ready to stand
,20080922_24,jpg,Finished roof beams ready to stand
,20080922_26,jpg,Finished roof beams ready to stand
,20080922_27,jpg,Finished roof beams ready to stand
,20080922_28,jpg,Finished roof beams ready to stand
 Sept 18,20080918_76,jpg,Log shell Sept. 18
,20080918_77,jpg,Log shell Sept. 18
,20080918_78,jpg,Log shell Sept. 18
,20080918_79,jpg,Log shell Sept. 18
 Aug. 28 aerial view,20080828_52,jpg,Log shell complete up to upper floor logs
,20080828_51,jpg,Log shell complete up to upper floor logs
,20080828_48,jpg,Log shell complete up to upper floor logs
,20080828_47,jpg,Log shell complete up to upper floor logs
 Aug. 28,20080828_16,jpg,Log shell complete up to upper floor logs
,20080828_17,jpg,Log shell complete up to upper floor logs
,20080828_18,jpg,Log shell complete up to upper floor logs
,20080828_19,jpg,Log shell complete up to upper floor logs
,20080828_20,jpg,Log shell complete up to upper floor logs
,20080828_21,jpg,Upper floor log joists
,20080828_22,jpg,Log shell complete up to upper floor logs
,20080828_23,jpg,Log shell complete up to upper floor logs
,20080828_24,jpg,Log shell complete up to upper floor logs
,20080828_25,jpg,Log shell complete up to upper floor logs
,20080828_26,jpg,Log shell complete up to upper floor logs
,20080828_27,jpg,Double beam with log joist
,20080828_28,jpg,Garage door
,20080828_29,jpg,Double beam with log joist
,20080828_30,jpg,Double beam with log joist
,20080828_31,jpg,Upper floor log joists
,20080828_32,jpg,Temporary post with screw jack
 Aug. 18,20080818_36,jpg,Log walls complete to header round
,20080818_40,jpg,Log walls complete to header round
,20080818_40c,jpg,Closer view for scale
,20080818_41,jpg,Log walls complete to header round
,20080818_42,jpg,Log walls complete to header round
,20080818_43,jpg,Log walls complete to header round
,20080818_45,jpg,Log walls complete to header round
,20080818_38,jpg,Interior view
 July 30,20080730_50,jpg,Log walls complete up to 7th round
,20080730_52,jpg,Log walls complete up to 7th round
,20080730_53,jpg,Log walls complete up to 7th round
,20080730_55,jpg,Log walls complete up to 7th round
,20080730_58,jpg,Log walls complete up to 7th round
,20080730_60,jpg,Log walls complete up to 7th round
,20080730_71,jpg,Log walls complete up to 7th round
 July 10,20080710_15,jpg,Bottom round of wall logs
,20080710_20,jpg,Bottom round of wall logs
,20080710_23,jpg,Bottom round of wall logs
,20080710_24,jpg,Bottom round of wall logs
,20080710_26,jpg,Bottom round of wall logs
,20080710_stitched,jpg,Bottom round of wall logs
