title,fileName,extension,text
#project,Tinkler,,Tinkler Residence
#elevations,,,Elevations
,Tinkler-elevations,gif,
#plans,,,Floor Plans
,Tinkler-plans,gif,
#photos,,,Framing & Finishing On Site
 April 2010,20100405_028,jpg,Entry porch
,20100405_013,jpg,Stair and dining area
,20100405_016,jpg,Chandelier
,20100405_022,jpg,Kitchen with cabinets and lamps installed
,20100405_027,jpg,Stair railings
,20100405_017,jpg,Bathroom cabinets and fixtures
 Nov - Jan,20091031_1,jpg,Entry porch
,20091107_018,jpg,Deck beside great room
,20091114_006,jpg,Foyer ceiling viewed from loft
,20091228_001,jpg,View from below
,20091228_004,jpg,Bathroom tile floor installation
,20100102_004,jpg,Checking the railing is solid
,20100125_006,jpg,Shower tile installation
,20100125_012,jpg,Great room with fireplace
 Oct. 3,20091003_4,jpg,Great room fireplace stone nearly complete
,20091003_0,jpg,View from loft towards great room
,20091003_1,jpg,Drywall and ceiling insulation installed
 Sept 14,20090914_001,jpg,Front entrance stone work
,20090914_003,jpg,Siding and stained logs
,20090914_008,jpg,Covered porch detail
,20090914_011,jpg,Exterior view of great room window and porch fireplace
 Sept 5,20090905_001,jpg,Log stairway
,20090905_004,jpg,Great room window
,20090905_005,jpg,Floor concrete topping
,20090905_024,jpg,Great room
 Aug 21,20090821_chimney,jpg,Chimney
,20090821_chimney_detail,jpg,Chimney detail
,20090821_corner_detail,jpg,Corner detail
,20090821_garage_stone_work,jpg,Garage stone work
,20090821_north_side_log_wall,jpg,North side log wall
,20090821_north_west_corner,jpg,North west corner
,20090821_north_west_corner_detail,jpg,North west corner details
,20090821_siding_on_south_dormer,jpg,Siding on south dormer
,20090821_south_dormer_detail,jpg,South dormer detail
 July 12,20090712_15,jpg,View down into great room from loft
,20090712_15a,jpg,Dovetail corner in a full scribe log wall
,20090712_03,jpg,Stairway location beside foyer
,20090712_20,jpg,Kitchen
,20090712_01,jpg,Partition walls with settling space above
,20090712_05,jpg,Upper floor ensuite bathroom
,20090712_06,jpg,Upper floor closet
,20090712_25,jpg,Exterior fascia
,20090712_28,jpg,Left side exterior wall
,20090712_32,jpg,Garage front elevation
,20090712_35,jpg,View from below rear left
 May 16,20090516_00,jpg,Roof rafters in place
,20090516_01,jpg,Roof rafters in place
,20090516_02,jpg,Roof rafters in place
,20090516_03,jpg,Roof rafters in place
,20090516_04,jpg,Roof rafters in place
,20090516_05,jpg,Roof rafters in place
 April 25,20090425_02,jpg,Roof rafters in place
,20090425_05,jpg,Doorway from garage to house
,20090425_07,jpg,Upper bedroom wing over garage
,20090425_08,jpg,Upper bedroom wing over garage
,20090425_10,jpg,View down into great room from loft
,20090425_25,jpg,Garage
#photos,,,Setup of the Log Shell
 April 17,20090417_07,jpg,Great room wall with tall window
,20090417_07a,jpg,Great room wall with tall window
,20090417_07b,jpg,Ridge beam and purlins over great room
,20090417_11,jpg,Garage area
,20090417_11a,jpg,Upper floor over garage
,20090417_11b,jpg,Garage interior
,20090417_19,jpg,Back side view
,20090417_23,jpg,Garage structure
,20090417_23a,jpg,Upper floor and roof structure over garage
,20090417_23b,jpg,Garage posts and beams
,20090417_27,jpg,Entry (front) side view
,20090417_27b,jpg,Front entry portico
 April 2,20090330_00,jpg,Main floor joist system in place
,20090330_04,jpg,The crane
,20090330_07,jpg,Placing the bottom round wall log
,20090330_12,jpg,Bottom rounds in place
,20090330_13,jpg,Crane picking up a log from the truck
,20090330_18,jpg,Wall logs ready to be placed
,20090402_00,jpg,"Placing upper floor beams, joists and log truss"
,20090402_01,jpg,"Placing upper floor beams, joists and log truss"
,20090402_02,jpg,Master bedroom
,20090402_03,jpg,Kitchen wall with dovetail corner
,20090402_04,jpg,Great room tall window opening
#photos,,,Site preparation
 March 12,20090312_01,jpg,Main floor joist system in place
,20090312_02,jpg,Main floor joist system in place
,20090312_03,jpg,Main floor joist system in place
,20090312_04,jpg,Main floor joist system in place
,20090312_05,jpg,Main floor joist system in place
 March 7,site_20090307_02,jpg,Concrete piers under deck posts
,site_20090307_04,jpg,Garage slab
,site_20090307_05,jpg,Garage slab
,site_20090307_06,jpg,Crawlspace with pony wall
,site_20090307_09,jpg,Deck post piers with saddles
,site_20090307_12,jpg,Overview
,site_20090307_14,jpg,Garage slab
 Jan 24,20090124_1,jpg,Foundation walls completed
,20090124_13,jpg,Foundation walls completed
,20090124_4,jpg,Foundation walls completed
,20090124_6,jpg,Foundation walls completed
,20090124_8,jpg,Foundation walls completed
#photos,,,Crafting the Log Shell in the Log Yard
 March 4,20090304_60,jpg,Cutting door openings
,20090304_61,jpg,Cutting door openings
,20090304_62,jpg,Roof beams
,20090304_64,jpg,Log shell
,20090304_65,jpg,Roof beams
,20090304_66,jpg,Roof beams
,20090304_67,jpg,Window opening
,20090304_68,jpg,Log truss
,20090304_69,jpg,Log truss
 Feb 19,20090219_20,jpg,Log walls complete up to top wall round
,20090219_22,jpg,Log walls complete up to top wall round
,20090219_25,jpg,Log walls complete up to top wall round
,20090219_44,jpg,Log walls complete up to top wall round
,20090219_46,jpg,Log walls complete up to top wall round
,20090219_47,jpg,Log walls complete up to top wall round
,20090219_48,jpg,Log walls complete up to top wall round
,20090219_49,jpg,Log walls complete up to top wall round
,20090219_54,jpg,Log walls complete up to top wall round
,20090219_57,jpg,Log roof beams and purlins
,20090219_58,jpg,Log roof beams and purlins
 Jan 15,20090115_893,jpg,Log walls complete up to header round
,20090115_895,jpg,Log walls complete up to header round
,20090115_896,jpg,Log walls complete up to header round
,20090115_897,jpg,Log walls complete up to header round
,20090115_898,jpg,Log walls complete up to header round
,20090115_899,jpg,Cutting flats
,20090115_900,jpg,Arched opening partially cut
 Jan 1,20090115_882,jpg,Log walls complete to third round
,20090115_883,jpg,Log walls complete to third round
,20090115_884,jpg,Log walls complete to third round
,20090115_885,jpg,Log walls complete to third round
,20090115_886,jpg,Dovetailed corner
,20090115_887,jpg,Dovetailed corner
,20090115_888,jpg,Dovetailed corner
,20090115_889,jpg,Log walls complete to third round
,20090115_891,jpg,Log walls complete to third round
,20090115_892,jpg,We can use the straight part
