title,fileName,extension,text
#project,Tyler,,Tyler Residence
#elevations,,,Elevations
,Tyler-elevations,gif,
#plans,,,Floor Plans
,Tyler-plans,gif,
#photos,,,Framing and Finishing on Site
2011,20110228_161,jpg,Loft railing from kitchen
,20110228_163,jpg,Main floor railing from down stairway
,20110228_164,jpg,Metal railing on down stairway
,20110228_165,jpg,Top of down stairway opening
,20110228_169,jpg,Main floor railing from down stairway
,20110228_176,jpg,Upper railing around main stairway
,20110228_180,jpg,Top of stairway...stair treads protected by carpet underlay
,20110228_181,jpg,Main stairway...treads protected by carpet underlay
,20110228_182,jpg,Railing between loft and great room
,20110228_183,jpg,Loft
,20110228_184,jpg,Upper walkway
,20110228_177,jpg,Newel posts at top of stair...single post protects narrow opening
,20110228_179,jpg,Railing at top of stair
2010,20100830_0376,jpg,View from below
,20100830_1007,jpg,Rear walkway
,20100830_1023,jpg,Side view
,20100830_1025,jpg,View from driveway
,20100830_1027,jpg,Rear view
,20100830_1050,jpg,Garage court
,20100830_1057,jpg,View from below
,20100304_1,jpg,Front view
,20100304_2,jpg,Rear view
,20100304_3,jpg,Side view
,20100304_4,jpg,Rear patio
,20100304_5,jpg,Garage side view
,20100304_6,jpg,View from below
,20100830_0164,jpg,Door to upper bedroom
,20100830_0165,jpg,Upper bedroom
,20100830_0173,jpg,Great room wall
,20100304_int1,jpg,Fireplace masonry block
,20100830_0176,jpg,Kitchen
,20100304_int3,jpg,Nook with snow
#photos,,,Setup of the Log Shell on Site
 Sept 8,20080908_3,jpg,Walls stacked up to header round
,20080908_4,jpg,Walls stacked up to header round
,20080908_5,jpg,Placing beams for upper floor structure
,20080908_7r,jpg,Upper floor beams and joists in place
,20080908_9,jpg,Upper floor beams and joists in place
,20080908_10,jpg,View from main road
#photos,,,Hand Crafting the Log Shell in our Log Yard
 June 26,20080626_11,jpg,Log shell complete
,20080626_12,jpg,Log shell complete
,20080626_15,jpg,Log shell complete
,20080626_16,jpg,Log shell complete
,20080626_26,jpg,Log shell complete
,20080626_33,jpg,Log shell complete
,20080626_35,jpg,Log shell complete
,20080626_36,jpg,Log shell complete
 June 7,20080607_40,jpg,Log shell complete up to upper floor
,20080607_41,jpg,Log shell complete up to upper floor
,20080607_42,jpg,Log shell complete up to upper floor
,20080607_43,jpg,Log shell complete up to upper floor
,20080607_44,jpg,Log shell complete up to upper floor
,20080607_45,jpg,Log shell complete up to upper floor
,20080607_46,jpg,Log shell complete up to upper floor
,20080607_47,jpg,Breakfast nook area
,20080607_48,jpg,Master bedroom back wall
,20080607_49,jpg,Great room wall
,20080607_50,jpg,Kitchen side wall
,20080607_51,jpg,Mudroom (entry)
,20080607_52,jpg,Wall with slot cuts for partition finish
,20080607_53,jpg,Master bedroom
,20080607_54,jpg,Master ensuite bath area
,20080607_55,jpg,Front wall (bedroom)
,20080607_56,jpg,Kitchen door
 May 12,20080512_70,jpg,Crafting top round of wall logs and upper joists
,20080512_71,jpg,Crafting top round of wall logs and upper joists
,20080512_72,jpg,Crafting top round of wall logs and upper joists
,20080512_75,jpg,Crafting top round of wall logs and upper joists
,20080512_76,jpg,Crafting top round of wall logs and upper joists
 April 23,20080423_898,jpg,Crafting 7th round of wall logs
,20080423_899,jpg,Crafting 7th round of wall logs
,20080423_900,jpg,Crafting 7th round of wall logs
,20080423_901,jpg,Crafting 7th round of wall logs
,20080423_903,jpg,Crafting 7th round of wall logs
 April 17,20080417_53,jpg,Crafting fifth round of wall logs
,20080417_54,jpg,Crafting fifth round of wall logs
,20080417_55,jpg,Crafting fifth round of wall logs
,20080417_56,jpg,Crafting fifth round of wall logs
 April 7,20080407_03,jpg,Crafting bottom round of wall logs
,20080407_04,jpg,Crafting bottom round of wall logs
,20080407_05,jpg,Crafting bottom round of wall logs
,20080407_07,jpg,Crafting bottom round of wall logs
,20080407_08,jpg,Crafting bottom round of wall logs
,20080407_09,jpg,Crafting bottom round of wall logs
,20080407_10,jpg,Crafting bottom round of wall logs
