title,fileName,extension,text
#project,Valenza,,Valenza Residence
#elevations,,,Elevations
,Valenza-elevations,gif,
#photos,,,Hand Crafting the Log Roof in our Log Yard
 Oct. 29,20071029_22,jpg,Roof logs
,20071029_23,jpg,Roof logs
,20071029_24,jpg,Roof logs
,20071029_25,jpg,Roof logs
 Oct. 17,20071017_396,jpg,Log walls and upper floor complete
,20071017_397,jpg,Log walls and upper floor complete
,20071017_398,jpg,Log walls and upper floor complete
,20071017_400,jpg,Log walls and upper floor complete
,20071017_401,jpg,Log walls and upper floor complete
,20071017_402,jpg,Log walls and upper floor complete
,20071017_408,jpg,Log walls and upper floor complete
,20071017_409,jpg,Log walls and upper floor complete
,20071017_411,jpg,Log walls and upper floor complete
,20071017_412,jpg,Log walls and upper floor complete
,20071017_413,jpg,Log walls and upper floor complete
 Oct. 3,20071003_0,jpg,Log walls complete up to 7th round
,20071003_1,jpg,Log walls complete up to 7th round
,20071003_2,jpg,Log walls complete up to 7th round
,20071003_3,jpg,Log walls complete up to 7th round
,20071003_4,jpg,Log walls complete up to 7th round
,20071003_5,jpg,Log walls complete up to 7th round
 Sept 20,20070920_2,jpg,Crafting the first round of wall logs
,20070920_3,jpg,Crafting the first round of wall logs
,20070920_4,jpg,Crafting the first round of wall logs
,20070920_5,jpg,Crafting the first round of wall logs
,20070920_6,jpg,Crafting the first round of wall logs
,20070920_7,jpg,Crafting the first round of wall logs
,20070920_8,jpg,Crafting the first round of wall logs
,20070920_9,jpg,Crafting the first round of wall logs
#photos,,,Foundation and Framing on Site
 Oct. 5,20071003_17,jpg,Site preparation and footings
,20071003_18,jpg,Site preparation and footings
,20071003_30,jpg,Site preparation and footings
,20071003_46,jpg,Site preparation and footings
,20071003_47,jpg,Site preparation and footings
,20071003_48,jpg,Site preparation and footings
,20071003_70,jpg,Site preparation and footings
,20071003_71,jpg,Site preparation and footings
#plans,,,Floor Plans
,Valenza-plans,gif,
